Pos Office Branch,User,Reviews,Rate,Date
Pos Indonesia. PT,Andes,"Sudah sering banget event di sini tuh  mulai dari sering sewa coworking spacenya , point lab nya, sampe di gedung mas soeharto ini ikut jadi peserta dauroh bestie till jannah. Ruangannya luas, bersih. Toiletnya mantep terjaga sekali kebersihannya dan wangi. Musholanya juga luas, meski di basement, next tahun depan mushola pindahin donk ke lantai atas ...
Parkiran aja sih kurang luas, kalo event di weekend plus ada wedding udah deh ah syulit parkirannya.. hikss",5,7 bulan lalu
Pos Indonesia. PT,Muhammad Rafi Abdusyukur,"Beberapa kali ngehadirin event di sini. Spacenya luas, liftnya cukup banyak. Musholanya enakeun pisan.",5,3 bulan lalu
Pos Indonesia. PT,Naila Rahmania,"Satpamny ngajak berantem gara” aku masuk di pintu masuk😭🤣 dia mau keluar tapi lewat pintu masuk, keadaan di jalan udah macet full, aku g bisa mundur lagi, dan dia maksa mau keluar lewat pintu masuk sambil ngomong (minggir! saya juga satpam disini, kenapa?!) trs ngoceh” gitu. Aku disitu parkir bayar loh, ga di tempat ojol!, emg kalau satpam boleh ya keluar lewat pintu masuk trs bikin macet jadi g bisa jalam?! Btw si satpamny pake motor kuning, pagi” udah di bentak” sama satpamny wkwkwk",1,sebulan lalu
Pos Indonesia. PT,Ridwan Syarif Hidayat,"Area luas, parkiran luas, tempat bersih dan nyaman",5,sebulan lalu
Pos Indonesia. PT,Adrasa ID,"Gila ini gedung nya gede banget, ada berbagai macam perusahaan di gedung ini, bukan hanya pos aja. Mulai dari kopi starbuck, antam sampe galery 24. Tempat pakirannya cukup luas, tapi sayang pakiran motornya ada di dalam, jadi agak cukup jauh juga jalan kakinya kalau cuma mau ke starbuck atau ke galery antam. Tapi kalau parkiran mobil lebih enak bisa di luar juga",3,2 tahun lalu
Pos Indonesia. PT,Wince 567,Gedung nya terlihat kokoh dari jalan raya saat masukin tempat ini syang nya dalam keadaan tertutup.sehingga tidak bisa melihat isi dalam gedungnya,5,setahun lalu
Pos Indonesia. PT,W Zest,Gedung yang ikonik di jalan re Martadinata atau riau,5,3 minggu lalu
Pos Indonesia. PT,Mas Jamaal,"Padahal tempatnya nyaman banget, toiletnya bersih dan wangi, tapi saya petugas kebersihannya ""kurang ramah""",3,sebulan lalu
Pos Indonesia. PT,Puteri Carona,Tempatnya ga kalah besar dengan yang di Asia Afrika. Tempat parkirnya luas dan banyak. Dalam satu gedung ada banyak toko dan ada bank juga. Lokasi sangat strategis dan pelayanan satpamnya baik.,5,4 tahun lalu
Pos Indonesia. PT,Rendy S,"Parkir sempit, penuh, muter2 ga dapet, akhir nya keluar lagi & tetep bayar parkir. Kalo memang sudah full jgn kasi masuk.",1,5 bulan lalu
Pos Indonesia. PT,Ghina Handayaningtyas,"Ballroom untuk weddingnya ada di lantai 8, dan mewah banget. Lokasi juga sangat strategis karena ada di tengah kota.
Staff pelayanan gedungnya juga baik dan ramah.",5,2 tahun lalu
Pos Indonesia. PT,Arki Hadityan,"Recomended untuk yang sedang cari lahan untuk kantor, lokasi sangat strategis di pusat kota bandung.
harga tergolong murah dibandingkan gedung perkantoran lain.
banyak pilihan jajanan dan makanan di sekitar gedung, jd tidak khawatir bosan menu makan siang.",5,2 tahun lalu
Pos Indonesia. PT,Bayu Probo,"Auditorium Mas Soeharto. Ballroom untuk kegiatan pertemuan besar. Seperti, hajatan nikah. Lantai 8 Graha Pos.",5,2 tahun lalu
Pos Indonesia. PT,Putri Rohaeni Rahayu,"Gedungnya cukup luas dengan jumlah 8 lantai dengan lahan parkir yg muat untuk banyak kendaraan.

Terdapat mesjid yg sangat bersih dan nyaman untuk beribadah di lantai basement. Ada juga coffee shop dan minimarket pada lantai satu.

Toiletnya bersih, cuma untuk toilet yg berada di lantai atas agak spooky kalau sendiri.",5,5 tahun lalu
Pos Indonesia. PT,sensen darmawan,"Bagus sekali ball room nya, sangat cocok untuk kegiatan pesta pernikahan ataupun kegiatan lainnya, parkirannya sangat luas, aulanya luas, sangat rapih, bersih.",5,setahun lalu
Pos Indonesia. PT,erwin ginting,"sudah bagus disediakan parkir untuk ojol,namun pada keyataan nya,parkir ojol.malah dipake parkir pengunjung selain ojol,sehingga kami paraojol.suka bingung kalo mau ambil orderan ke sini..nohon kiranya ditinjau kembali..",5,8 bulan lalu
Pos Indonesia. PT,ferdian sinaga,"gedung sangat bagus karyawan security dan cleaning ny pada ramah,cuman sayang di area samping toilet lantai 2 yang dekat lift ke sekolahan suka ada yg meroko..",4,8 bulan lalu
Pos Indonesia. PT,Ong Sammi,Tempat pos sekaligus tempat nongkrong untuk bercengkrama santai. Fasilitas cukup lengkap dan bersih,4,4 tahun lalu
Pos Indonesia. PT,indah kutcher,Tempat makan sushi dan ramen dengan harga yang cukup terjangkau . Harganya pun tidak terlalu mahal. Untuk tempat tidak terlalu besar tapi masih nyaman .,5,setahun lalu
Pos Indonesia. PT,Ury Suryanti Rahayu,"Tiap pagi drop anak sekolah. Susah parkir. Satpam banyak tapi kebanyakan bengong2 aja. Area parkir depan sepertinya sudah direserve sama yg ngantor di sini. Mau parkir di atas belakang kalau pagi ditutup katanya buat apel pagi. Bener2 ga ada yang arahin/bantu parkir, padahal satpam banyak kita kesusahan jg diliatin doang. Pernah parkir di belakang mau keluar susah kehalang tiang, cuma diliatin doang sama satpam yang pada nongkrong depan pos 🥹🥹 Giliran sudah selesai parkir keliatan agak miring baru nyamperin buat negur. Sepertinya bukan saya saja yang menyoroti masalah parkir & security, ada beberapa juga yang sudah nulis review & dengar keluhan orangtua murid lain. Entah dibaca & ditindaklanjuti apa tidak terserah deh yang penting sudah menyampaikan aspirasi karena meski cuma ngedrop 5 menit jg kita customer kan bayar, tiap bulan sekolah jg kan bayar sewa gedung. Terima kasih, semoga ada perbaikan ke depannya.",2,setahun lalu
Pos Indonesia. PT,Rahayu Agustine,"Gedung perkantoran yang bersih , lahan parkir oke , jadi tempat ngopi bisa banget , ada kopi kenangan di lantai dasar , ada cafe di rooftop , mau nikahan pun bisa lho disini.",5,setahun lalu
Pos Indonesia. PT,nugraha wirajati,"Parkir valet tambah banyak banget, oportunis sekali. Kalau mau jemput sekolah saja susah dapat parkir, plus ada yg sudah di booking kantor. Antar & jemput saja sudah bayar 2x, disuruh valet lagi.",2,Diedit setahun lalu
Pos Indonesia. PT,intan kandhi,"Sebuah gedung terpadu yang berlokasi di jantung kota Bandung dan terletak di salah satu jalan paling sibuk.

Gedung ini disewakan untuk kantor, sekolah, kursus, game center, cafe, convenient stores, hall untuk event atau pertemuan, lengkap semua ada.",5,setahun lalu
Pos Indonesia. PT,Eddy Wibowo,"Gedung berisi berbagai macam bisnis dan penjual. Ada Starbucks dan Gerai Antam juga di lantai dasar.

Minusnya, area parkir terbatas. Kalau agak siang siap2 berputar2 dulu mencari tempat parkir yang kosong. Motor bisa lecet2.",5,Diedit 2 tahun lalu
Pos Indonesia. PT,Rahmi Hayati,"Salah satu cafe minimalis di Graha Pos Indonesia adalah ROUKA. Posisinya ada samping Starbucks. Cafenya minimalis tapi cukup nyaman. Ada tempat duduk yang di dalam, ada juga yg di luar. Menu yang disediakan adalah ramen dan sushi roll. Untuk rasa standar, harga terjangkau. Di dekat cafe ini ada toilet yang bersih dan mushola yang luas.",4,setahun lalu
Pos Indonesia. PT,Aurel Aurel,"Ini gedung dikelola sama BUMN tapi malah management parkirannya kacau balau. Jam 10.00 pagi parkiran di area atas dan basement sudah penuh. Sementara di area luar sebagian penuh dan sebagian lagi masih kosong, tapi masih dikasih pembatas rantai dan semua petugas parkir menghilang. Pas dicari ternyata pada sibuk ngerumpi di pojok gedung dekat tangga. Pas ditanya kenapa parkiran sudah penuh, tapi yang kosong masih ditutup, jawabannya petugasnya belum datang (padahal yang ditanya dan menjawab pakai seragam petugas parkir). What???? Jam 10.00 manusia sudah beraktivitas dari jam 07.00, jam 10.00 petugas parkir yang incharges belum datang???? Giliran saya buka sendiri rantai2nya dan parkirin mobil, tiba2 petugasnya pada nongol dan minta uang parkir vallet. Ternyata modus atau bagaimana ini???? Budaya korupsi sampai ke parkiran!!!",1,2 tahun lalu
Pos Indonesia. PT,Hery Setiawan,"Mengirim dokumen dari luar kota ke Bandung tanggal 9 Juli 2024, setelah ditunggu  ternyata di retur.
Padahal dokumen sudah lengkap ada alamat serta nomor hp penerima.",1,setahun lalu
Pos Indonesia. PT,lulu janwar,"Payah... security-nya tidak ramah.... apalagi security dalem kerjanya mengobrol dan menggosip...ditanya ruang A jawab nya ruang B....diminta tolong cuman nitip makanan malah marah""....👎🏽 …",1,11 bulan lalu
Pos Indonesia. PT,Dedi Irawan,Ko engga bisa masihin nomor nya,1,sebulan lalu
Pos Indonesia. PT,Julio Rahman,Tempat parkir luas.,5,3 tahun lalu
Pos Indonesia. PT,andri andali,"Tempatnya mudah dijangkau, luas dan tersedia mini market, mushola/masjid nya cukup luas, sehingga nyaman saat menunggu sambil beribadah",5,setahun lalu
Pos Indonesia. PT,Zaldy Putra,Tempat nyaman buat nongkrong,4,2 bulan lalu
Pos Indonesia. PT,Risa Firdaus,"Tempat yang nyaman untuk acara besar seperti wisuda, pelayanan ramah, dan musola yang bersih. Tempat parkir motornya yang kurang nyaman pas maayk berbelit-belit tidak ada pengarahan",4,2 tahun lalu
