Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Fatmawati,Fahmi Hidayat,"Good job.
Pertama kali ke sini buat ngambil kiriman motor dari luar kota. Awalnya dapet konfirmasi via WA kalo paket motor sudah tiba dan bisa diambil di sini jam 8 sampai jam 4 sore. Berhubung kerja sampe jam 5 sore, minta izin ambilnya jam 6 sore. Alhamdulillah dibolehin.

Pelayanannya baik. Satpam dan semua stafnya ramah. Diarahin sesuai tujuan. Buat ngambil motor, diarahin ke ruangan paling belakang deket masjid.
Sebelum motor di unboxing, diminta buat ngevideoin dulu buat jaga jaga, siapa tau perlu ada yang diklaim. Prosesnya pun cepat.

Oiya ternyata tempatnya luas banget. Terima kasih kantor pos. Motor aman dan selamat sampai tujuan.",5,3 minggu lalu
Kantor Pos Fatmawati,Ang,"Pengalaman kirim barang di cabang pos ini cukup mengecewakan. Meskipun tidak ada antrian saat datang, prosesnya tetap lama karena CS terlalu lama ngecek ongkir. Parahnya lagi, dia juga sempat melayani orang lain di tengah proses kita, bikin waktu tunggu makin molor, sempat hampir 15 menit cuma buat satu pengiriman.

Kondisi ruangannya juga tidak mendukung, dalamnya panas karena AC banyak yang mati. Sistem antriannya juga nda jalan, mesin antrian rusak dan tidak ada alternatif manual.

Cabang ini butuh perbaikan serius, minimal dari sisi efisiensi layanan dan kenyamanan ruang tunggu.",3,2 bulan lalu
Kantor Pos Fatmawati,Twitter [at] PapaEK0,"Tempat nyaman dan strategis karena di lalui angkutan umum Tije 1E (Pondok Labu-Blok M PP). Tangga naik turun lumayan curam buat lansia yang mau ambil pensiunan, tapi gpp, kalau uang sudah di dapat hati berasa senang lebih semangat aja. Capek turun naik tangga pun gak berasa lelah.
---------
Salam semangat 🤣
---------
Tetap sehat dan semangat buat para lansia 😀

[01.10.2024]
Ganti nama menjadi KCU Jakarta Flora
🤣",5,Diedit seminggu lalu
Kantor Pos Fatmawati,Syafiq Sultonassydiq,"Ruang tunggu luas, parkiran luas. Kantor cenderung sepi, datang bisa langsung dapat pelayanan tidak usah antri. Ada 3 ruang untuk live online shop. Ada ATM center tapi cuma ada 1 mesin ATM. Ada Mini SPKLU.
Maintenance gedung kayaknya perlu di perhatikan lagi.",4,11 bulan lalu
Kantor Pos Fatmawati,ELIKA AINI,"saya pemesanan pick up via aplikasi pos aja tujuan bogor berat 17KG namun paket 1x24 jam belum dikirimkan dan akhirnya saya follow up hari ini saya diinfokan via wa nomor resi namun rercantum berat tidak sesuai paket yang saya punya yang mana pada resi hanya 0.02KG (sangat jauh selisihnya dengan yg saya punya 17 KG)

Saya follow up kembali karena berat yg dicamtumkan tidak sesuai dan dikabari bahwa saya harus nambah uang, YAAA NAMBAH UANG senilai 88.000 yang mana saya sudah membayar 44.800 jadi total 132.800, hal tsb sangat merugikan dan bikin saya kapok menggunakan jasa pos better ekspedisi lain yg lebih trusted.

Awalnya ketika diinfokan harus bayar lagi saya menolak mendingan saya cancel tp saya sudah muak, cape jadi yasudah lah terkahir kali pakai pos indo, better di maksimalkan dulu layanannya ini harga SANGAT TIDAK WAJAR!!

Thanks",1,sebulan lalu
Kantor Pos Fatmawati,Jekci chanel,"Waktu ambil uang nunggu 3 jam hnya krn nama ku di ktp ku 1 kata sdgkn dr lur negeri ngirim hrus pake last name, jd dibuat 2 x nama nya alis di ulang, nunggu 3 jam buat uppate itu aja di sistem mrk. Uda di ubah di receipt ny dy salah ketik alamat ku slah ktik, aku mnt print ulang yg benar mrk g mw kt ny g bs. Ah bacot x emg petugas pos ini. Nama petugas nya ROSALIA MAHRANI muka cetus, prasaan klen jual pelayanan tp petugas SPBU lbh ramah dr klian. Brpa nge print ulang kertas seitil ini? Hny krn nama ku 2 x ulang klen suru tunggu 3 jam , tiba kau yg typo mnt maaf aja pun kau g da. 👎👎👎👎👎👎👎👎 pertama dan terakir aku ke sni. Jancok",1,sebulan lalu
Kantor Pos Fatmawati,Dedy Darmawan (DediSmash),"Kesana ngambil BSU, masuk parkir udah bagus, ditempat parkir ada petugas parkir yg membantu mengarahkan.
Sampai didalam Kantornya, ada petugas yg ramah yg menanyakan maksud dan tujuan. Kebetulan hari ini Jumat lancar jaya.
Di bagian BSU dilayanin sangat baik, diarahkan Ama Mbaknya.

Makasih Pos Indonesia",5,4 minggu lalu
Kantor Pos Fatmawati,Jalmo Adiyoso,"Pos fatmawati, seringkali saya senyum senyum sendiri ketika keluar dari tempat ini,... saya puas dengan pelayanan dari para petugas di tempat ini, senyum ramah dan melayani dengan penuh semangat dan keikhlasan.
Ada salah satu petugas di tempat ini yang membuat saya terkesan, Rosalia Maharani itulah nama yang tertulis. Saya puas dengan cara kerjanya, lugas, gesit, cekatan tapi tetap tidak melupakan sopan santun, keramahan dan senyum manis yang diperlihatkannya.
Semoga kedepannya Pos Indonesia khususnya Pos Fatmawati semakin baik lagi,.. 🙏",5,3 minggu lalu
Kantor Pos Fatmawati,Ruby Chandra,"bsu bisa disini, parkir memadia, pelayanan ok. bukan buzzer. thanks",5,3 minggu lalu
Kantor Pos Fatmawati,Asyari Muhammad,"Kantor pos terbesar di Jakarta Selatan berada tepat disebran depan Rumah Sakit Fatmawati.
Buka 24 jam, namun ternyata wesel hanya dilayani maksimal sampai dengan jam 6 sore.
Datang jam 7 malam, petugas melayani dengan teratur dan ramah. Pada waktu kesana banyak antrian yang mengirimkan paketnya.
Malam hari, lokasi parkir berubah menjadi rumah makan berjalan (seafood).",4,6 tahun lalu
Kantor Pos Fatmawati,Abdul Manan,"aneh baru jam 16:30 penjaga loket buat beli matrai nya ga ada,,,d tanya kmna ke temen lokert sebelah nya malah bilang ada urusan tpi gatau urusan apa sampe jam brpa beres nya ga d kasih tau",1,8 bulan lalu
Kantor Pos Fatmawati,aini 95,"Belum sempet kirim barang siih, cuman udah luangin waktu kesana hari minggu, pakai mobil. bawa 3 dus besar. Pas sampai sana minta tolong jasa bubble warp jawabannya ""yah petugas nya libur""
Dari pada repot bolak balik saya titip aja disana gpp kirim senin sampai petugas bubble warpnya masuk. Nnti kirim resi by WA. Jawabannya malah, ""eh ada kok mba paling dia bentar lagi nyampe""

APAANSII JAWABANNYA EMANG HARUS SE GAK PROFESIONAL INI ???????!!!!!

Aku tanya jam berapa kira2?
""Kayaknya bentar lagi""
Aku tinggalin langsung. Gak mau nunggu. Dan gak bakal kesini lagi. GA JELAS. SUMPAHIN APAAN ENAKNYA YA",4,Diedit 4 bulan lalu
Kantor Pos Fatmawati,Muhammad faiz (prawiro),"Tempat ngirim paketan, beli emas, cairin duit pensiunan, sampai pembayaran dll. Tempat parkirnya luas, menampung banyak motor dan mobil. Pelayananya sangat baik, masuk langsung di tanyakan satpam untuj di arahkan mengambil tiket atau ke loket pelayanan. Kerjanya profesional juga cepat dan tanggap. terdapat kiriman malam. Banyak yg harus di benahi apalagi dari segi promosi agar masyarakat luas tahu. Yuk, gunakan kembali pos indonesia sebagai jasa kiriman barang2mu.",5,6 tahun lalu
Kantor Pos Fatmawati,nurman denai,"temenin ambil pensiun orang tua, waktu ibu yang dulu jam 15.00 rekap / tutup, si ibu pensiun di ganti bapak bapak, jam 14.30 udah rekap / tutup.

ah elah gimana mau bersaing sama swasta, kalo kinerja pos giro model gini, tutup pelayanan maunya cepet cepet.",1,setahun lalu
Kantor Pos Fatmawati,Zolanski,"Dapat surat dari pos untuk ambil paket dari Perancis saya kaget paket apa ternyata kartu Platinum dari Accor. Nah itu kan kado ya karena jadi Platinum aku harus bayar pajak 80 ribu. Itu padahal nggk aku beli dan itu juga mereka yang bayar biaya pengiriman gatau kenapa harus bayar.

Lokasinya sih nyaman aja ya ber ac dan prosesnya cepet juga nggak lama tpi harus bayar cash jadi harus ke ATM dulu repot deh.",3,setahun lalu
Kantor Pos Fatmawati,Juju Jumaroh,"Kantor pos cukup besar, posisi sebrangnya rs fatmawati. Ada penyebrangan jalan jadi aman bisa nyebrang.",5,2 bulan lalu
Kantor Pos Fatmawati,Keramik Metriza,Alhamdulillah kantor pos ini menyediakan Masjid yang terbuka untuk umum. Masjid Nurul Hidayah. Berada di bagian belakang kantor pos. Masjidnya tidak terlalu besar tapi nyaman. Keberadaan masjid ini sangat membantu terutama buat orang yang ingin sholat pas berada disekitar sini. Jaraknya cuma 150 meter dari jalan raya Fatmawati,4,Diedit 7 tahun lalu
Kantor Pos Fatmawati,Rizky Mujianto,"Utk pelayanan pengiriman paket dr e commerce sangat tidak direkomendasikan, agar tdk menggunakan pengiriman pos, pelayanan harus antri sistemnya lama, ga seperti pengiriman d JNT, JNE dll.
Pdhal BUMN lho. Kecewa.",1,setahun lalu
Kantor Pos Fatmawati,Monik Setijoso,"Pelayanan ramah. Buka 24 jam. Ada ATM BTN, Link dan BJB. Ada Alfamart dan fotokopian juga. Parkir cukup luas. Ada tempat charging kendaraan listrik (SPKLU).",5,3 tahun lalu
Kantor Pos Fatmawati,Ade Marulloh,Cairin BSU disini cepet ga sampe 10 menit. Datang pagi jam 8,5,2 minggu lalu
Kantor Pos Fatmawati,rio17,"pelayanan best lah,,dri masuk lngsung ditanya + diarahin sesuai keperluan,,ramah2 orgnya",5,3 minggu lalu
Kantor Pos Fatmawati,Haskara Fauzan,"alhamdulillah yang bagus disini cuma masjidnya ,gedung pos nya usang, loket penerimaannya gerah, perlu improvisasi lagi",2,2 tahun lalu
Kantor Pos Fatmawati,zahra,kirim dokumen penting cepet sampenya ke alamat di pelosok jawa. stafnya satset dan dokumen nya ditambahin wrap sama mereka tanpa tambah biaya. makasih posind,5,5 bulan lalu
Kantor Pos Fatmawati,Purdadi Utuk,"Saya suka petugas disini ramah dan baik, urusan pembagian bansos juga birokrasi nya praktis, cepat dan mudah.",5,setahun lalu
Kantor Pos Fatmawati,Agus Prayitno,pos ngawur estimasi tgl 23 sampai tgl 26 belum di antar ke alamat,1,sebulan lalu
Kantor Pos Fatmawati,dedi suhandi,"Kurir nya parah banget 3 hari barang diem Mulu gk gerak kebanyakan ngopi kurir nya, jangan ngirim paket lewat pos daerah ini yg pos lain mah masih aman aman aja.emang pada kocak kurir pos Fatmawati.hahahah",1,7 bulan lalu
Kantor Pos Fatmawati,Afni Alfiyani,enak sepi dan pelayananya cepet.,5,3 minggu lalu
Kantor Pos Fatmawati,Surya,"Berangkat kesana jam 8 pagi, pelayanan udh buka cuma masih sepi, di sini juga tersedia atm sama alfamart juga terdapat warteg dan warung di sekitaran kantor pos",5,Diedit 6 tahun lalu
Kantor Pos Fatmawati,nan88,"Tempat parkirnya luas
Security juga ramah dan informatif
Pelayanannya juga cepat dan ramah",5,4 minggu lalu
Kantor Pos Fatmawati,Hamda Firdaus,"Antrian : (3/5) lama, bbrp ada yg langsung k loket tanpa nomor antrian
Prokes: (2/5) Dpan pintu masuk ad anjuran menaati prokes,, pas masuk oknum security make masker di dagu. 😏 jalan ke loket bolak balik,, …",1,4 tahun lalu
Kantor Pos Fatmawati,Rizqa Amalia,"Sejuk nyaman berAC.  Ruang tunggu luas.  Parkiran Luas
Bisa menerima donasi buku apa aja yang akan didonasikan Kantor Pos ke tempat yg berhak",4,7 tahun lalu
Kantor Pos Fatmawati,Wajendra JJ,Tempat luas parkir luas pelayanan cepat dan ramah2. Pengalaman kirim paket ke Jepang dan tujuan dalam negeri cepat sampai dan harga murah. Mantap Pos Indonesia .,5,7 bulan lalu
Kantor Pos Fatmawati,Ary Satriana,PENGIRIMAN SANGAT LAMBAT. BISA2 NYA KASIH ALASAN ALAMAT TIDAK DITEMUKAN BUAT APA AD KONTAK KONSUMEN KENAPA KAGA NANYA LANGSUNG ATAU CHAT?! SAYA MINTA EKSPRES KRN KEBUTUHAN INI MALAH JADI MAKIN LAMA. SANGAT2 MENGECEWAKAN.,1,6 bulan lalu
Kantor Pos Fatmawati,eko purnomo,Jam 19:00 masih bisa pencairan BSU ga min ?,4,3 minggu lalu
