Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Amuntai,fadil rabbani,"Pengiriman cepat,kuri ramah baik,petugas loketnya juga ramah sopan melayani konsumen mantap",5,6 bulan lalu
Kantor Pos Amuntai,Rizky Arisandy. G,Pelayanan ramah dan menjadi tempat terlengkap untuk bertransaksi,5,6 bulan lalu
Kantor Pos Amuntai,Rosita Ta,"Kurir yang antar paket kerumah ramah dan sll respon cpt Jk bertanya tntg paket,atau ad masalah Pd alamat paket yg keliru... Terima kasih 👍 …",5,setahun lalu
Kantor Pos Amuntai,irene sesbania,mantap paket shopee saya sehari sampai👍🏻👍🏻terima kasih pos indonesia sudah memperbaiki layanan antarannya …,5,Diedit setahun lalu
Kantor Pos Amuntai,Muhammad Baikhaki RMC,Pelayanan yg memuaskan dan sangat membantu warga amuntai baik dari segi pengiriman ataupun pembayaran dsb...,5,2 tahun lalu
Kantor Pos Amuntai,Ramadhani,"Pelayanan bagus, pengiriman paket cepet sampai",5,setahun lalu
Kantor Pos Amuntai,Maulida A'yuna,"Pelayanan nya ramah, adem dalam nya. Bisa beli materai dengan harga murah juga",5,setahun lalu
Kantor Pos Amuntai,SYARIFUDIN,"Pelayanan  cepat, tempatnya bersih. Halaman parkir luas",5,2 tahun lalu
Kantor Pos Amuntai,ayulita arsyad,Kiriman cepat sampai.. Pengantar ny ramah2..,5,Diedit setahun lalu
Kantor Pos Amuntai,مناجاة مناجاة,"pelayanannya ramah, tempatnya bersih dan nyaman, parkirnya aman",5,2 tahun lalu
Kantor Pos Amuntai,Roos Kesumadewi,Tempatnya bersih dan pelayanan nya bagus,5,setahun lalu
Kantor Pos Amuntai,Aditiya Fauzan,👍 …,4,2 tahun lalu
Kantor Pos Amuntai,Nurullah ihsan,Mantap,5,2 tahun lalu
