Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarbaru,Eko Cahyo Prabowo,"Tempatnya nyaman luas dan rapi, setiap leges selalu kesini, pelayannya juga cepat dan ramah.",4,6 bulan lalu
Kantor Pos Banjarbaru,Surapurna,"Sudah banyak berubah lbh baik. Tempat nyaman dan pelayanan ramah. Buat yang mau berurusan ke kantorpos ingat masuk langsung ambil nomer antrian jgn isi form main hp santai2 nanti antriannya jauh🤣.

Kalo bisa free parkir sih..👍",5,Diedit 3 tahun lalu
Kantor Pos Banjarbaru,life with thepo,"Lokasi sangat strategis dan gampang terlihat dari jalan raya,namun parkir sedikit sulit jika datang sudah agak siangan.
Efek pandemi pelayanan jadi sedikit terbatas dan berbaur dengan pelayanan lainnya sementara petugasnya hanya beberapa saja yang terlihat dibelakang meja dan jika hendak mengirim barang lebih baik sedikit lebih pagi saja menghindari antrian yang lumayan panjang dan lama.
Parkir tidak gratis",4,4 tahun lalu
Kantor Pos Banjarbaru,Siti RahmahAmd,"Tempatnya luas, lumayan bersih, prosesnya juga lumayan mudah, tapi pelayanan biasa saja.

Kalau masuk langsung ambil antrian ya.
Oiya untuk parkir masih bayar 2.000",5,3 tahun lalu
Kantor Pos Banjarbaru,Gagan Putra,"Setiap kesini harus bayar parkir, apakah parkir nya ilegal atau legal? Krn klo tidak salah menurut peraturan, parkir di kantor pemerintah seharusnya tidak dikenakan biaya...",3,5 bulan lalu
Kantor Pos Banjarbaru,Jaya hasiholan limbong,"Ada 6 meja yang tersedia, tapi hanya ada satu yang melayani, sementara antriannya banyak.

Yang mengakibatkan pelayanan Sangat lama bagi saya.",1,setahun lalu
Kantor Pos Banjarbaru,Ahmad Ghofari,"Saya heran dengan rating rendah di lokasi ini. Saya adalah pengguna layanan Pos indonesia seminggu sekali untuk keperluan kantor. KP Banjarbaru menurut saya pelayanannya sangat baik. Buka hingga 22.00. Pengiriman selalu cepat, dibanding dengan ekspidisi swasta. Pelayanan cenderung cepat, pembayaran mudah (bisa dompet digital)",5,9 bulan lalu
Kantor Pos Banjarbaru,sari widyawati,"tempatnya tertata rapi .cuman pelayanannya lambat, sebaiknya Tambah karyawan agar lebih cepat krna yg jga biasa ada 2 orng bhkan 1 orng, sedangkan jumlah antrian selalu banyak",3,Diedit 2 bulan lalu
Kantor Pos Banjarbaru,Miss Gothica,tolong kode etiknyaaa sebagai karyawan ke nasabah! ada salah satu karyawan laki2 berkacamata terlalu kepo dengan keuangan nasabah lalu nasabah merasa tidak nyaman dan terkesan tidak sopan.. ini soal pelayanan umum bukan pertemanan! tolong lebih profesional lagi dalam melayani !!!,2,Diedit 10 bulan lalu
Kantor Pos Banjarbaru,Yudith Trianggono,Loket yang melayani hanya 1 tapi pelayanannya ramah.,4,2 tahun lalu
Kantor Pos Banjarbaru,fangi0207,"tempat rapi,bersih,sejuk dan nyaman,pelayanan ramah dan memuaskan.tiap awal bulan pastinya selalu penuh,jd dihindari deh urusan pas taggl segitu",4,5 tahun lalu
