Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Batulicin,Ferdy Akbar,"ngirim dokumen ke jawa timur, kata kasir bisa makan waktu estimasi 4-5 harian, pas di cek ternyata 3 hari dokumen sudah sampai lebih cepat, top",5,sebulan lalu
Kantor Pos Batulicin,Mustafa Subhan,"Paket 5 hari status dalam pengantaran tarus, jauh banar kh lwan plajau? Kd jelas kantor pos nih",1,2 bulan lalu
Kantor Pos Batulicin,Yoehenes Arde Pranata,"Dulu sebelum buka rekening bank, tempat ini menjadi destinasi untuk kirim uang ke sanak saudara dengan biaya yang relatif terjangkau. Untuk saat ini kantor pos selalu melakukan oerbaikan sistem pelayanan, dengan membuka layanan pembayaran untuk angsuran rumah, kendaraan, dll.
Terakhir kesini, pelayanan ramah, area parkir luas, dan tidak begitu ramai, jadi pelayanan sangat cepat.",4,6 tahun lalu
Kantor Pos Batulicin,Mahda Maria,"paket status pengantaran tp 2 hr tidak sampai""",1,2 minggu lalu
Kantor Pos Batulicin,karsa yuda,area parkir lumayan tertib dan pelayanan nya bagus,5,2 tahun lalu
Kantor Pos Batulicin,tenma nomer02,tau knp pos kalah saing sama jnt dll? y karna memang pelayanannya yg jelek. saya tau pos itu bumn mau merugi juga pegawainya tetep d gaji tpi tolong yg bener dong kalo kerja. bumn jg masih jalan karna meski rugi y karna suntikan dana dri pemerintah. dana pemerintah sebagian besar jg dari pajak rakyat. ga merasa bersalah kah kalo kerjanya gini?,1,setahun lalu
Kantor Pos Batulicin,Febrianty,"pelayanannya sudah bagus, lancar2 aja, tpi yg kurang nyaman, ada tukang parkir, padahal markir dsitu ndak sampai 5 menit, ndak d bantuin juga, tapi tetap dsuruh bayar parkir,",3,setahun lalu
Kantor Pos Batulicin,Muhammad Nur Widhiyanto,"Pelayanan berserta kurirnya tidak amanah, saya bayar paket ekspres yg biayanya 2 kali lipat lebih mahal karena isinya adalah makanan.. katanya sehari sudah sampai ke alamat tujuan, tapi sampai detik ini paket belum diantar ke alamat tujuan pdhal sudah 4 hari, serasa kirim ke luar pulau padahal ini hanya beda kecamatan saja dan masih satu kabupaten. Tolong dipertanggungjawabkan apa yang sudah diomong.. karena omongan itu amanah jika tidak ditepati akan berimbas ke diri sendiri.",1,2 tahun lalu
Kantor Pos Batulicin,Andi Sinta,"Kok paket sdah 3 hri blm di antar2 padahal itu penting bnget,mau chat no wanya jga tdk ada,kenapa pketqw gagal antar terus..klau ada apa2 wa Dong kan ada no wa tertera😭 …",2,2 tahun lalu
Kantor Pos Batulicin,HD Official,"Sudah selayaknya BUMN PT. POS Indonesia di tutup, karena manajemen perusahaannya kurang baik, jika terus terusan pelayanannya buruk dan merugikan negara lebih baik ditutup sja toh masih banyak jasa pengiriman lain seperti JNT, JNE, Secepat dll.",1,3 tahun lalu
Kantor Pos Batulicin,almahyra sherin,"kecewa bget sama pos,paket org main buka aja dan ada sebagian brang di ambil jga...",1,setahun lalu
Kantor Pos Batulicin,Keo Com,"Yang telpon direktur  pos aja di sepelekan,, tidak diangkat. Gimana pos mau maju pelayanan saja seperti itu . Gaji jaspro aja yang minta naik naik"" .. tolong di sampaikan sama pimpinan cabang kalian untuk mengangkat telpon  salam dari direktur logistik  HR Adi",1,4 tahun lalu
Kantor Pos Batulicin,Kadek Sarini,"Kalau barang datang, tolong di telp no hp yang tertera di paket,,, sudah beberapa kali barang saya datang, jangankan di antar. Kabar pun ga ada.",2,5 tahun lalu
Kantor Pos Batulicin,Mbah Pat,Udah smp batu licin dari 4 hari lalu ngga jelas mau diantar apa harus diambil sendiri. Padahal alamat di batulicin juga. Itu kan ada nomor wa di paket ngga bisa pakai wa apa?,1,4 tahun lalu
Kantor Pos Batulicin,Galih Wahyu,"Kak tolong kalo barang datang mohon pemilik barang dikabari, ulun 2 kali barang ada di pos batulicin enggak dikabari dan harus langsung ke kantor pos sedangkan rumah ulun jauh, mohon  tanggapannya 🙏 …",4,5 tahun lalu
Kantor Pos Batulicin,Endangsri hartati,"Paket stuk sedang diantar menuju alamat, 2 hari kd diantar²",2,2 tahun lalu
Kantor Pos Batulicin,Calderock Gaming,Jam buka dan tutup tidak terjadwal dengan baik,1,7 bulan lalu
Kantor Pos Batulicin,Batu Licin,"Kacau,byk pungli,ngirim paket btl-makassar 95 ribu,gk beres ni pos",1,5 tahun lalu
Kantor Pos Batulicin,didin qwerty,"Pelayanan kasar, kayak ada masalah dirumah dibawa kekantor",1,3 tahun lalu
Kantor Pos Batulicin,Sendz Diyan,"Mudah""n ada yg respon ketika kami ingin ada pengaduan",1,2 tahun lalu
Kantor Pos Batulicin,Kepy Spil,"Penuh karyawan tidak profesional dalam bekerja, ciri khas penduduk batulicin",1,3 tahun lalu
Kantor Pos Batulicin,zull production,Hari minggu buka dari jam 8.00 sampai 12.00,5,6 tahun lalu
Kantor Pos Batulicin,Yuhalil Maulana,Klo ada kendala telpon dong jngn diam,1,Diedit 5 tahun lalu
Kantor Pos Batulicin,NicoLana Surya Nirlanda,lambat,1,6 bulan lalu
Kantor Pos Batulicin,safarullah safar,Pa boleh tau berapa nomor kode posnya pa,5,4 tahun lalu
Kantor Pos Batulicin,Putri Toledor,Kk kode pos nya apa,5,5 tahun lalu
Kantor Pos Batulicin,Muhammad Yuliadi Rahman,Buka pagi sampai sore,4,Diedit 2 tahun lalu
Kantor Pos Batulicin,Valiant Shan,Minta no.WA dong ?,5,6 tahun lalu
Kantor Pos Batulicin,Nabil Pradana,"Pelayanannya ramah, bagus.",5,7 tahun lalu
Kantor Pos Batulicin,andreas krispiadi,Mantap..,4,3 tahun lalu
Kantor Pos Batulicin,Imam Sugianto,Pelayanan sangat bagus,5,6 tahun lalu
Kantor Pos Batulicin,Fredi Indra Saputra,Hari minggu buka gak,5,6 tahun lalu
Kantor Pos Batulicin,judin loop,Oke,5,8 tahun lalu
