Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Indonesia Cabang Bontang,Gerry Sia,"Mantap pengiriman tepat waktu & kurir ramah sekali.
Semoga pengiriman paket pos indonesia berjaya kembali seperti masa lampau, saran saya akan lebih bagus lagi kurir pos indonesia memakai seragam pak pos seperti dulu & pakai motor warna oren, biar lebih iconik.",5,3 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Lina K Soewita,"Kecewa dg pelayanan pt. Pos. Report pd track perintah pengiriman ke alamat tujuan jam 10 pagi, jam 16.00 tercatat paket harus diantar ulang Krn rumah kosong.
Bohong banget...  Rumah penerima tidak kosong, malah semua penghuninya ada. Klo pun kurir udh nganter dan ternyata TDK ada yg bukain pintu, di situ tercatat no HP penerima...  Kapok pake jasa post.",1,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Fiqih Afif Putra,"Selalu dapet potongan voucher dari posaja setiap tanggal kembar, Pak Raven selalu ngarahin pake lewat PosAja! thanks Kantor Pos Bontang, sukses selalu!! 🙏 …",5,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,tallin talien,"Pelayanannya busuk banget! Gimana SOPnya Pos Indonseia ini? Kalo semua CS kelakuannya begitu dipastikan orang enggak menggunakan jasa POS Indonesia. Hari ini Tanggal 21/12/24 sekitar jam 10.30 WITA, saya ke ke Pos Indonesia, dilayani sama CS yang nama digatenya Reza (gak tauk deh itu namanya apa bukan, karna hanya 2 CS perempuan yang melayani dan saya dilayani sama CS perempuan pake baju biru navy hijab navy)

Kocak tuh CSnya, belum kelar melayani saya sudah digeser aja, saya belum bayar si CS udah manggil customer lainnya, tanpa menanyakan apa². Udah gitu jutek banget. Setelah tiba² dy geser saya, saya langsung liatin dy terus dengan entengnya dy bilang ""udah kelar ya"" Begitukah POS indonesia mengajarkan CSnya melayani customer?

Benar² pelayanan yang busuk! Perlu banyak pembenahan.",1,8 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Mashari 77,"Terima Kasih Kantor Pos Bontang Pelayanannya cepat, kurirnya Profesional dalam bekerja.",5,Diedit 6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Abadi Nugroho,Tempatnya luas nyaman. Parkiran juga luas. Lokasi di tengah kota mudah di jangkau. Kalau pagi masih agak sepi.,4,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Kokoh Handoko,Tempat yg terpercaya melayani masyarakat apalagi di kota kota kecil yang belum menjamur jasa kurir.,5,3 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Ravenxa Porsiana,"Keren
Saya Sangat di bantu baik dalam pelayanan kiriman ataupun pembayarab",5,7 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Evi Handayani,"Sangat membantu untuk pembayaran bulanan, pelayanan satu pintu, pelayanan sangat cepat, petugas dan securitynya sangat membantu dan memberikan pelayanan maksimal.",5,11 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Sudirman Sudirman,"Pengantaran cepat, penanganan komplain cepat

..",5,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Ardiansyah Harman,"1 atap untuk semua pembayaran dan solusi untuk segala pengiriman baik dokumen, Paket atau untuk Pindahan alat2 berat lainnya",5,setahun lalu
Kantor Pos Indonesia Cabang Bontang,Elzo Maliqalyubbi,Pelayanan mudah dan cepat. Karyawan ramah2.,5,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Kukuh Hadiyanti,"Setiap bulan bayar listrik dan air di kantor pos, pelayanan sangat memuaskan, cepat meski antrian cukup banyak, selalu ramai hampir tidak pernah sepi.

Menghindari antrian yang panjang saya biasa bayar sore - sore pulang kerja, tapi untuk memuaskan para pelanggan saat ini kantor pos buka sampai jam 20.00. ( 8 malam).

Salut untuk kantor pos Bontang. 👍👍",5,6 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Umi Marfuah,Loket pelayanan tercepat pokoknya,5,6 bulan lalu
Kantor Pos Indonesia Cabang Bontang,Wardhana Hadi S23CWH,"Sudah lama tidak kirim paket via Kantor Pos. Ternyata sudah berubah. Ruang nyaman, petugas ramah, antrian pake nomor. Menyenangkan. Tapi pengen liat dulu, sampai tujuan berapa lama dan barang dalam keadaan bagaimana. :)",4,5 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Melinda Kusdiana,"Mantap, pelayanannya bagus dan ramah sekali.
Bayar bayar dan kirim paket mending ke PosAja",5,2 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Rezha Fatmawati,"Kantor pos bontang buka layanan tiap hari. Slama pandemi covid 19, dari senin sampai jumat jam operasional sampai jam 7 malam. Sabtu sampai jam 3 sore dan minggu sampai jam 12 siang.",5,Diedit 4 tahun lalu
Kantor Pos Indonesia Cabang Bontang,yuli abdi,Kantor yg cukup besar dengan fasilitas yg baik di lengkapi dengan AC meski antri tapi banyak tempat duduk,4,2 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Syl A,Sejauh ini pengalaman saya disini kalau di rata2kan ya hasilnya 3 bintang saja. Beberapa staf2nya perlu ditraining lagi agar lebih professional namun beberapa sudah menunjukkan profesionalisme-nya. Tapi semakin kesini semakin membaik.,3,Diedit 5 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Rifda Aulia,"pelayanannya bagus dan sering buka, malam pun buka, sekarang udah bisa bayar migas bontang juga, jadi gak perlu jauh² ke telihan",5,4 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Ardianto Saning,Barang dah nyampe d hub bontang ngak di kirim2 ke sgt . Lambat sekali pelayanannya sudh 2 hari,2,5 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Novi Kaligrafi,Baru injak kantor pos lagi 😂 …,5,5 tahun lalu
Kantor Pos Indonesia Cabang Bontang,MinuL MentuL,"Disambut oleh sekuriti, antrean dengan mesin antrean, gak pernah antre nunggu lama. kecuali full banget kantornya. tapi gak pernah lama kok antrenya.",5,Diedit 4 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Abdul Gani Wijaya,Kantor pos melayani pembayaran PDAM listrik dan pengiriman paket serta Dokument,5,8 tahun lalu
Kantor Pos Indonesia Cabang Bontang,Sayyid Muhammad Ali Ridha,Sering gangguan kocak,1,4 bulan lalu
