Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Kandangan,husain,Buka nya molor dr jadwal,1,2 bulan lalu
Kantorpos Kandangan,Arsya Habibie,Barang AQ lama baru d infut,3,4 bulan lalu
Kantorpos Kandangan,Mhinan Elkan,"Bagus. Pelayanan cepat. Loket layanan untuk customer ada beberapa jadi tidak lama antre. Full AC tempat duduk nyaman bersih dan layanan respon  cepat. Sarana parkir cukup luas untuk roda 2 atau roda 4.  Dekat dengan jalan langsung masuk tidak dijalur menggunakan jalur 2 arah. Masuk lokasi bisa dari arah mana saja. Jam sibuk pada jam 09.00am sampai jam 12.00pm. Hari sibuk mulai hari senin sampai hari kamis. Hari sabtu tetap buka. Jasa yang tersedia pembayaran online seperti bayar listrik angsuran kredit dan bayar pembelian online , pulsa , paket kouta internet , layanan pengiriman barang/dokumen , layanan transfer uang dan tarik tunai.",5,Diedit 7 tahun lalu
Kantorpos Kandangan,Rani T,"Tingkatkan lagi kualitas keramahan di bagian loket nya, pelayanan nya sudah berubah sudah tidak seramah dulu🙂 …",1,setahun lalu
Kantorpos Kandangan,Adhan Gaga,pelayanan pelanggan sangat buruk,1,8 bulan lalu
Kantorpos Kandangan,Abu Salem,"Pelayanan Mantap, Barang kita langsung diantarkan kerumah....",5,9 tahun lalu
Kantorpos Kandangan,Arif yayan,"Pelayanan bagus
Kemarin kirim motor ke samarinda di kantor pos ini",5,8 tahun lalu
Kantorpos Kandangan,V_arts,pelayanannya terbaik sejagat raya,4,2 tahun lalu
Kantorpos Kandangan,muhammad noor ihsan,Selain kirim barang bisa bayar apa aja di pos,5,7 tahun lalu
Kantorpos Kandangan,black,Kantor Dengan pelayanan terbaik,5,2 tahun lalu
Kantorpos Kandangan,Kusuma Yudha Kurnia,Pelayanan ramah,5,10 bulan lalu
Kantorpos Kandangan,KK 040,Mantap,5,3 tahun lalu
Kantorpos Kandangan,jalan jalan utuh meratus,Puas,5,6 tahun lalu
Kantorpos Kandangan,Panjie Wardhana,Satu satunya,4,8 tahun lalu
