Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Ketapang,Next Travel Mate,"Kantor utama kantor pos di kabupaten Ketapang.
Biasanya kesini untuk beli materai.
Pelayanan sih tergantung ramai atau tidak pengunjung pada saat kita datang. Untuk petugasnya saat saya kesana ada dua orang yang berada di loket.
Saat ini kantor pos bukan hanya melayani pengiriman barang, penjualan materai, penjualan perangko, akan tetapi saat ini di kantor pos kota juga bisa membayar berbagai macam tagihan seperti tagihan  listrik,bpjs,asuransi,BTN, Paspor, dan lain sebagainya.",4,setahun lalu
Kantor Pos Ketapang,San Silk34,"Sering ke ktr pos,tp bukan buat kirim brg.
Biasanya buat byr BPJS atau beli materai.
Pelayanan tergantung ramai atau tdk pengunjung hr tsb,tp overall ikutin antrian jg ga berasa. Ada 3org biasanya yg layani.
Ktr pos cukup mengikuti perkembangan jaman,sekalipun org skg jarang pakai perangko buat kirim brg,tp skg di ktr pos bs buat byr apa aja,td tagihan listrik,bpjs,asuransi,BTN dll
Maju terus pak POS",4,Diedit 4 tahun lalu
Kantor Pos Ketapang,Pixel Bag,"Membantu Distribusi bansos itu mulia ya pak saya pun senang jika menjadi bagian dari kebaikan, namun jika pekerjaan utama di lalaikan atau di kesampingkan itu seperti sodakoh tapi tidak Sholat, kiriman saya yg sudah sampai dari tanggal 29 November tidak disetorkan sampai tanggal 1 Desember karena alasan bagi2 Bansos... saya bukan pengusaha besar saya sekedar UMKM yg ingin mengembangkan usaha saya jadi tolong Utamakan yg menjadi kerjaan wajib anda... Saya STOP kirim pakai pos kalau masih alasan bansos bansos & bansos....",1,2 tahun lalu
Kantor Pos Ketapang,Caca S.,Aneh kadang antri pakai kertas antri kadang nggak usah. Terus suka nggak sinkron sama aplikasi jual beli yg menurut sistem aplikasi bisa kirim sehari sampai ke Jabodetabek tapi pas ke loketnya nggak bisa bikin bingung. Kadang lebih murah dari ekspedisi lain tapi lama kadang malah lebih mahal tapi tetep lama 😁😁. Kadang kiriman dari luar negeri kena bea cukai kadang enggak padahal nilainya sama nggak sampai 5$. Jadi serba kadang-kadang tergantung keberuntungan anda sepertinya 🤣🤣,3,6 tahun lalu
Kantor Pos Ketapang,mamat hendrasuanto (mamat),"bang saya mamat , dari desa kuala tolak MHU, mau nanya bang kenapa surat dari google adsense yang berisi (PIN) belom di antar ke rumah saye, 🤔🤔
kan di situ udah jelas alamat rumah saye bang, tolong lah bang yee kalau bise minta antar kan segera ke rumah saye bang ye. 🙏🙏🙏 …",5,2 tahun lalu
Kantor Pos Ketapang,Ronggrongg Snow16,"Kantor pos memang paling hebat klo buat customer nya menunggu tampa kejelasan, masih indonesia loh kalah sm barang dr luar negri yang bisa nyampe dlm 1 minggu,ini ngirim barang lebih dr 2 minggu, dan klo gk di tanya benar2 gk ada konfirmasi, alasan nya di luar batas antarlah, harus pke speedboat lah, tau gtu jangan di terima barang nya klo sekiranya belum mampu mengirim keluar pulau,,",1,4 tahun lalu
Kantor Pos Ketapang,Vincentius Bondhan,"Jadikan pilihan terakhir jasa pengirimanmu! Kalau mau iseng2 kirim ke Ketapang, bolehlah pakai ini. Kalau barang penting, pakailah yang lain. Dikomplain kantor pos asal pengiriman dan tujuan pengiriman, dijawab dengan versi berbeda. Maaf, ya Kantor pos, saya cuma mau bantu mereka yang terburu2, tapi masih sempat browsing.",1,6 tahun lalu
Kantor Pos Ketapang,Hobi mancing,"Udah satu bulan lebih pin adsense saya belum sampai
Tolong kalau sudah ada jangan di tumpuk segera kirim",1,2 tahun lalu
Kantor Pos Ketapang,EKY,kantor pos pemalas. selalu gagal antar alasanya rumah ga ada orang atau ga ketemu alamat. padahal alamat di jalan besar dan ttoko bangunan yg selalu ada orang. ini kan intinya biar di ambil sendiri k kantor,1,6 tahun lalu
Kantor Pos Ketapang,Maulana Muhtadi,Bagus pelayanan oke.. saran saja terkadang sangat ramai jadi kalau ada keperluan sebaiknya lebih awal saja,5,3 tahun lalu
Kantor Pos Ketapang,Yohanes Denggol,"Pelayanannya tertib dg no antri dan cepat ..,...",5,setahun lalu
Kantor Pos Ketapang,Hengky chap cunng,"Barang saya sudah nyampai di kantor antaran ketapang. Di teruskan ke kantor antaran marau....
Udah 5 hari, kok blom nyampai2 barang nya.? ( ???? )",1,3 tahun lalu
Kantor Pos Ketapang,Rodhiyant Rodhy,Maaf pak mau tanya paket yg dikirim kesaya kok belom nyampe ya ... padahal sudah 2 minggu lebih...,4,7 tahun lalu
Kantor Pos Ketapang,RIKARDI,Pengiriman paket selalu telat/tidak sesuai prediksi. Katanya 2-4 hari malah lewat jauh dari prediksi,1,6 tahun lalu
Kantor Pos Ketapang,jeky martono,Yang buat jam kerjanya ini...asal2an. Klo org dari daerah hulu datang hari sabtu dan minggu kan sia2.,2,Diedit 7 tahun lalu
Kantor Pos Ketapang,Muhammad Bayu Ridho,Kirim kilat klo ke ketapang sama ky kirim biasa sudah 8hari blm sampai,1,4 tahun lalu
Kantor Pos Ketapang,Theo Rey,Kok barangnya lama banget sampainya udah satu minggu loh :(,1,6 tahun lalu
Kantor Pos Ketapang,Raidah Azis Falhum,Paket udah nyampe ketapang dari tgl 3 tapi sampe sekarang blom sampe ketangan saya. Lamaa !!!,2,7 tahun lalu
Kantor Pos Ketapang,Aprillia Marpaung,"Kmrn sy cek paket sy ud smpe ktpg,tp sy kok blm dihubungi y",3,7 tahun lalu
Kantor Pos Ketapang,Gracela Aprianata Heng,Ada layanan Western Union gak?terus limit uangnya itu brp?langsung sampai kah?,3,5 tahun lalu
Kantor Pos Ketapang,pangki sukiyanto,Kok barang saya udah 11 hari belum sampai juga,1,6 tahun lalu
Kantor Pos Ketapang,Djimi Tahir,Lumayan.. khusus pelayanan dapat ditingkatkan lagi dari segi waktu...,3,6 tahun lalu
Kantor Pos Ketapang,Milano Temmy,"Bagus,semoga kedepan nya tempat² di ketapang sudah masuk dalam google map semua.",5,4 tahun lalu
Kantor Pos Ketapang,Heni Sulastri,Lammaaaaaaaa... Udah lebih seminggu masih gak d airupas... Apehal!!!!!!,1,6 tahun lalu
Kantor Pos Ketapang,Inggar Bahari,Paket saya sudah 3 hari tidak dikirim,1,5 tahun lalu
Kantor Pos Ketapang,Nanda David Tiopan,Nomor telpon ket : Nomor yang anda tuju belum lengkap,1,6 tahun lalu
Kantor Pos Ketapang,Komar Vhalegar,Bersih nyaman,5,2 tahun lalu
Kantor Pos Ketapang,Enggar Pratiwi,Sangat membantu saya...tanpa ribet...😊😊😊 …,5,5 tahun lalu
Kantor Pos Ketapang,abyasa susanto,Pelayanan Prima perlu ditingkatkan,2,4 tahun lalu
Kantor Pos Ketapang,Zarriel CH,Paket ku dak sampai²,3,6 tahun lalu
Kantor Pos Ketapang,Joko Samudra,kapan anda kesana pak,5,setahun lalu
Kantor Pos Ketapang,Asep Kayana,semakin baik lah,5,6 tahun lalu
Kantor Pos Ketapang,Ambar Arum,Tetap jaya diudara,5,3 tahun lalu
Kantor Pos Ketapang,Mr Ridvan,pelayanannya bagus,5,Diedit 6 tahun lalu
Kantor Pos Ketapang,Rahma Apriana,Pelayanan cepat dan ramah,4,5 tahun lalu
Kantor Pos Ketapang,Kapten Oleng,Pengiriman lambat....,1,5 tahun lalu
Kantor Pos Ketapang,Bang Durex,Pelayanan ramah,4,4 tahun lalu
Kantor Pos Ketapang,Rendra Reonardo Dwi Putra,Selalu sibuk,4,3 tahun lalu
Kantor Pos Ketapang,abdu somad,Siip..👍👍👍 …,5,5 tahun lalu
Kantor Pos Ketapang,Panguripan Pradana,Bersih dan kurang ramah.,3,4 tahun lalu
Kantor Pos Ketapang,Wahyudi Akuntansi,Sangat cepat,4,5 tahun lalu
Kantor Pos Ketapang,Yogi Prasetio,bersih,5,7 tahun lalu
Kantor Pos Ketapang,Wilbert Orlando,Mario Gomez,4,8 tahun lalu
Kantor Pos Ketapang,abuFathy,beli matrai,3,8 tahun lalu
Kantor Pos Ketapang,santi chai,Kopi mario,3,9 tahun lalu
