Pos Office Branch,User,Reviews,Rate,Date
Post Office of Pangkalan Bun,ta chan,sukses terus memberikan pelayanan terbaik. dekat dengan rumah sakit dan perkantoran. hari kerja sampai hari minggu. antrian bagus. masih ada toleransi kalau cuma ingin beli materai. melayani pensiunan juga. semoga ada mobiling nya juga ya. sukses selalu.,5,7 tahun lalu
Post Office of Pangkalan Bun,Ryal Ahwanda sitorus,"Izin bertanya, hari minggu apakah buka? Atau ada nomer wa yg bisa di hubungi?",4,sebulan lalu
Post Office of Pangkalan Bun,Ndro o̴,"dikirim dri kota malang ke pangkalanbun cuma butuh 2 hari, bravo bravo🤝 …",5,sebulan lalu
Post Office of Pangkalan Bun,Komang Arnawa,"Kirim surat, paket dan bayar² tagihan bisa disini",5,2 tahun lalu
Post Office of Pangkalan Bun,Oo Suharto,Pelayanan yang semakin baik di Kantor Pos Pangkalan Bun,4,7 tahun lalu
Post Office of Pangkalan Bun,Kalteng1geming Kalimantan tengah,Terimakasih layanan kantor pos 🙏🥰 …,5,3 minggu lalu
Post Office of Pangkalan Bun,abim abdilah,"Kalo perihal paket barusan dapat kiriman dari bogor luar biasa diatas ekspektasi 3 hari nyampe, nah tinggal peningkatan pelayanan yg di kantor pbun agar lebih ditingkatkan biar bisa besaing lwn swasta",5,2 tahun lalu
Post Office of Pangkalan Bun,Joko Wiyono,saya nunggu paket ktnya pk paket kilat khusus smp 2-3 hr tp ini udah 1 mingguan blm ada brng keterima...dicek pengiriman brng dr tgl 20-08-2019 dan tgl 23-08-20199 brng dah di kantor pos pangkalan bun....kok smp tgl 27-08-2019 brng blm smp jg ke Lamandau to pak...maaf saya pribadi bnr2 kecewa pake jasa kantor pos....,2,5 tahun lalu
Post Office of Pangkalan Bun,Itsmesusan,"CS nya kasar, tidak ramah sekali
Cuma nanya doang soal paket jawab nya kesan kasar bgt kek emosi gitu. Ga bisa ramah jawabnya baik"", wajar kan soal nanyain paket, ya jelas nanya""
Ditelp in juga gada sapaan salam atau apa"", mesti kita mulai ngmng dluan",1,4 tahun lalu
Post Office of Pangkalan Bun,ariya widiantara,Sudah ambil nomor antrian tp yg gak ambil antrian malah duluan,2,7 tahun lalu
Post Office of Pangkalan Bun,dwi lestari,"Pengantaran brg mohon diperbaiki dong pak, masa barang blm sampai dari perkiraan biasanya pos biasa 14hari sdh sampai ,ini malah lebih dari 14hari dan gak cuma sekali 2 kali Ini",1,6 tahun lalu
Post Office of Pangkalan Bun,Ardians Borneo,"Pos Indonesia melayani pengiriman seluruh Indonesia hingga pelosok – pelosok, bahkan sampai ke luar negeri dan sampai saat ini Pos Indonesia masih yang terlengkap dalam melayani pengiriman barang atau paket hingga pelosok Indonesia tidak seperti jasa pengiriman lainnya yang hanya menjangkau daerah – daerah tertentu saja atau kota – kota besar saja.",4,7 tahun lalu
Post Office of Pangkalan Bun,Kiky Shekar,"Pelayanan ramah, kalo kirim barang lewat pos menurut aku paling murah",4,setahun lalu
Post Office of Pangkalan Bun,Krisna Gamers22,Sudh 5 hari pket blm brubh sttus. Ini mksdnya gmna??  Saya pakai pket kilat khusus 2-4 hari nytany gk ad smpe jam sgni. Tlong lah gmna tindak lnjutnya,2,5 tahun lalu
Post Office of Pangkalan Bun,Ummu Hammam,Paket jurusan sampit aja dari tgl 9 sampe sekarang tgl 12 nggak jalan2.. Aku kira paling kaya di palangka.. Sampe palangka langsung kirim sampit.. Lha ini.. Kaya ke lain pulau aja.. Nggak recomend banget..,1,3 tahun lalu
Post Office of Pangkalan Bun,Widodo Redmi,"Pelayanan ramah,bayar apapun lengkap dan buka sampai malam..",5,11 bulan lalu
Post Office of Pangkalan Bun,Alhadad Official,Khusus kirim2 kesini aja paling pas,5,4 tahun lalu
Post Office of Pangkalan Bun,Tri ubai Ubai,"Atas nm tri gareng kpn barang sampai pangkalan bun, dari tgl 14 januari sampai 21 januari 2020 kok belum dateng, pos kilat, cukup skian dan trimakasih. 🙏 …",3,5 tahun lalu
Post Office of Pangkalan Bun,Zai Nuri,"Sekarang sudah mulai bersaing banyak kompetitor baru,ayooo pasti bisa",5,11 bulan lalu
Post Office of Pangkalan Bun,Agung Utomo,"sangat terbantu adannya Post Office of pangkalan bun, dikarenakan bisa membantu masyarakat dalam bidang keuangan dan pengiriman barang.

SUBSCRIBE KELUARGA AAA UTOMO",5,4 tahun lalu
Post Office of Pangkalan Bun,putra gaming 06,"Pos sekarang parah saya pesan barang tgal 28.10.2019 sampe sekrang tgal 01.11.2019 barang belum sampe juga, harus nya sudah sampe pangkalanbun ,kecewa saya dengan pelayananya ,sudah ongkosnya mahal ,lambat, lelet",1,5 tahun lalu
Post Office of Pangkalan Bun,Budi,"ruangan pelayanan sebesar itu hanya ada 1orang , posisi jam 14.05",1,setahun lalu
Post Office of Pangkalan Bun,Hary Aswin,Semakin inovatif dan adaptif dengan tuntutan konsumen dan perubahan zaman,5,11 bulan lalu
Post Office of Pangkalan Bun,faiqoh lailatuz zaim,"Pengiriman buruk, katanya 3-4 hari tapi nyatanya 15 hari. Ngak ada pertanggung jawabannya.",1,2 tahun lalu
Post Office of Pangkalan Bun,Jzun LF,"Koq lama ini udah 7 hari, katanya 2 smpai 4 hari kalo liat rute cuma 1 hari 6 jam sampai",1,5 tahun lalu
Post Office of Pangkalan Bun,Muhamad Budi,Mudah di Cari dan dapat melakukan pembayaran yang lengkap..,5,11 bulan lalu
Post Office of Pangkalan Bun,Sandiii,"Lama paketnya dtng etimasinya blgnya 2 hari sampe skrg blm nyampe""",2,3 tahun lalu
Post Office of Pangkalan Bun,Paijah SiTi,Masaa pktan qq udah 12 hr sjak d krim dr jawa smpe skrang blm datangg .. mohon infonya dongg..,1,5 tahun lalu
Post Office of Pangkalan Bun,Yovin,Kantor POS yang bagus dan baik pelayanannya,5,Diedit 8 tahun lalu
Post Office of Pangkalan Bun,Alexandhe S.,"Pelayanan ramah, paket surat sampai dengan selamat",5,setahun lalu
Post Office of Pangkalan Bun,Mistin Ypi,Kemaren pagi setatusnya udah di pangkalanbun tapi sampe sekarang blm berubah padahal tujuanya cuman sampe balai riam,1,3 tahun lalu
Post Office of Pangkalan Bun,Budi 3051,Lambat banget sih dari Palangka ke pbun sumpah lama amat. Ini masih satu provinsi loh,2,5 tahun lalu
Post Office of Pangkalan Bun,andre omega,Paket dan surat nya cepat sampai,5,11 bulan lalu
Post Office of Pangkalan Bun,Wisnu Adi,Pelayanan Bagus dan kantor nyaman,5,11 bulan lalu
Post Office of Pangkalan Bun,Fikri haikal,Sangat memuaskan,5,11 bulan lalu
Post Office of Pangkalan Bun,Ratna Indraswari,Nomor antrian satu untuk semua loket..ribet dan lama,2,8 tahun lalu
Post Office of Pangkalan Bun,Deysi Rinna,Pelayanan sangat baik,5,11 bulan lalu
Post Office of Pangkalan Bun,Wisnu Adi Kusuma,Pelayanan baik ramah,5,11 bulan lalu
Post Office of Pangkalan Bun,Hermawan Reza,waktu SD bolak balik ke sini buat beli prangko..,5,4 tahun lalu
Post Office of Pangkalan Bun,Noak Solah,Semoga bisa berbenah agar lebih bagus lagi,3,3 tahun lalu
Post Office of Pangkalan Bun,hady Syn,"Produknya semakin inovatif, layanan cepat",4,8 tahun lalu
Post Office of Pangkalan Bun,aridha,"Pemgiriman cepat, murah dan pelayanan yang baik.",4,Diedit 7 tahun lalu
Post Office of Pangkalan Bun,Senosp 6,pos kilat  mahal  lambat lagi nyampainya,1,5 tahun lalu
Post Office of Pangkalan Bun,Ronny Rahmad Ramadhan,Sukses memberikan pelayanan terbaik.,5,7 tahun lalu
Post Office of Pangkalan Bun,Rnd Rsbl,Kantor pos regional kabupaten pangkalan bun,4,7 tahun lalu
Post Office of Pangkalan Bun,Darwin,Sering ngeposkan barang ke jakarta,4,3 tahun lalu
Post Office of Pangkalan Bun,Eko Prasetyo,Semangat,5,11 bulan lalu
Post Office of Pangkalan Bun,Mico lxander,Perbaiki dan percepat pelayanan,2,Diedit 6 tahun lalu
Post Office of Pangkalan Bun,Slamet Ainur rahman,Pelayanan bagus.. Respon bagus,5,3 tahun lalu
Post Office of Pangkalan Bun,Sunan Fatah,Apa ya?,1,2 tahun lalu
Post Office of Pangkalan Bun,Ketut Prasojo,Tempat ngirim paket,5,2 tahun lalu
Post Office of Pangkalan Bun,Pak Pooh,Lebih jozz servicenya,5,6 tahun lalu
Post Office of Pangkalan Bun,Achmad Rosyadi,service memuaskan,5,6 tahun lalu
Post Office of Pangkalan Bun,Andri Setia Purnama,Tempat pengiriman barang,5,4 tahun lalu
Post Office of Pangkalan Bun,Hendrianus Samuel Hutabarat,Bagus,5,4 tahun lalu
Post Office of Pangkalan Bun,Yunita Yunita,Respon lambat,1,6 tahun lalu
Post Office of Pangkalan Bun,Lux Lux,Alhamdulillah,5,4 tahun lalu
Post Office of Pangkalan Bun,kristian limbong,Tempat bersih dan mudah diakses,5,2 tahun lalu
Post Office of Pangkalan Bun,Yusuf Tetsuya,Bagus,5,Diedit 2 tahun lalu
Post Office of Pangkalan Bun,Coach Oghox,Bagus,5,6 tahun lalu
