Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Samarinda,Aldo Kurniawan,"Paket nyasar karna salah kode pos, sampai kantor pos langsung ketemu petugas disuruh besok datang untuk diambil karena barang masih di kantor pos cabang, keesokan harinya diantar kurir jadi ga perlu datang ke kantor, terimakasih buat petugas dan kurirnya 🙏 …",5,sebulan lalu
Kantorpos Samarinda,Nara Si Bolang Jawa,"Paket gak di antar2 alasan numpuk lah , apa iya . Keknya skrg yg pake pos juga sepi apalagi area kota Samarinda . Mending pake jnt jne jelas kurir nya mau ambil paket juga enak kantor buka terus weekend pun . tanpa biaya parkir lagi wkwkw 🤣

Chat kapan di antar malah disuruh sabar dan blm tahu kapan bs di antar .
Parah ih pdhl urgent bgt , ngapain bayar mahal klo ujung nya gak di antar , mau di ambil jg kantor nya jauh .

Gmn mau dpt simpati dari masyarakat klo pelayanan aja buruk gini , perusahaan BUMN kok payah gini 🙄",1,5 bulan lalu
Kantorpos Samarinda,Murdani Renault,"Pelayanan kurir Pos Kargo parah masa dr Surabaya
dr tanggal 17 di tanggal 21 baru di berangkatkan ke Banjarmasin,trus sampe Banjarmasin baru tgl 25 dan sampai saat ini di tgl 27 Februari Saya belum di terima  pesanan di Samarinda.
Jera jera jera pke POS",1,5 bulan lalu
Kantorpos Samarinda,Ronny Hidayat,"Ada tukang parkirnya, padahal BUMN, harusnya gratis parkir, masa kalah sama Indomaret.",1,5 bulan lalu
Kantorpos Samarinda,Sulthon Fathoni,"Paket sudah 3 kali statusnya tidak diantar KARENA DILUAR BATAS ANTAR2 TERJADWAL.
Tidak ada jg yg hubungi ke telpon penerima.",1,6 bulan lalu
Kantorpos Samarinda,Melinda Yunira Pusung,"Brg smpe 3 hari ga di antar""",1,sebulan lalu
Kantorpos Samarinda,Ahmad Nurrofiq,"Pelayanan Kantor pos saat ini sangat baik, mampu bersaing dengan jasa pwngiriman yang lain. jika anda berbicara harga, anda akan mendapatkan pilihan harga pengiriman yang sangat murah jika menggunakan jasa pos indonesia untuk mengirimkan barang anda.",4,Diedit 8 tahun lalu
Kantorpos Samarinda,Azidah,"pelayanan ramah, pegawainya baikkk pollll 😁 …",5,2 bulan lalu
Kantorpos Samarinda,Bams Bams,"Keren kantor posnya udah di renov ✔
Di parkirannya lagi ada jasa service, ganti oli dll dari astra ✔lumayan murah dari pada ke bengkel ga jelas.",5,7 tahun lalu
Kantorpos Samarinda,Andi Syamsu Alam,"Pelayanan publik kok, jam 8.00 wita loketnya baru buka, itu pun baru 2 org pegawai yg turun. Malu donk dengan Kantor Pelayanan Publik yg lain.",1,2 tahun lalu
Kantorpos Samarinda,Gt phoncell,"Paket tidak diantar
Kasih keterangan palsu
Padahal ada nomor telfon peneriman nya tapi tidak dihubungi
Kita para pedagang kecil merasa sangat dirugikan dengan ongkir mahal harusnya paketnya harus sampai
Kalau orang nya nolak sih saya masih bisa terima
Tapi orangnya nanyain paketnya terus.
Udah mingguan nggak diantar antar bahkan nggak nelfon",1,10 bulan lalu
Kantorpos Samarinda,Ramadhan Ikaskar,Semoga menjadi kebanggaan masyarakat Indonesia 😊 …,5,6 bulan lalu
Kantorpos Samarinda,Novy 3ifana,lama sekali tidak kesini bagus sekali pelayanan sekarsng,5,2 minggu lalu
Kantorpos Samarinda,Novie Andreani,"Kan pekerja ya, perusahaan pun punya sop apalagi utk pelayanan publik harus ramah. Yg jaga loket semua ga ada ramah ramahnya yaampun. Minimal senyum kek🙏🏻 ditingkatkan lagi ya utk pelayanannya bintang 1 …",1,10 bulan lalu
Kantorpos Samarinda,Fery ardi Fery,"Pelayan nya kurang ramah mbak nya, masa bentak nenek² yg mau nanya soal narik duit aja kn aneh",1,7 bulan lalu
Kantorpos Samarinda,Ila Aksari,Ini kenapa yahh paketku cuman sampai disini mulai tanggal 21 ? Kalo kewalahan tambah pegawai ajaa daripada pengirim/penerima tunggu paket tidak datang-datang. Terima kasih!,1,10 bulan lalu
Kantorpos Samarinda,Mora Laundry,"Pelayanan parah, tidak ada salam, tidak ada keramahan sama sekali, minta nota malah jutek, kirain bakal dikasih nota beneran taunya kertas nota tapi transaksinya ditulis manual seadanya tidak ada keterangan apapun hanya jumlah nominal. Customer bilang terima kasih pun tidak dijawab sama sekali padahal nyaring dan pasti didengar. Kalah dengan petugas pom bensin atau pos parkir.",1,setahun lalu
Kantorpos Samarinda,Angga Willem,"Gak ada nomor antrian,
Banyak loket yang masih ada staffnya tapi tidak menerima layanan. Dialihkan ke 1 loket saja. Keramahan petugasnya minus.

Mohon bisa diperbaiki Pos Indonesia Wilayah Samarinda, BUMN loh ini🙃🙃",1,setahun lalu
Kantorpos Samarinda,Ari Renaldi,Sangat buruk pelayanan sangat lambat,1,5 bulan lalu
