Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Sampit 74300,King Kong,"Jasa expedisinya sangat sangat buruk dari estimasi yang di tentukan,molornya smpai 1 minggu di tambah lagi,kurirnya tidak menemukan lokasi padahal lokasi dekat,dan di ganti pengiriman besoknya lagi,datang sih paketnya,tapi kurirnya sinis. Gak lagi pake jasa via poss. Sangat mengecewakan",1,3 minggu lalu
Kantor Pos Sampit 74300,Agus Sakroni,"Pelayanan ramah, dan harga terjangkau mudah²an perjalanan berkas yg dikirim bisa berjalan dengan lancar serta sampai dengan selamat, Terima kasih kantor pos",4,2 bulan lalu
Kantor Pos Sampit 74300,Siti Nursih,Maaf mau tanya di kantor pos ini bisa minta tolong cek kan kartu kis kah kak,3,2 minggu lalu
Kantor Pos Sampit 74300,Rani Deni,"Pelayanan nya bagus dan karyawan nya ramah-ramah, terimakasih pos Indonesia",5,3 minggu lalu
Kantor Pos Sampit 74300,asyhar ma'rufi,"Lain kali kalau nugasin kurir yang bener dong,masa surat bayar mahal2 eh surat nya dibalikin..pdhl awalnya saya ngirim sampai ke tujuan,begitu ngirim lg katanya alamat tidak jelas,,pelayanan yg mengecewakan",1,8 bulan lalu
Kantor Pos Sampit 74300,Aguh Dp,"Pelayanan oke ,parkir luas",5,9 bulan lalu
Kantor Pos Sampit 74300,Susilawati,"Tempatnya okay,pelayanannya juga lumayan okay,,,cuma untuk sistem money gram dari jumat kemarena smpe sekarang masih gangguan terus infonya hmm...",3,10 bulan lalu
Kantor Pos Sampit 74300,Ahmad Syaifudin,Hari kamis buka sampai jam berapa yah?,5,4 bulan lalu
Kantor Pos Sampit 74300,Ahmad Saufi,Mau nanya hari minggu beneran buka kah,5,sebulan lalu
Kantor Pos Sampit 74300,eko herman,"Pelayanan baik, paket sampai sebelum estimasi 👍 …",5,8 bulan lalu
Kantor Pos Sampit 74300,AfatimU,"Udah beli 3 emet, tapi pas upload beli 2 lagi di skil academy karna minus di saya 🥲, semoga diberi rezeki main disini lagi …",5,setahun lalu
Kantor Pos Sampit 74300,Hensam Asev,"Mantap, menjangkau seluruh pelosok negeri",5,setahun lalu
Kantor Pos Sampit 74300,Kurniawaty,pelayanan petugas sangat memuaskan terimakasih banyak...🙏🙏🙏 …,5,4 tahun lalu
Kantor Pos Sampit 74300,Moh. Rafi,Pelayanannyaip👍 …,5,4 minggu lalu
Kantor Pos Sampit 74300,Gusti Syahbani,Pelayanan nya baik,5,9 bulan lalu
Kantor Pos Sampit 74300,Erni Kurniati,"Pengambilan uang pensiun, antar & ambil paket, beli materai",5,2 tahun lalu
Kantor Pos Sampit 74300,Akhmad Fajar,Pembayaran PDAM dan kirim paket disini,4,setahun lalu
Kantor Pos Sampit 74300,Andreas Krisnanda,"pelayanan bagus ,dan ramah kepada pengunjung",5,2 tahun lalu
Kantor Pos Sampit 74300,riyan riyanto,Tempatnya strategis ditengah kota,3,setahun lalu
Kantor Pos Sampit 74300,Febrianor,Buka setiap hari,5,2 tahun lalu
Kantor Pos Sampit 74300,Endang setianingsih,Kantor pos kebanggaan kota sampit 👍 …,5,2 tahun lalu
Kantor Pos Sampit 74300,Agus setyo utomo,Sekarang melayani sampai malam,5,3 tahun lalu
Kantor Pos Sampit 74300,KAM Creator,Sangat memudahkan pengiriman,5,4 tahun lalu
Kantor Pos Sampit 74300,Iin Sanjaya,Sip dah,4,3 tahun lalu
Kantor Pos Sampit 74300,dana dean tv,Oke bgt,5,2 tahun lalu
Kantor Pos Sampit 74300,Liwa Prista Yudha,Siippp,5,3 tahun lalu
Kantor Pos Sampit 74300,Ardha Himawan,Bagus,5,2 tahun lalu
Kantor Pos Sampit 74300,Lisa Sampit,Nendy Elisya,5,2 tahun lalu
