Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Sanggau,Cahya Isnaini,"Pelayanan cepat untuk antrian pembayaran (listrik) berbeda dari yang pengambilan pensiun. Kalau untuk pengiriman kargo juga tepat waktu, biasanya saya menggunakan paket jumbo ekonomi dan estimasi waktunya sesuai.",5,3 tahun lalu
Kantor Pos Sanggau,my smsr,"Pilihan POs Sanggau, yang TERBAIK Memberikan layanan, KIrIM PaKet, TAGIHAN transaksi tOP",5,6 bulan lalu
Kantor Pos Sanggau,Maulidin Jumhi28 Official,"Paket saya diantar tanggal 2/12/19 dan sampai tanggal 6/12/18 belum dikirim. Alasan proses dokumen karantina. Tetapi biasanya proses karantina cukup 1 hari kerja.
Sudah saya telpon petugas saat tanggal 5, dia katakan akan dikirim ke pontianak untuk proses karantina di pontianak. Ehh..sampai saat saya komen ini tgl 6/12/19 ternyata paket saya masih berada dikantor pos sanggau.
Tolong profesonal dalam layanan...klo gini buat jera org kirim barang dari pos sanggau.",1,5 tahun lalu
Kantor Pos Sanggau,Dew Chunk,"Pelayanan Ramah dan cepat.
Dimulai dari petugas keamanan yang melayani dalam membukakan pintu, menanyakan kepentingan, mengambil an antrian, hingga mempersilakan tempat duduk.
Lanjut ke teller yang dengan ramahnya melayani kami sebagai pelanggan.
Di luar juga tersedia halaman parkir yang cukup luas.
Untuk korporasi dapat melakukan kerja sama dalam hal pengiriman dokumen.",5,6 tahun lalu
Kantor Pos Sanggau,Marta Dela,"pelayanan nya buruk,petugas nya lelet ga konsisten.",1,7 bulan lalu
Kantor Pos Sanggau,Muhammad Irfan,"Pelayanan ramah, bisa pick up barang, bisa bayar2. Parkiran luas, hari libur masih tetap buka loh",5,2 tahun lalu
Kantor Pos Sanggau,Doni 35,"Performa pos sangat jelek, barang sampai di pos sanggau sudah 6 hari. Tapi tidak dikirimkan ke pos selanjutnya. Kecewa, karna sudah tidak kompeten dan tidak profesional.
Padahal saya menggunakan jasa pos expres.",1,4 tahun lalu
Kantor Pos Sanggau,muhammad putra,"Paketku dri Tgl 11/04/2020 sampai sekrng tgl 17/04/2020 blum sampai jga, padahal aq udh pakek jasa yng super cepat 2 hri pingiriman, sampai sekrng udh seminggu blum datang juga, kecewa aq",1,5 tahun lalu
Kantor Pos Sanggau,Rita Ismail,"pelayanan bagus,ramah dan cepat",5,6 bulan lalu
Kantor Pos Sanggau,dwi Rasmi,"Pake paket ekspres malah ngga sampe"", wkwk. Padahalkan harusnya cepat sampe. Ini malah lebih dari 1 Minggu.",1,4 tahun lalu
Kantor Pos Sanggau,Nana Chann,"Pelayanan ramah, jam layanan yg panjang, hari libur tetap buka. Luar biasa.",5,3 tahun lalu
Kantor Pos Sanggau,Rizky Arisandy. G,Pelayanan yg sangat baik dan ramah,5,11 bulan lalu
Kantor Pos Sanggau,KHOIRUDHIN official,Apakah ada no kurir yg bisa di hubungin...,4,5 tahun lalu
Kantor Pos Sanggau,Davano Miko,Apa ada paket yang bernama dodi,5,setahun lalu
Kantor Pos Sanggau,Daniel Liong,Tidak lama antri kalau bayar pajak,5,4 tahun lalu
Kantor Pos Sanggau,Ikkoru Takke,Tapi posnya Kalo Ngantar Barang Pasti Nyasar,3,8 tahun lalu
Kantor Pos Sanggau,Rian Septian,Pelayanan nya lumayan bagus,4,2 tahun lalu
Kantor Pos Sanggau,Rina Haryanti,Ngurus pengiriman surat,4,setahun lalu
Kantor Pos Sanggau,Ribka Filia,👍🏻❤️🙏🏻 …,5,3 tahun lalu
Kantor Pos Sanggau,Rendra Reonardo Dwi Putra,Tempat beli materai,5,3 tahun lalu
Kantor Pos Sanggau,floren sius,Tempat kirim barang,5,6 tahun lalu
Kantor Pos Sanggau,Pekasam Robong926,Suka sekali,5,6 tahun lalu
Kantor Pos Sanggau,Amir Hasan,Kantor Pos Sanggau,5,2 tahun lalu
Kantor Pos Sanggau,Tito Sumarno,Pelayanan prima dan pengiriman lebih cepat,5,6 tahun lalu
