Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Cabang Singkawang,Desti Ratna Putri Wijayani,"Repot yaaa ngambil kiriman di pos, kemarin bisa di wakilkan dengan ktp sekarang pake surat kuasa, peraturan kok bisa berubah2, harusnya kalo dari awal butuh surat kuasa yaa dr awal dong konsisten👍🏻 …",1,setahun lalu
Kantorpos Cabang Singkawang,Forid Morison,"Jangan sampai terjebak melakukan pengiriman barang lewat Pos, sebaiknya langsung lewat jasa pengiriman Swasta. Barang kemungkinan akan nyasar dan bolak balik. Saya pernah kirim dokumen dari Yogyakarta, resi sudah di sedau, balik lagi ke Yogyakarta habis 2 bulan. itu hanya 1x, saya mengalami 2x dan kapok.
Kantor Pos hanya hebat untuk pelayanan pembayaran dsb tapi sekarang PDAM juga lebih mudah bayar di kantor jadi, good bye kantor Pos Singkawang.",3,4 tahun lalu
Kantorpos Cabang Singkawang,Harsianto,"Perubahan paradigma telah terjadi di perusahaan plat merah ini pada beberapa tahun terakhir. Bukan sekedar menerima dan mengirim barang, benda pos dll saja, tetapi ini adalah BUMN yang bergerak dibidang jasa kurir terbesar sehingga pelayanan (service) menjadi pilar utama. Kecepatan, keramahan petugas, kenyamanan dan keamanan diutamakan dan telah dirasakan oleh masyarakat pengguna jasa Kantor Pos Indonesia. Lokasi dan lahan parkirnya relatif sempit.",3,8 tahun lalu
Kantorpos Cabang Singkawang,Sukarno 70,"Kantor bersih, indah, pelayanan yang cepat dan pegawai profesional., saya merasa puas. karena tidak pakai antri . dan mudah  dikunjungi.",4,3 tahun lalu
Kantorpos Cabang Singkawang,Yosia Wibowo,Pelayanannya mantap... baru tahu ternyata Kantor Pos sekarang bisa kirim mobil ke seluruh indonesia cui....,5,7 tahun lalu
Kantorpos Cabang Singkawang,Lyan,Antrian panjang. Jumlah pelayanan terbatas. Ramah dan sopan.,3,7 tahun lalu
Kantorpos Cabang Singkawang,De_nfrost Zhang,Udah sering pake dan ga pernah telat nyampe,5,6 tahun lalu
Kantorpos Cabang Singkawang,NURANI channel,Pencairan BLT sekarang lama,1,2 tahun lalu
Kantorpos Cabang Singkawang,Daniel Kukuh,"Pelayanan oke sip, mantap 👍 …",5,2 tahun lalu
Kantorpos Cabang Singkawang,OWL SNIPER,“untuk anda kami ada”,5,2 tahun lalu
Kantorpos Cabang Singkawang,KumbanKuning,📫 …,5,Diedit 9 tahun lalu
Kantorpos Cabang Singkawang,agra taxi,Kesuksesan,5,6 tahun lalu
Kantorpos Cabang Singkawang,Meliana Mell,Bagus,3,8 tahun lalu
