Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Sintang 78600,Bang Koko,Yg melayani mulai dari satpam smpai dgn tellernya ramah2 semua,5,2 bulan lalu
Kantor Pos Sintang 78600,alya wahyu,Kurang puas sama pelayanannya. Kirim motor ke pontianak hari jumat katanya sampe sabtu. Eh pas sabtu mau diambil di kantor pos pontianak malah motornya belum dikirim karna penuh. Harusnya kan dari awal kalau penuh bilang. Gak ada konfirmasi juga sama sekali. Merasa di bohongin,1,11 bulan lalu
Kantor Pos Sintang 78600,G4 CLEOPATRA,Empek empek mamang khosim makananku kantor pos jasa pengiriman ku,5,4 tahun lalu
Kantor Pos Sintang 78600,Indah Susanti,"Mf sebenarnya sy kurang puas cara pelayanan dlm pengiriman pket, knpa lma sekali prosesnya,,pket blum jg diantar ke kantor pos lanjutan,,pdahal sudah bbrapa hari yg lalu sampai di kantor pos Sintang,,klo bisa tolong di percepat lh,,klo ky gni kn bikin kapok pelanggan sy,,kalau pun cma ada 1 pket, ya sharusnya ttp di antar ke kantor pos lanjutan,,jngan mnunggu pket2 yg lain yg 1 tujuan baru mau di antar,,klo ky gtu ya bisa lma lh datangnya, untuk pket atas nma TERISA tujuan Pandan, Solam Raya mhon di percepat pngiriman nya🙏🙏",4,4 tahun lalu
Kantor Pos Sintang 78600,Ella Ira'ang Ella,"Untuk pelayanan kantor Pos saya pribadi merasa puas dengan kinerja nya, para pekerja nya cukup baik dan ramah dalam melayani. Semoga kedepannya kantor pos semakin maju terimakasih.",4,4 tahun lalu
Kantor Pos Sintang 78600,Angela Angela,"Pelayanannya sangat memuaskan, orang2nya baik dan ramah pokoknya sukses selalu buat kantor pos",4,4 tahun lalu
Kantor Pos Sintang 78600,Dakwah Online,Semoga Pos Indonesia semakin baik dan sukses.,4,2 tahun lalu
Kantor Pos Sintang 78600,Nariani Anisa,"Kakak"" nya baik,orang nyaa ramah"",pelayanan nyaa jago"".",5,4 tahun lalu
Kantor Pos Sintang 78600,arif setiawann,Alhamdulillah selalu berlangganan dengan pak pos. Enjoy banget 👍 …,5,4 tahun lalu
Kantor Pos Sintang 78600,Syarifah Nur Patmawati,Pelayanan nya bagus semoga tetap dipertahankan pelayanan nya,5,4 tahun lalu
Kantor Pos Sintang 78600,Indah Nodila,Pelayanan nya cukup memuaskan. Terimakasih Pos Indonesia.,4,5 tahun lalu
Kantor Pos Sintang 78600,Zulkifli zulkifli,No kode posnya berapa ya...?,5,6 tahun lalu
Kantor Pos Sintang 78600,Lorensius Loren,Pelayanan nya sangat bagus,3,2 tahun lalu
Kantor Pos Sintang 78600,Topan Syah,Simpel dan Praktis dalam segala hal,4,6 tahun lalu
Kantor Pos Sintang 78600,Dzaky Khalil Firdaus,"Antriannya duduk, ruangan nyaman",4,7 tahun lalu
Kantor Pos Sintang 78600,Enriko Siahaan,Pelayanan Cepat,5,3 tahun lalu
Kantor Pos Sintang 78600,[N.K.R.I] Sყԍσʑ,Kantor pos juara,5,6 tahun lalu
Kantor Pos Sintang 78600,Imam Ma'arif,Tempatnya nyaman,4,9 tahun lalu
Kantor Pos Sintang 78600,Fitri Rizky,Hari minggu buka nggk,5,6 tahun lalu
Kantor Pos Sintang 78600,Nurma sita,kantor pos. hebat👍 …,5,4 tahun lalu
Kantor Pos Sintang 78600,Ilham Maulana,Kantor pos cabang Sintang,5,8 tahun lalu
Kantor Pos Sintang 78600,sudi sudiyahya,Luar biasa,5,6 tahun lalu
Kantor Pos Sintang 78600,Randi Winanda,Kantor pos Sintang OKE.,5,4 tahun lalu
Kantor Pos Sintang 78600,abdu somad,Istimewa 👍 …,4,5 tahun lalu
Kantor Pos Sintang 78600,anton hehe,hehe,5,6 tahun lalu
Kantor Pos Sintang 78600,Riyani Cha,Keunggulan Layanan...,5,4 tahun lalu
