Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Tanjung Selor,Kimiafarma Skip,"Kantor yang masih tetap eksis dari dulu hingga sekarang terus bertansformasi hingga berganti nama menjadi POS IND masih tetap memberikan pelayanan baiknya hingga ke pelosok-pelosok, tanpa kenal lelah dan waktu tanpa batas. Tetap semangat selalu Bapak & Ibu team POS IND KC TSE 77000. Semoga Sehat Selalu :)",5,sebulan lalu
Kantor Pos Tanjung Selor,Gracesitha Sihombing,"Kantor yg selalu berusaha memberikan layanan terbaik tanpa kenal lelah dan waktu. hujan, badai, siang, malam selalu siap dan memberikn layanan pickup, pengantaran, pmbayaran, bantuan dll smpai ke pelosok2. Sukses all team POS IND KC TSE 77000❤️.  Semoga sehat selalu juga ya buat Pak SPV OPS KC TSE 77000 🤗🥰❤️🔥 …",5,sebulan lalu
Kantor Pos Tanjung Selor,Intan Brillion,Karyawan nya merespon dengan ramah dan kurir nya juga satset.. Bagus deh pokok nya Pos Tanjung Selor👍 …,5,seminggu lalu
Kantor Pos Tanjung Selor,Nurdiansyah Albanjari,"Sangat membantu kami untuk pengiriman paket dan dokumen. Nggak perlu repot , langsung di pickup ke depan rumah. Semoga pos Indonesia jaya",5,11 bulan lalu
Kantor Pos Tanjung Selor,Alfian,"Kantor pos sangat bagus
Setiap pemesanan materai selalu diantarkan tepat waktu",5,11 bulan lalu
Kantor Pos Tanjung Selor,Siti Rohimah,Pelayanan kurang ramah😁 …,2,sebulan lalu
Kantor Pos Tanjung Selor,Miftakhul Khoir,Kirim barang pakai Pos kilat khusus. Estimasi 2-4 hari sampai. Nyatanya udah hari ke lima belum juga sampai. Tracking resi juga gk pernah update. Huh bikin  naik darah nungggu paket dari pos. Ini terakhirkali lah pakai jasa pos. Terimakasi sudah buat saya kecewa dengan pelayanan anda yg fantastis,3,7 tahun lalu
Kantor Pos Tanjung Selor,Andri Yuliardi,"Pelayanannya sangat buruk, jutek tidak welcome,  saya ngirim biaya Rp. 257,300.-, saya kasih uang Rp. 300,000.- kembaliannya Rp. 42,000.-,  seharusnya kembaliannya Rp. 42,700.- terus Rp. 700.- nya ke mana?,  kalau memang tidak ada kembalian harusnya memohon maaf tidak ada uang receh, atau nanya ke konsumen untuk minta uang pas,  kalau tidak ada salah satunya maka di situ terjadi yg namanya keikhlasan,  sehingga tidak timbul riba atau maaf ""mencuri"" uang konsumen,  memang Rp. 700.- nilainya kecil,  tapi kalau dari konsumen tidak ikhlas itu dosa loh.. Dan tidak berkah,  dan saya salah satunya yg tidak ikhlas.",1,5 tahun lalu
Kantor Pos Tanjung Selor,Yunie Kasmi,Untuk customer service bagian pensiun kok ketus banget ya. Entah SOP nya memang gitu atau gimana? Minta tolong untuk pihak kantor pos SDM nya diajarin lagi untuk tutur kata lebih sopan. Setiap melayani customer selalu bentak bentak,1,5 tahun lalu
Kantor Pos Tanjung Selor,Nely Elvina Marpaung,"Pelayanan ramah
Letak nya strategis
Dan pembayaran nya cepat serta kantor nya adem",5,11 bulan lalu
Kantor Pos Tanjung Selor,Liani Haz,Kirim berkas katanya 3-4 hari bukti nya sampai skrg belum sampai ke t4 tujuan. Saya cek melalui kode barcode ternyata malah nyasar. Gimana sih sistem pengirimannya ini? Tujuan pengiriman saya ke tarakan malah sampai nyasar ke tanjung selor. Dihubungi ke pos tanjung selor ga bisa. Kecewa saya.,1,6 tahun lalu
Kantor Pos Tanjung Selor,Jhon BAMB,"Keberadaan kantor Pos Tanjung selor, sangat membantu masyarakat, dalam hal mengirim surat dan dokumen, bahkan melakukan berbagai macam transaksi keuangan. Demikian juga dengan  proses pelayanan kepada masyarakat semakin meningkat dan profesional semakin menambah simpati masyarakat untuk menggunakan layanan Pos... semoga Kantor pos semakin Ok",4,Diedit 7 tahun lalu
Kantor Pos Tanjung Selor,cici Theresia,Tracking barang udah nyampe tapi belum diantar kurir huh gimana seh mohon ditingkatkan lagi pelayanannya jadi rugi rasanya pake pos kilat khusus tau gitu pake JNE yang reguler aja 😛 …,1,9 tahun lalu
Kantor Pos Tanjung Selor,Fahrizal Umarila,"Kantor pos ini berads berderetan dengan banyak kantor pemerintahan di jalan skip 1. Bila ingin sholat dan beristirahat, seberang jalanan dari kantor pos ini kita bisa mencapai Mesjid Agung Istiqomah Tanjung Selor. Dapat dicapai kurang dari 3mnt dari kantor pos.",5,9 tahun lalu
Kantor Pos Tanjung Selor,Indra Lesmana,"kantor pos tanjung selor saat ini telah meningkatkanstatusnya sebagai kantor wilayah kalimantan utara sehingga pelayanannya menjadi lebih baik dibandingkan sebelumnya.
ketika anda masuk maka para staf yang ada langsung siap memberikan pelayanan prima terbaik yang dapat anda rasakan sendiri",5,Diedit 7 tahun lalu
Kantor Pos Tanjung Selor,Mokodompit Iyonk,PENGIRIMAN CEPAT BISA PICK UP GRATIS DAN MELAYANI SEGALA PEMBAYARAN. POS TANJUNG SELOR TERBAIK,5,11 bulan lalu
Kantor Pos Tanjung Selor,Nely Marpaung,"Letak nya strategis karena dekat dengan Cafe
Para karyawan nya ramah",5,11 bulan lalu
Kantor Pos Tanjung Selor,Mario Ramadani,"Mungkin karena BUMN ya pos indonesia ini pelayanannya sangat buruk, gak jauh ama instansi pemerintah lain",1,5 tahun lalu
Kantor Pos Tanjung Selor,Hosna Sofia Wachyudi Putri,Tempatnya nyaman parkir luas petugaanya kompeten,5,11 bulan lalu
Kantor Pos Tanjung Selor,Ilham Terry,"Keren banget, tiap hari buka baik weekend dan weekdays... Mantap!!!",5,setahun lalu
Kantor Pos Tanjung Selor,mba ndut,"Lama banget datangnya katanya  paket kilat nyampainya 2-4 hari,  sdh lah seminggu lebih gk datang datang",1,7 tahun lalu
Kantor Pos Tanjung Selor,Deli Deli ani sari,Ini pa nomor resi nya...sy lacak ...pengiriman pos kilat ko lama,4,7 tahun lalu
Kantor Pos Tanjung Selor,Novembri Susanti Ngerung,Perbanyak senyum & ramah kepada masyarakat.. Jgn cetus muluh muka nya seperti tidak ikhlas melayani 🙏🏻🙏🏻🙏🏻 …,1,4 tahun lalu
Kantor Pos Tanjung Selor,Nur Janna,"Kata ea 3- 4 hari koq belum datang juga paketan saya.
Jgan main tipu ea kurir ea.",1,7 tahun lalu
Kantor Pos Tanjung Selor,Usman Hasani,Lihat track udah dari tgl 4 sampai tanjung selor tapi sampai tgl 7 g di antar ke tujuan,1,5 tahun lalu
Kantor Pos Tanjung Selor,Faesol Puspito,Pengiriman sekarang lebih cepat. Cuman terkadang agak basah kardus barang,4,8 tahun lalu
Kantor Pos Tanjung Selor,fitra rachmad,"Bisa bayar listrik air telpon BPJS KESEHATAN, BPJS KETENAGAKERJAAN",5,3 tahun lalu
Kantor Pos Tanjung Selor,Aprijan D,"Bangunan direnovasi menjadi lebih baik, semoga pelayanannya juga ditingkatkan menjadi lebih baik lagi",5,8 tahun lalu
Kantor Pos Tanjung Selor,Silvia Hadriani,"Pelayanan bagus, sistem antrian rapi dan buka 7 dalam seminggu",5,7 tahun lalu
Kantor Pos Tanjung Selor,M. Hardian Noor,"Bayar bpjs, air, listrik dll bisa disini, baru di renovasi",5,8 tahun lalu
Kantor Pos Tanjung Selor,Nuryanto RyanMbatang,Pelayanan cepat ramah,5,5 tahun lalu
Kantor Pos Tanjung Selor,Khairil Bakri,Bangunan kantornya baru.. petugasnya ramah,5,8 tahun lalu
Kantor Pos Tanjung Selor,Fathur Rahman,Salah satu wahana pengiriman barang,5,7 tahun lalu
Kantor Pos Tanjung Selor,Diah Rahmi Fitria,BUKA PELAYANAN SAMPAI JAM BERAPA???,5,Diedit 3 tahun lalu
Kantor Pos Tanjung Selor,Asgar Jabbar,Mau kirim sesuatu lewat pos,5,9 tahun lalu
Kantor Pos Tanjung Selor,siti nur aslinda,Pelayanan nya bgus👍👍 …,4,6 tahun lalu
Kantor Pos Tanjung Selor,israjab nr,Tetap semangat,5,setahun lalu
Kantor Pos Tanjung Selor,juliansah ndui,Salah semua nama jalan,1,10 tahun lalu
Kantor Pos Tanjung Selor,febry haryadi,nomor telepon susah dihubungi,1,5 tahun lalu
Kantor Pos Tanjung Selor,A- Coffee,Langganan 😄 …,5,8 tahun lalu
Kantor Pos Tanjung Selor,Virgian Noor,kantor pos sekarang online,5,7 tahun lalu
