Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Tanjung Redeb,Dio Anugrah Supriadi,"Pelayanannya ramah, respon cepat, bisa pickup paket dengan cepat dan kantornya bersih.",5,2 bulan lalu
Kantorpos Tanjung Redeb,Aria Kharismanda,"Pelayanan sekarang cepett, kirim paket dari jawa 3 hari nyampek, sabtu minggu tetep buka lagii",5,6 bulan lalu
Kantorpos Tanjung Redeb,Reza Berau,Kurirnya SANGAT TIDAK PROFESIONAL. Kok bisa salah alamat?padahal lengkap loh alamat yang tertera di paket lengkap dengan setail rumah dan nomor hp. Kenapa tidak konfirmasi dulu biar nda salah alamat?,1,2 bulan lalu
Kantorpos Tanjung Redeb,Ramdan Hanafi,"Pelayanan sudah membaik, parkir sudah mulai luas tinggal pembenahan kantor saja yang harus di besarin agar pelayanan bisa lebih optimal",3,7 tahun lalu
Kantorpos Tanjung Redeb,Liana Sweety,Apakah buka di hari minggu dan apa bisa untuj tarik western union,5,3 minggu lalu
Kantorpos Tanjung Redeb,Sari Yunita,"baru menggunakan jasa layanan kantor pos ini ± 2 minggu yg lalu, pelayanannya sangat baik, sangat amanah, pesanan saya tersampaikan dan dikirim sesuai alamat penerima, saya dibantu oleh Pak Joko, terima kasih banyak Pak Joko 🙏🏻 …",5,8 bulan lalu
Kantorpos Tanjung Redeb,Bayu Mustanir,"Pos Indonesia di zaman milenial dan GenZet, tidak lebih baik dari Pos Indonesia thn 80 dan 90 an. Bahkan Lebih buruk dari masa lampau.  padahal di tahun itu msh minim teknologi. tpi pelayanannya sangat memuaskan krn ad tukang/Kurir pos yg tidak mengenal lelah mengantarkan amanah hingga tujuan. Hanya Pengiriman uang saja yg harus Ambil di kantor.",4,setahun lalu
Kantorpos Tanjung Redeb,Wahyu Jodie.2,Plat kuning ga profesional banget.paket diantar tapi balik lagi dengan alasan rumah tidak ditemukan.padahal alamat lengkap.tertera no HP tapi tidak mau menghubungi nomernya.status kirim ulang kirim ulang.pantas ga maju maju kalo begini pelayanannya.,2,setahun lalu
Kantorpos Tanjung Redeb,Zulfikat Alam,"Harapan terbesar saya ketika menuju Pos ini adalah barang paketan yang saya bawa, cepat terkirim ke tempat tujuan. Begitu sampai di depan Pos, saya parkir kendaraan dan segera menuju pintu dan di situ berdiri abang Security yang lumayan ramah ke pada saya dan semua orang di Pos hari itu. Saya langsung menuju tempat pengambilan nomer antrian dan ternyata oh ternyata.... 😭😭😭 nomor antriannya sudah mendekati angka 100 lebih jelasnya di nomer antrian 96
Seketika itu juga saya merasa bahwa planning hari itu akan hancur berkeping keping.....
Dengan sisa kesabaran dan ketabahan yang tersisa saya coba meyakinkan diri saya bahwa apa yang menimpa saya saat itu adalah ujian. Saya pun duduk di kursi panjang di antara ibu dan bapak yang saat itu mengantri.
Setelah 3 jam suntuk menunggu dan menunggu akhirnya, tiba giliranku menuju loket antrian. Dengan wajah sendu saya coba untuk tenang dan menyerahkan paketan saya ke petugas saat itu, alhamdulillah kurang lebih 15 menit semua selesai.
Itulah suka duka ngantri di Kantor Pos.",3,7 tahun lalu
Kantorpos Tanjung Redeb,Rohid Naufal Putra,"Payah. Paket udah 8 hari Tanjung-Labanan statusnya masih delivery runsheet. Berasa kirim paket ke Jawa 😤

Kapok kirim paket pake pos. Mana nomer telpon cuma buat pajangan, ditelpon aktif tapi nggak diangkat",1,2 tahun lalu
Kantorpos Tanjung Redeb,Aldi Alvaro,"Kiriman tidak kunjung tiba.
Padahal di lacak pakai nomor resi sudah sampai sejak bbrp hari lalu.

Keterangan di hasil lacak: sudah 2x gagal antar dan hari ini adalah hri ke3 gagal antar.

Ada yang tidak beres di kantor pos tanjung redeb.
Semoga karyawan2nya yang ga becus diganti.

Dulu pernah saya ditelpon suruh ambil sendiri di kantor, padahal pengiriman harusnya aampai rumah. Koq bisa suruh ambil sndiri, bukankah kalian dibayar full??
Dan pengiriman padahal dalam kota saja di tanjung redeb.

Taukah kalian?
Kantor pos berau ini licik.. pengantaran ditunda2, supaya kita sendiri yg mengambil ke kantor

Ck ck ck, payah bgt",1,6 tahun lalu
Kantorpos Tanjung Redeb,Siswanto Nugroho,kantor pos berau...kirim surat dulu.,5,7 tahun lalu
Kantorpos Tanjung Redeb,Wer Neweer,"Kapok. BUMN gini amat. keterangan antar ulang, antar ulang. sampe lebaran monyet gitu terus. jelasin donk kalo nggk bisa door to door. sudah bayar bukan untuk disuruh jemput sendiri",1,2 tahun lalu
Kantorpos Tanjung Redeb,Anik Setyawati,"Senang masih bisa berkunjung ke kantor pos.Kantor Pos Berau lokasinya berada di pusat kota dan ada dijalur utama.Petugasnya sangat ramah disini, karena kebetulan ketika berkunjung kemari saya sekalian mengajarkan kepada anak untuk lebih paham tentang kantor pos dan juga istilah-istilah yang ada di kontor pos.Parkirannya luas dan gratis.",5,3 tahun lalu
Kantorpos Tanjung Redeb,Lelaki Optimis,"Senang disini. Tempat ini tempat besejarah bagi Pustaka Apung Balikukup, karna sangat sering datang mengambil paket buku donasi dari orang baik, begitu juga dengan Coral Warrior, tempat ini begitu banyak ceritanya, sebagai tempat yabg tepat untuk ngirim paket donasi baju.",5,5 tahun lalu
Kantorpos Tanjung Redeb,Pipit Sandra,Pelayanannya cepat,5,sebulan lalu
Kantorpos Tanjung Redeb,Romi Berau,"Pelayanan prima.. Sampai2, mungkin ada dari kebijakan pimpinannya,  ""Jika petugas kami tidak senyum, sapa,  salam,... Gratis administrasi senilai... "" Ini motto up to date.. Karena setahu kita,  di tempat pelayanan umum yang notabene-nya terhubung dengan banyak orang,  mungkin ada rasa jenuh,  capek,  bosan. Namun petugas Pos tetap Prima melayani masyarakat Tanjung Redeb dan sekitarnya 🙂 (foto hanya ilustrasi)",4,6 tahun lalu
Kantorpos Tanjung Redeb,rahmat nugroho,"No telepon kantor pos TIDAK BISA DIHUBUNGI. Untuk masyarakat yang jauh dari lokasi kantor pos, hal ini sangat menyulitkan. Apalagi di zaman yang harus serba cepat dan praktis sekarang ini.
Harus segera ditindaklanjuti.",1,6 tahun lalu
Kantorpos Tanjung Redeb,Muhammad Salman,"Barang aku sudh smpe di pos tnjung redep sejak taggal 29 maret 2020 smpe skrng barang ny blum di antarkan, jadi aku minta agae gesit pengntaran ???",3,5 tahun lalu
Kantorpos Tanjung Redeb,Badut Kampang,"Mau ambil paket tp mulai hari ini tutup sudah, terpaksa habis lebaran baru bisa diambil, coba kalau tutup pengantaran paket masih dijalankan hufftt...",3,5 tahun lalu
Kantorpos Tanjung Redeb,ErwinSugi,Selain pengirim barang ada juga Berbagai layanan pembayaran bisa di lakukan di kantor POS,5,6 tahun lalu
Kantorpos Tanjung Redeb,Ardy Edge,Hari sabtu kantor pos buka atau tidak?,4,9 bulan lalu
Kantorpos Tanjung Redeb,ningtiya opi,Apakah kantor pos berau bisa mencairkan uang dari western union?,3,2 tahun lalu
Kantorpos Tanjung Redeb,Riska Intan Yuliana,"Pelayanannya bagus, lokasinya strategis",5,6 tahun lalu
Kantorpos Tanjung Redeb,Fino Duabelas12,"pelayanan yg ramah dan cepat ..
melayani berbagai mcm transaksi dgn proses yg cepat 👍
antrian yg teratur👍 …",4,4 tahun lalu
Kantorpos Tanjung Redeb,Ahmad Fajri,"Jasa pengiriman paket,surat, pembayaran angsuran motor,mobil,pengiriman uang yang dapat diandalkan.....👍 …",5,6 tahun lalu
Kantorpos Tanjung Redeb,Prianto Vrediawan,"Pelayanan cepat, ramah dan buka sampai malam. Parkiran luas gratis dan bersih.",5,3 tahun lalu
Kantorpos Tanjung Redeb,Parardya Satyasinggara,Pelayanannya cepat dan ramah dengan harga terbaik untuk pengiriman ke pelosok/pedalaman,5,9 tahun lalu
Kantorpos Tanjung Redeb,Bagas jawa286,Barang tidak juga sampai di tempat padahal kurir sdh membawanya,3,5 tahun lalu
Kantorpos Tanjung Redeb,Abah Rafath,Jam pelayanan nya mantap,5,10 bulan lalu
Kantorpos Tanjung Redeb,adit oke,Mau cek paket barang udah sampai atau belum..mohon info,4,5 tahun lalu
Kantorpos Tanjung Redeb,Yayuk Yuliarti,"Cepat, ramah dan protokol kesehatan era covid nya cukup baik",4,4 tahun lalu
Kantorpos Tanjung Redeb,Tesa Nur Rohman,semua pembayaran bisa disini.,4,6 tahun lalu
Kantorpos Tanjung Redeb,Widya Oktavia,Apakah bisa mengirim hp lewat kantor pos?,1,4 tahun lalu
Kantorpos Tanjung Redeb,PUTRI FADILLAH,Mohon maaf post buka kh hari ini?,4,4 tahun lalu
Kantorpos Tanjung Redeb,Firda Yanti,"Ko paket z ditahan ya di kantor,",4,4 tahun lalu
Kantorpos Tanjung Redeb,Oki Purwadi,Pelayanan ramah parkirannya sudah teratur,4,8 tahun lalu
Kantorpos Tanjung Redeb,Yoga Wigunanto,kantor pos dinkota dan gampang di akses,5,7 tahun lalu
Kantorpos Tanjung Redeb,Elvano Purnomo,kantor pos tanjung redeb juara,5,7 tahun lalu
Kantorpos Tanjung Redeb,Aby Saci,Kode pos berau brpa,5,8 tahun lalu
Kantorpos Tanjung Redeb,Aris Surjanti,📮📬📭 …,5,7 tahun lalu
Kantorpos Tanjung Redeb,Uya Suriyadi,Tempat Pengiriman Barang Murah,5,7 tahun lalu
Kantorpos Tanjung Redeb,suardi jawa,Sesuai dengan peruntukanya,5,2 tahun lalu
Kantorpos Tanjung Redeb,PAPA ZIEZIE,pelayanan yg mntap dan ramah👍👍👍 …,5,4 tahun lalu
Kantorpos Tanjung Redeb,Muhammad Aqil Maulana,"Pelayanan nya lamban ,payah",1,7 tahun lalu
Kantorpos Tanjung Redeb,Annisa salsabila sufrihat,pengantaran lama,1,7 tahun lalu
Kantorpos Tanjung Redeb,Novan sharingan,Kirim ke jawa bisa kah,4,7 tahun lalu
