Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Cabang Tarakan,Daffa Mahendra,"Kantor pos pamusian Tarakan, lokasinya strategis di pinggir jalan utama. Area parkirnya juga cukup luas, pelayanannya memuaskan. Staff counternya ramah ramah, serta disini jg ada gerai kopi dari NorthMan, dan ada ATM centre (BNI BSI Mandiri). Selain itu juga ada beberapa penjual makanan disini.",5,5 bulan lalu
Kantor Pos Cabang Tarakan,Viera Putry,Pelayanan buruk..saya dtg bermaksud MW bertanya perihal bantuan tapi saya dtg malah diarhkan keloket...saya keloket yg atas nma indah saya bertanya perihal bantuan malah disruh keujung tnpa diarahkan kmna...dengan muka yg nda ramah dan nda senyum...kelihatan jutek sekali...,1,seminggu lalu
Kantor Pos Cabang Tarakan,Rani Ramadany,"Surat udah dari bulan lalu gada konfirmasi main retur aja udah tau surat dari pengadilan berarti penting bisanya lah main retur aja tanpa konfirmasi kalau emng gamau di anter telfon aja biar saya dtg sendiri ini ngerugiin kita jadi nya sidang di undur krna surat belum nyampe ke saya hadeh. Untuk org kantor udah bagus sopan baik,untuk kurir nya jangan malas buat cht kalau gatau tanya jangan asal retur.",1,5 bulan lalu
Kantor Pos Cabang Tarakan,Hanif Surya Nugraha,"Terbaek, pelayanan sat set. Semoga terus ditingkatkan",5,2 minggu lalu
Kantor Pos Cabang Tarakan,Rahman Rasyad,Pelayanannya bagus serta pengirim untuk surat surat penting juga cepat,5,3 bulan lalu
Kantor Pos Cabang Tarakan,Budi Kali,"Di hari senin pagi Pertama kali kesini lagi sejak 3 atau 4 tahun lalu . -Dulu begitu ramai yg antri kalau hari senin sekarang agak sepi.
-satpam tidak ada jadi agak bngung. harus antri atau tidak.trnyata tidak antri langsung maju saja ke loket.
-dulu bli materai ,beda petugas/meja.Skarang jadi 1 loket. Katanya tidak ada cs .
-suasana masih sama seperti dulu .
-bersih.",5,2 tahun lalu
Kantor Pos Cabang Tarakan,anii mariisa,"Percuma melayani pengiriman barang , kata nya paket kilat paling lama 4 hari, udah 4 hari lebih belum juga datang, saya sangat kecewa dengan pelayanan ini, kita udah nunggu lama lama, kalau gk bisa 4 hari bilang aja jangan menipu, bilang aja 10 hari, saya harap kantor pos cepat memperbaiki kesalahan ini. Maaf saya lancang karna ini yang saya rasakan dimana ngantri lama lama pas di tanya paling lambat 4hari tapi apa barang saya sudah lebih dari 2minggu sampai sekarang gada informasi Soal barang saya dan bahkan saya chat di ig kirim resi barang saja hanya dia liat tadi katanya mau di lacak barang tapi sampe sekarang tidak ada info sama sekali  ,",2,2 tahun lalu
Kantor Pos Cabang Tarakan,Yrahman,"Kantor pos yang terletak di kampung baru lebih tepatnya di samping Gereja Katolik Paroki St. Maria Imakulata, sangat strategis tempatnya karena berada di tengah kota.

Untuk pelayanan sangat baik dan cepat tapi untuk fasilitas seperti kipas yang tidak dinyalakan menjadikan ruangan sedikit panas.

Semoga Pos Indonesia tetap bisa bertahan di era digitalisasi yang sangat ketat persaingannya.",4,2 tahun lalu
Kantor Pos Cabang Tarakan,Sagab Cahya,Paket lama gak datang²,1,2 bulan lalu
Kantor Pos Cabang Tarakan,Erni Yudhartik,"Saya kasi bintang 5, karena saya bayar biling pembuatan pasport tidak pakai lama, dah dapat nores nya, gak pakai antri kayak di bank, gercep juga petugasnya, padahal baru pertama kali ke kantor pos ini, ruang luas sih, apa karena gak banyak orang yaaa, gk sempat foto juga tuh😁😁 …",5,2 tahun lalu
Kantor Pos Cabang Tarakan,Hamid Amren,"kantor pelayanan pengiriman surat/paket ke berbagai tujuan dalam dan luar negeri. saat ini produk layanan jasa pos semakin beragam seperti melayani pembayaran tagihan rekening listrik, air pdam juga berbagai layanan lainnya. di tarakan kantornya terletak di jln sudirman biasa disebut di kampung baru",4,6 tahun lalu
Kantor Pos Cabang Tarakan,iDovi,"Percuma melayani pengiriman barang , kata nya paket kilat paling lama 4 hari, udah 4 hari lebih belum juga datang, saya sangat sangat kecewa dengan pelayanan ini, kita udah nonggu lama, kalau gk bisa 4 hari bilang aja jangan menipu, bilang aja 10 hari, saya harap kantor pos cepat memperbaiki kesalahan ini, kalau tidak orang orang tidak percaya lagi.
Mohon maaf atas kelancangan saya, saya hanya berikan pertanyaan, gk sesuai waktu",1,5 tahun lalu
Kantor Pos Cabang Tarakan,Indra Rahman MBA. CFP.,"Ruang antri nya lega, sdh ada sistem antrian.",4,8 tahun lalu
Kantor Pos Cabang Tarakan,Indra Fajar,Pelayanannya ramah. Tempat parkirnya luas. Bisa kirim barang di dalam kardus. Bisa bayar secara non tunai. Tempatnya bersih dan ruang tunggunya luas.,5,2 tahun lalu
Kantor Pos Cabang Tarakan,Dessy Nuvianty,Good service. Cuman pas dateng agak bingung ya (karna gak ada security) jdi gak paham kl nomer antrian hrs (kita) pencet sendiri,5,2 tahun lalu
Kantor Pos Cabang Tarakan,Chris Ne,"Mba kiriman atas nama Risne Kantu sudah sampai dri kemarin, bisa diantar hari ini soalnya sudah 1 minggu lebih. Katanya ndak lewat 1 minggu, itu isinya makanan.",3,3 tahun lalu
Kantor Pos Cabang Tarakan,Imam Firmansyah,Front office sdh bagus mlayani. Namun ada beberapa staff gudang yg mnurut saya masih kurang untuk bekerja diplayanan jasa. Melayani dengan nada yg tinggi dan acuh tak acuh,2,5 tahun lalu
Kantor Pos Cabang Tarakan,ArpanPC,Paket saya kenapa belum ada keterangan pemberitahuan nya terakhir tgl 5 masih ditrakan..gimana sih,1,2 tahun lalu
Kantor Pos Cabang Tarakan,Revian 03,"Tempat nya nyaman tidak panas dan tidak dingin.
Ada sistem nmor antrian juga, tempat luas",5,2 tahun lalu
Kantor Pos Cabang Tarakan,Muhammad Rio A,"pelayanan kurang sopan, tidak ramah",2,9 bulan lalu
Kantor Pos Cabang Tarakan,daddi 92,"PAKETAN SAYA SUDAH 4 HARI BELUM BERGESER JUGA KETEMPAT TUJUAN
KAPAN SAMPAINYA BARANG PESANAN KAMI",1,4 tahun lalu
Kantor Pos Cabang Tarakan,Amini Zamzam,Lumayan lah... Semoga selalu jd yg terbaik untuk segala pelayanan.,4,8 tahun lalu
Kantor Pos Cabang Tarakan,Guruh Dwi Saputro,Pos semakin inovatif.... Semakin kompetitif....  Bravo... Maju terus Pos Indonesia,5,8 tahun lalu
Kantor Pos Cabang Tarakan,Marzuki Matli,Pelayanan lumayan...pengiriman agak cepat,4,8 tahun lalu
Kantor Pos Cabang Tarakan,ZIDAN_ 210,Ini saya ngga tau kode pos . Gimana caranyaya,4,4 tahun lalu
Kantor Pos Cabang Tarakan,maminya abi,pketan sya udah 4 hri blm dteng,2,5 tahun lalu
Kantor Pos Cabang Tarakan,Jek Sen,Paket saya ko belum di antar yh.,1,5 tahun lalu
Kantor Pos Cabang Tarakan,Dewi Risma,Masih buka kah kantor pos nya .,1,4 tahun lalu
Kantor Pos Cabang Tarakan,fitra rachmad,Buka lebih lama sampai malam,5,3 tahun lalu
Kantor Pos Cabang Tarakan,Dandi Ritwan,kode poss x tolongg kasi tw,5,6 tahun lalu
Kantor Pos Cabang Tarakan,ujang samsul bahri,"Layanannya ramah, mudah dijangkau",5,7 tahun lalu
Kantor Pos Cabang Tarakan,Deni Sufrianto,Pos juara,5,8 tahun lalu
Kantor Pos Cabang Tarakan,Anton Hamdi,Pelayanan ramah,5,4 tahun lalu
Kantor Pos Cabang Tarakan,Goklas Tambun,lumayan lah,4,4 tahun lalu
Kantor Pos Cabang Tarakan,Anam Sahrul,paketan lambat,1,5 tahun lalu
Kantor Pos Cabang Tarakan,Abdul Malik,Pos Juara,5,7 tahun lalu
Kantor Pos Cabang Tarakan,Maryufi Christiadi,Mantap betul,5,4 tahun lalu
Kantor Pos Cabang Tarakan,Ronly Roiska,Lumayan,4,8 tahun lalu
