Pos Office Branch,User,Reviews,Rate,Date
Kantorpos Tenggarong,Liana Maaidah D,"BUMN, tp blm bisa bersaing dgn ekspedisi swasta lain. semoga bisa membaik & lebih kompetitif (khususnya dlm segi kecepatan pengiriman) dgn jnt/spx/lainnya",2,5 hari lalu
Kantorpos Tenggarong,Daos Rudiansyah,"Pelayanan sangat baik, cepat dan sopan..dan lengkap semua layanan..dimana sya bisa kirim paket sekalgus bayar² listrik, air dan kirim uang jg.. apalagi pas libur pasti buka terus, sangat membantu .. mantap..👍 …",5,11 bulan lalu
Kantorpos Tenggarong,Fatimah Rosyidah,"Tempat mudah ditemukan, pelayanan cepat dan baik, tempat antrian luas.",5,2 tahun lalu
Kantorpos Tenggarong,Ds,"kecewa sekali dengan ekspedisi kantor pos, cek tarif estimasi 2hari sampai ternyata s/d 9hari tdk ada kbr sm sekali. paket dikirim dr smd tgl 2, tgl 6 pket sdh di tgr bhkn keterangannya paket di antar ulang tp sy tunggu² smpai tgl 10 tidak jg sampai di alamat tujuan. akhirnya sy jemput sendiri ke kntor pos nya, pdhl di paket sdh tertera alamat sy lgkp slngkap lngkapnya no hp pun ada ttpi tdk ada konfirmasi sm sekali dr pihak kurirnya.",1,setahun lalu
Kantorpos Tenggarong,Johan Gier,"Dari tgl 25 sd saat ini paket belum dikirim2..sudah 6 hari mandeg tak bergerak..toko yg kirim paket tanya2, saya harus konfirmasi tanda terima barang di aplikasi online sudah lewat waktu estimasi, resiko.a uang saya hilang lumayan besar..harap di perhatikan",1,2 tahun lalu
Kantorpos Tenggarong,Bang Santai,"Alhamdulillah barang saya telah sampai. Jika barang kalian ada Belum di antar ke rumah, mungkin Ada penulisan Alamat yang salah atau pas di anter ke rumah orangnya tidak ada, atau mungkin hal hal lain. Bisa langsung di ambil aja ke kantor Posnya langsung, caranya datang ke petugas baru nanti tanya, tempat ambil barang, nanti di tunjukin, baru nanti kasi lihat nomor resi barang kita Ke petugasnya. Jadi, Seperti itu. insyallah bisa Di Ambil",5,Diedit 5 tahun lalu
Kantorpos Tenggarong,Nur Roman,"Pengalaman kirim plg buruk...paketanku dr jakarta udah nyampe pos tenggarong berdasarkan tracking di sistem 8 hari statusnya gak berubah stay di Pos Tenggarong, ni ngapain bisa selama itu, gak di kirim ke alamat tujuan???...kapok pake pos...mendingan JNE, JNT, Sicepat aja....",1,4 tahun lalu
Kantorpos Tenggarong,ifoni sanjaya,"Kurir pemalas, nggak niat kerja",1,5 bulan lalu
Kantorpos Tenggarong,Prananda,"pelayanan buruk, pengiriman barang gagal tidak ada komfirmasi, katanya pengiriman yg paling cepat tapi sudah 4 hari di tracking resi ternyata barangnya masih di tenggarong",1,2 tahun lalu
Kantorpos Tenggarong,dayyy.,"Aku baru tau ternyata masih bisa sistem kirim uang lewat kantor pos, ngebantu banget buat yang belum punya bank tabungan. Untuk pengiriman barangnya juga cepat, kalau dapat kiriman paketan langsung di antar atau di telepon terlebih dahulu. Ya, kantor pos harga untuk ongkos kirimnya lebih ramah hehe.",5,8 tahun lalu
