Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Cabang Balikpapan,Wahyuni Arfah,"Jelas2 dia yang slah tempel resi, dia yg kasi saran kee cust. Dari awal di komplain.. kok nga smpai2.. paket ku, dengn gampng y dia jawab.. “saya bukan pengantar barang”, kan betul2 nyasar itu.. paket.",1,2 minggu lalu
Kantor Pos Cabang Balikpapan,MOST YT,"Sangat buruk,gak sesuai estimasi okelah kalau cuaca gk mndukung,mereka jg gak ada respon",1,seminggu lalu
Kantor Pos Cabang Balikpapan,kresna saddam,"Area alamatnya mana, Paket turun di Mana.

Coba di perbaiki lagi managemen logistiknya. Kek gini jadi tertunda².
Dan kenapa kurir ngga menghubungi Nomer yang tertera pada paket ??",1,2 bulan lalu
Kantor Pos Cabang Balikpapan,angely bg,"alamat belum ditemukan, kan kurirnya punya hp buat hubungin nomor penerima, gunanya pake nomor hp ya maaf dihubungi lah, bukannya belum konfirmasi paket di antar ke penerima ada² sj keterangan yg dikasi.",1,3 bulan lalu
Kantor Pos Cabang Balikpapan,Fikrah Hafizhah,"Udah baca review orang2 ternyata keluhannya semua sama ""pengantarannya superrrr lama"" padahal ongkirnya lumayan mahal, tp sampai ke alamat tujuannya lama banget ckck. Ga akan 2x pake jasa pos untuk kirim barang😖 …",1,5 bulan lalu
Kantor Pos Cabang Balikpapan,KK Bon / Edy Irawan,"Apakah hanya membeli materai saja antrinya lama banget ya. Ikut antrian juga, tolong pembelian materai hanya sebentar lho. Tolong disediakan loket khusus, percuma loket sampai 10.untuk beli materai saja. Lama banget. Tksh",1,4 bulan lalu
Kantor Pos Cabang Balikpapan,Jonathan W,"Pusat kantor pos di balikpapan. Letak nya strategis, bangunan besar dan luas, parkir juga luas. Ada banyak konter loket yang tersedia untuk melayani pelanggan, baik pengiriman paket, maupun pengambilan paket. Ada banyak tempat duduk yang tersedia untuk menunggu. Selain itu juga ada layanan lain nya, seperti layanan samsat, layanan emas, layanan simpan pinjam, layanan koperasi, layanan perangko. Selain itu juga tersedia fasilitas charger untuk yang ingin charge handphone. Pelayanan ramah, dan cukup cepat. Kadang juga ada beberapa program khusus di waktu tertentu, seperti pengiriman buku gratis, pengiriman bantuan ke Lombok, dan lain nya. Yuk ke kantor pos",5,6 tahun lalu
Kantor Pos Cabang Balikpapan,Ardiansyah susilo,"Paket saya dari tgl 16 bulan 6 sampai sekarang tidak di antar"" tidak tau masalahnya apa",2,sebulan lalu
Kantor Pos Cabang Balikpapan,Istia Budi,"Kantor Pos Balikpapan lokasinya sangat strategis di tengah kota bahkan berdampingan dengan kantor Pemkot Balikpapan. Bangunan terawat dan rapi membuat pengunjung senang saat berkunjung untuk kirim dokumen dan barang.

Parkir yang luas dan tukang parkir yang ramah, merupakan nilai tambah kantor Pos Balikpapan.

Saran buat kantor Pos Balikpapan yang memiliki ruangan yang masih banyak yang idle, bisa dibuat Co-working space. ( Semoga bisa berkolaborasi dengan kantor Pos untuk pengembangan Co-working space)",5,5 tahun lalu
Kantor Pos Cabang Balikpapan,Ajeng Dwiyani,Layanan kirim ke LN dibantu prosesnya. Smoga konsisten,5,2 minggu lalu
