Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Banjarmasin,Etika,"beli materai jam 9 pagi. ternyata yg pegang kunci tempat penyimpanan materai belum datang. pertanyaan nya, jam ops kantor pos banjarmasin sebenarnya dari jam berapa ya?",1,sebulan lalu
Kantor Pos Banjarmasin,nazla pajarr,"saya sangat apresiasi dan sangat berterimakasih kepada salah satu staff di kantor pos ini,dengan identitas nama AKHMAD YUNANDA,hari ini tadi mau ngambil uang pake western union,saya sudah bilang ke mba2 disamping mas nanda ini,kata saya ""mba mau narik uang lewat western union"" dan tau? jawaban nya apa? ""anda baru pertama kali kan mau melakukan penarikan uang lewat western union? itu harus mendaftar dulu ke situsnya,dan agak sulit membuka situsnya"" saya jelas langsung lemes dong,karna sebelumnya saya sdh ke kantor pegadaia* dan dua cabang kantor pos dan nihil mendapatkan uang nya🥲 dan ternyata,mas nanda inilah,yg disamping mba tersebut langsung mengambil alih,kata beliau ""sini saya bantu cek ktp"" nya,dan alhamdulillah tidak memakan waktu sampai setengah jam,keluar struk penerimaan uang saya melalui western union

tolong itu untuk staff kantor pos nya lebih diperhatikan lagi ya kak,masa kaya gitu sih ke customer🥲🙏 temen disamping nya aja mau mengusahakan membantu orang lain,ko mba2 nya pake alasan gitu sih🥴",5,6 bulan lalu
Kantor Pos Banjarmasin,Neri Willis,"Ternyata untuk surat atau paket yg tak kunjung datang (biasanya karena alamat tidak lengkap/membingungkan), bisa kita ambil dan cari langsung ke bagian ini.",4,setahun lalu
Kantor Pos Banjarmasin,Rini Icha,Kapan bansos bont yg melalui kantor pos di caikan bln juli sdh mau hbis,3,2 minggu lalu
Kantor Pos Banjarmasin,Gatelo Co,"Untuk Pos Indonesia,
Saya tau pos indonesia lagi masa kritis maka dari itu saya memilih ekspedisi ini untuk ikut berkontribusi agar pos indonesia tetap bertahan

Tapi kenapa pelayanan yang saya dapat seperti ini ?
Pegawainya jauh dari kata SOPAN dan RAMAH malah kesannya NGOTOT

Bagaimana kami mau terus mendukung pos indonesia sebagia perusahaan BUMN, apabila pelayanan yang didapat seperti ini ?

- Dari saya yang memilih untuk tidak kesini lagi",1,5 tahun lalu
Kantor Pos Banjarmasin,Fendi Cool,Terlalu lama buat antri beli materai aja dan mana tellernya cuman 1 layanan doang itu pun melayani orang 1 aja sungguh lama,2,setahun lalu
Kantor Pos Banjarmasin,lukman bella,"Ada paket saya dikirim dari banjarmasin melalui pos  lambung mengkurat pengiriman  tanggal 2 desember 2024 tujuan makassar.estimasi 4 hari sampai,dan biyaya yang di bayarpun 4 hari sudah di bayar.dan ini sudah tanggal 10.belum sampai saat ini.di telpon tadi katanya estimasi sampai tanggal 14.nah baru pengiriman paket yg di bayar 4 hari sudah sampai.ini namnya pembohongan yang tertera di siistem..dan sangat buruk. Tolong di perbaiki sisitem pengimriman barangnya.dan di pastikan sampai tepat waktu.",1,8 bulan lalu
Kantor Pos Banjarmasin,Khairu Nisa,Pelayan cepat dan karyawan ramah. Pengalaman yang luar biasa! Pelayanan yang diberikan sangat memuaskan dan ramah. Produk/layanan sesuai dengan deskripsi dan kualitasnya pun sangat baik. Pengiriman tepat waktu dan barang diterima dalam kondisi sempurna. Saya sangat merekomendasikan kepada siapa saja yang membutuhkan layanan kantor pos ini. Pasti akan kembali lagi!,5,11 bulan lalu
Kantor Pos Banjarmasin,Berta Oktila,"seiring berjalannya waktu, pos sekarang sudah semakin banyak kemajuannya, mulai dari layanan yang makin variatif, pegawai yang friendlyy dan ramah sekalii, pokoknyaa kerenn sekalii pos sekarangg 🫶🫶🫶 …",5,11 bulan lalu
Kantor Pos Banjarmasin,Rezky Irfansyah,"Paling buruk diantara cabang yang lain. Parkir bayar, pelayanan tidak ramah. Jutek.",1,5 tahun lalu
