Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Palangka Raya,Nurul Jagun,Pelayanan nya kurang mau nanyakain belum juga liatin resi udah d suruh duduk mau ambil paketan tapi harus nunggu 1  jam setengah lebih aku kira paketnya mau d antar padahal alamat sudah jelas ko tidak d ketahui rumahnya d pemberitahuan nya kan ada no HP juga,1,4 minggu lalu
Kantor Pos Palangka Raya,Juli Atin,"Kantorpos Palangkaraya tersedia jalur masuk utk penyandang disabilitas/kursi roda, petugasnya juga ramah. Terima kasih kantorpos",5,2 bulan lalu
Kantor Pos Palangka Raya,Zhaitun Znzn,"Sejak kecil sering ke kantor pos.
Dulu semasa sekolah, saya ingat pernah ada tugas Bahasa Indonesia yaitu pelajaran tentang tata cara pengiriman wesel, pengiriman surat menggunakan perangko dan juga tempat mengambil uang saat saya mendapatkan beasiswa.

Apalagi jika menerima paket dari keluarga saat mendekati masa lebaran senang sekali rasanya.

Sekarang di hari libur juga kantornya tetap buka.
Jadi lebih mudah untuk kita bertransaksi bayar tagihan dan saat malas antri juga bisa transaksi di sore hari karena jam pelayanan mereka sampai malam 👍🏻",5,2 bulan lalu
Kantor Pos Palangka Raya,Annisa Khairunnisa,"Mantap Kantor Pos buka setiap hari dan sampai malam, bisa bayar angsuran kredit tanpa harus takut nunggak karena Kantor Pos buka setiap hari 🤩 bisa top up Dana, Shopee juga, bisa bayar listrik, pdam, dan wifi Indihome, sama bisa bayar pajak PBB 🤩 Semoga kedepan Kantor Pos Palangka Raya semakin jaya dan solid 🔥 …",5,2 bulan lalu
Kantor Pos Palangka Raya,Ryan Tan,"19/3/2024

Beli materai.

Lokasi kantor pos dekat dengan bundaran besar. Saat masuk untuk keperluan beli materai langsung menuju ke loket yang ada tanpa perlu mengambil nomor antrian.

Saat datang banyak yang membeli jadinya langsung antri dibelakangnya saja. Prosesnya kurang lebih tidak sampai 10 menit. Untuk pembayaran bisa cash dan juga qris.",4,setahun lalu
Kantor Pos Palangka Raya,Kartika Yuniarti,Saya 2 kali kejadian. Keterangan bahwa alamat tidak ditemukan. Pengiriman jasa lain tidak pernah begitu. Buktinya sampai2 sja kerumah. Alamat sya sudah jelas sejelasnya. Mohon diperbaiki kinerja kurir dan pelayanan.,2,3 minggu lalu
Kantor Pos Palangka Raya,Mikamelina Mikame,"Kantor pos memberikan pelayanan yang sangat baik dan membantu semua masyarakat utk bertransaksi dgn mudah aman dan cepat, mau kirim, mau bayar bayar dan mau apa aja semua bisa dikantor pos aja, pelayanan yg ramah dan dgn tulus hati, mengutamakan kepentingan dan kepuasan pelanggan",5,2 bulan lalu
Kantor Pos Palangka Raya,Dhany Hadrani,"Layanannya sekarang tambah banyak ya dari kirim barang, kirim motor, kirim barang pindahan, pengiriman dan penerimaan uang dari dalam negeri atau luar negeri yg langsung sampai dan harga bea terjangkau, pembayaran apapun , asuransi pun ada, pembayaran pensiun baik ASN maupun TNI. Banyak deh.",5,2 bulan lalu
Kantor Pos Palangka Raya,Tertu Akikkuti Jordan,"Tempat beli Materai yg asli hanya paling paten di Kantor POS👍🏻👍🏻🔥🔥
Pembayaran disini juga lengkap, mulai dari PBB, Token Listrik, PDAM, Pulsa, Paket Data, Internet dll semua ada …",5,2 bulan lalu
Kantor Pos Palangka Raya,Cerpen Misteri Romantis,"Pertama tama tempat nya terjangkau dekat bundaran besar, terus kalo masuk halaman kantor posnya luas untuk tempat parkir. Serta saat mau melakukan pembayaran semuanya mudah dan di tanyakan langsung oleh petugas loket. 💪💪💪 …",5,2 bulan lalu
Kantor Pos Palangka Raya,Rathyh Damayanthi,"Paket dr banjarbaru ke palangkaraya 5 hr blm jg sampai, kurir tdk ada menghubungi klo alamat rumah blm diketemukan",1,sebulan lalu
Kantor Pos Palangka Raya,ZAR KURNIAWAN,"Kantor nya adem, biasa bayar listrrik, pdam dan kirim paket ke kampung halaman hanya 3 hari sudah sampai.",5,2 bulan lalu
