Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Besar Pontianak,Miss gita,"📍Lokasinya strategis dan mudah ditemukan, terutama karena berada di tepi jalan besar. Tempat parkirnya juga cukup memadai, meskipun saat jam sibuk agak ramai.

📍Kantornya bersih dan rapi, suasananya juga cukup tertib walaupun kadang ada antrean.

📍Nilai plus nya menurut aku:
✅ Mudah diakses
✅ Pelayanan baik
✅ Lokasi gampang dicari",5,2 minggu lalu
Kantor Pos Besar Pontianak,Andreas Leon,"Kantor pos yang cukup besar yang pernah saya datangi. Tidak terlalu ramai saat saya datang, kondisi di dalam nya juga tidak begitu terang tapi masih cukup lah untuk melihat suasana yang ada di dalamnya
Karyawan yg stand by juga lumayan gesit hanya saja mungkin pelayanan harus ditingkatkan kembali. Bersikap sedikit lebih ramah kepada pelanggan dan ucapkan terimakasih",4,3 bulan lalu
Kantor Pos Besar Pontianak,Mella kartika sari,"Baru kali ini ke kantor pos Besar
antar ibu ambil BSU
Ruangan nya bersih, kursinya lumayan banyak,
Pelayanan bagus dan gercep..
Proses nya Nggak lama
Terima kasih..",5,sebulan lalu
Kantor Pos Besar Pontianak,Anom Arie Satriya,"Kantor Pos termegah di Pontianak. Pelayanan baik. Bisa kirim Paket atau Surat baik domestik atau manca negara, Kirim uang Dalam Negeri atau Luar Negeri, beli pulsa, bayar listrik, pdam, bpjs dan tagihan lainnya. Melayani pembayaran pensiun Taspen & Asabri. Bisa nabung BTN juga.",5,6 tahun lalu
Kantor Pos Besar Pontianak,Ana Kiftia,Itu benar kantor pos ny buka setiap hari dan sampai jam 9 mlm,5,sebulan lalu
Kantor Pos Besar Pontianak,Anditya Gilang,"Kantor pos yang terletak di antara pusat perkantoran yang lainnya
Disini terdapat papan informasi mengenai lowongan kerja untuk sekitaran area pontianak
Lahan parkir yang luas memudahkan akses ke kantor pos area ini
Disini juga dilengkapi dengan ATM corner
Untuk pelayanan mulai dari senin sampai dengan sabtu
😊😊😊",3,7 tahun lalu
Kantor Pos Besar Pontianak,Agusjaz Japirin,Legis berkas bukti untuk persidangan,5,3 bulan lalu
Kantor Pos Besar Pontianak,akun cadangan berry,"Pelayanannya kurang, boleh ditingkatkan lgi ya pelayanannya utk kakak2 yg jaga loket:)",1,3 bulan lalu
Kantor Pos Besar Pontianak,ereen zhang,"Informasi yang di berikan tidak akurat. Sebelum saya kirim barang sudah konfirmasi ke kantor pos nya langsung, kata nya bisa. Asal dokumen-dokumen pelengkap di lengkapi, paking bagus dll. Sudah kita laksanakan semua yg di minta, ketika sampai di loket di infokan cairan tidak lolos sinar X-Tray bisa di kembalikan. Karena barang yg dikirim berbentuk mentega. Sangat membagongkan, sdh bolak balik urus dokumen Karatina, dll. Malah batal kirim. Sangat mengecewakan.",1,9 bulan lalu
Kantor Pos Besar Pontianak,gamers indo,"pelayanan nya sangat buruk,org bnyak antri ,cs nya cuman 1 dbuka,udh jelas pelayanan nya tertulis jam 8.30 ini udh jam 9 lewat masih juga belum ada pelayanannya,jdi makan gaji buta aja mreka d kantor pos ini",1,2 tahun lalu
Kantor Pos Besar Pontianak,Sonny Dwiyana,"Fasilitas pelayananan sudah cukuplumayan , terdapat 7 loket pelayanan. Namun dengan ketersediaan fasilitas yang cukup lumayan baik perlu juga untuk meningkatkan SDM nya agar pelayanan lebih maksimal dan optimal",5,6 tahun lalu
Kantor Pos Besar Pontianak,Zain Alva,"Pelayanan hari ini sangat tdk memuaskan,,, tdk konsisten dgn kata2 nya,,, bnyk yg kecewa hari ini dibuatnya 😔 …",2,5 bulan lalu
Kantor Pos Besar Pontianak,Sabandi,"Pelayanan nya kurang ramah, petugas perempuan cuek",1,3 minggu lalu
Kantor Pos Besar Pontianak,Andy Susanto,"POS INDONESIA DI PONTIANAK DI SULTAN ABDULRAHMAN
AMBIL UANG DR LUAR NEGERI BISA
MAU KIRIM BRG BISA

SUDAH LAMA TDK KE POS INDONESIA DI PONTIANAK
BANYAK PERUBAHAN UNTUK LAYANAN MASYARAKAT LEBIH DI TINGKATKAN UNTUK ADMIN DLL",4,2 tahun lalu
Kantor Pos Besar Pontianak,Edi Suprianto,"Udah hampir lupa gimana rasanya ke kantor POS, tapi karena surat dinas harus dikirim via pos. Layanannya sangat lama, petugasnya tidak ramah, ruangan layanan gelap, dan tidak nyaman.",1,6 tahun lalu
Kantor Pos Besar Pontianak,Susi Nyamar 1,kirim dokumen penting dari jakarta tgl 28september sampai hari ini  tgl 31 oktober gk ketemu di pos sudah dapat surat panggilan pengambilan paket dua kali tapi barang nya gk ada..,1,9 bulan lalu
Kantor Pos Besar Pontianak,Yusda Mahendra,Min masih bisa cair bsu kh,3,4 hari lalu
Kantor Pos Besar Pontianak,Feny Armana,Bayar ongkos kirim tapi d suruh ambil sendiri?,1,4 bulan lalu
Kantor Pos Besar Pontianak,Sakidan,"Mantap sekali, pelayanan cepat, ramah dan professional.

Jaya selalu Kantor Pos Indonesia",5,4 tahun lalu
Kantor Pos Besar Pontianak,LAny Gameplays,"Honest review. Kecewa dengan pelayanan legalisir berkas.
Saya diarahkan untuk legalisir berkas di Kantor Pos yg mana sudah ter-list oleh pihak Pengadilan berkas apa saja yg perlu dilegalisir. Sampai lokasi, tiba-tiba saya diminta ""KTP penggugat"". Otomatis saya bingung dan bertanya untuk apa ya? Karena di list tidak ada dan lembar bukti list dari Pengadilan pun saya tunjukkan. Sampai saya jelaskan bahwa saya bukan mengurus perceraian tapi hal yg lain. Tapi petugas seakan-akan menyalahkan dengan kalimat ""Lihat aja nanti kamu disuruh balik lagi buat legalisir KTP penggugat"".
Saran, tolong SOP nya lebih jelas. Jika memang pihak POS hanya melegalisir, cukup legalisir dan cek apakah fotocopy sesuai yg asli atau tidak, tidak perlu bertanya untuk keperluan apa dan lainnya. Karena kelengkapan berkas pastinya menjadi tanggung jawab pelanggan POS yg mendapat arahan dari Pengadilan. Jika pun pelanggan kembali legalisir karena ada kelengkapan berkas yg baru dari Pengadilan, ya itu urusan pelanggan. Pihak POS kurang sopan jika ikut ngerecokin dan mencibir.",2,setahun lalu
Kantor Pos Besar Pontianak,Muhammad Sutrisna,"Yg antri padahal ramai
Lah hanya buka 1 loket aja
Mana 1 loket ngelayaninnya lama banget
Pegawai yg lain hanya bolak balik aja liat liat aja",2,7 bulan lalu
Kantor Pos Besar Pontianak,Rahmat Hidayat,Kasir nya judesss (loket no 3),1,2 bulan lalu
Kantor Pos Besar Pontianak,ShiNOOBi,"pelayanan buruk dan tidak ramah sama sekali
padahal kita bayar bukan gratis",1,6 bulan lalu
Kantor Pos Besar Pontianak,Andi Agusalim,"Pelayan hari sabtu lumayan bagus, walaupun banyak cs yg kosong",4,5 tahun lalu
Kantor Pos Besar Pontianak,M. Ulum,Tolong ditingkatkan pelayanannya. Biar bisa hidup lagi POS Indonesia.,3,5 tahun lalu
Kantor Pos Besar Pontianak,sefri putra,"Pelayanan tidak ramah, lama dan banyak dimintai ini itu, pin diminta disebutkan padahal biasanya kita sendiri yang klik karena sifat rahasia",2,setahun lalu
