Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Indonesia Makassar,Ang,"Saya cukup sering kirim paket di sini, baik untuk lokal maupun ke luar negeri. Udah lumayan langganan juga, biasanya dilayani sama satu CS yang udah paham ritmenya. Soalnya kalau beda CS, kadang malah jadi ribet. Ada aja yang minta ulang identitas, harga jadi beda (kayak dinaik-naikin dikit gitu, moga aja nda), terus prosesnya jadi lama. Tapi kalau udah sama CS langganan, semua lancar dan cepat. Pelayanannya juga sering tanpa antri, padahal lokasinya di area yang ramai. Security-nya juga ramah, sigap bantu arahin ke counter mana yang harus dituju. Intinya, kalau urusan kirim-mengirim, di sini tuh prosesnya cepat.",5,seminggu lalu
Kantor Pos Indonesia Makassar,Siti Amalia Magfira,"Saya sering dtg disini mengirim di sore hari, selain cepat dan tdk lama mengantri meskipun petugas yg layani cuma 2 loket terbuka, nyaman, ruang tggu luas, security nya baik, dan parkirannya luas",4,2 bulan lalu
Kantor Pos Indonesia Makassar,Mamad Kusnadi,"Tempatnya nyaman (sejuk dan bersih), parkiran luas, pelayanan ramah. Antrian teratur dengan baik karena sudah menggunakan sistem digital. Pelayan loket murah senyum, kerjanya cepat, dan cekatan. Sangat puas bertransaksi dan mengirim barang disini. Bagi pengendara roda empat/roda dua bisa juga menggunakan jasa drive thru, tanpa perlu turun dari kendaraan, sudah bisa mengirim paket. Mantap! 👍👍👍",5,7 tahun lalu
Kantor Pos Indonesia Makassar,Nur Fadilla,"Sumpah pelayanan sangat bagus, saya tdk bisa jalan, langsung dilayani sama petugasnya, semoga sehat selalu Bpk petugas yg sdh layani saya. The best👍 …",5,2 minggu lalu
Kantor Pos Indonesia Makassar,Djumi Irawati,"Kalo ada bintang mines itu ku kasih...sudah 2 hari paket gagal di kirim,katanya alamat tidak di temukan ...P A kurirnya emang !!
Apa gunanya ada nmor wa cok??? Telpoooonnnnn!!!!!",1,3 bulan lalu
Kantor Pos Indonesia Makassar,Andi Salma Larasati,"Kantor Pos besar yang ikonik di Makassar. Sudah lama tidak pergi ke kantor pos ini, kaget banyak perubahan. Bahkan cafe nya pun sudah ada, cafe orens. Smoga makin membaik lagi kedepannya.",5,3 tahun lalu
Kantor Pos Indonesia Makassar,Debby Utami Pratiwi Bakri,"Kantor pos terbesar di Makassar. Ksini krn mau beli materai, lumayan kalau beli dsini harganya jauh lebih murah. Setahu saya ini gedung ada sejak zaman belanda makanya kantornya agak jadul & vintage.

Lokasinya strategis, parkirannya besar. Didalam kantor pos ada gerai Bank Syariah Indonesia. Pelayanannya lumayan oke tapi petugas bagian materai biasanya datang lebih lama & agak telat. Trus pas kesana antrian pake manual krn mesin antriannya rusak. Smoga kedepannya pelayanannya bisa diperbaik, harus lebih ramah CS nya biar customer juga mrasa puas 🙏🏻",4,4 tahun lalu
Kantor Pos Indonesia Makassar,Sem Dolonseda,"Koperasi Karyawan Kantor Pos Makassar, membuka loket pelayanan pengiriman dokumen dan paket serta melayani pembayaran setoran kredit, PLN,  PDAM, dll.
Lokasi : pintu Utara kantor Pos, Jl. Slamet Riyadi no 10 Makassar.
Fasilitas: Ruangan bersih, indah, full AC, free WiFi, petugas yg ramah dll.",5,6 tahun lalu
Kantor Pos Indonesia Makassar,Imam Budiman,"Kantor pos cabang utama yang berada di lokasi strategis kota Makassar, dekat dari Balaikota, benteng Fort Rotterdam, dan pusat keramaian lainnya seperti Pantai Losari, Taman Macan, dll.

Arsitektur bangunannya yang besar dan bernuansa klasik tempo doloe, masih tetap dipertahankan, meskipun layanan kantor pos sendiri saat ini sudah jauh modern dan melalui proses digitalisasi.",4,Diedit setahun lalu
Kantor Pos Indonesia Makassar,Rahmat Yusuf,"Untuk loket pembayaran tagihan, antrian lama, pelayanan lelet",4,setahun lalu
