Pos Office Branch,User,Reviews,Rate,Date
Pos Indonesia KCU Semarang,Creator Youtube Semarang,"Pelayanan beli materai lama poll.
Kita udh ikuti SOP make karcis sesuai antrian, tapi banyak orang lain yang asal ngeblong dan tidak bawa karcis juga dilayanin. Petugasnya tidak profesional klo begitu buat apa ada karcis? Petugasnya juga lelet, hadeh. Kalo terus begini tidak ada perbaikan kita jadi gak nyaman dengan Pos Indonesia. Thank you.",1,2 bulan lalu
Pos Indonesia KCU Semarang,Zulfa Nor Af idah,"Mau pencairan BSU kata satpam jam 9-7 malem tapi datang jam 6 di tolak instruksi dari meneger ke satpam takut uangnya habis 😁
Apa jangan jangan uangnya di ...... …",1,sebulan lalu
Pos Indonesia KCU Semarang,Intan Safitri,"Uang jasa kirimnya murah. Sayang dapat kurir yang tidak totalitas dalam bekerja. Pertama, menyalahkan customer karna meminta cod dengan alasan uang sudah tidak bisa dikirim kalau malam dan jarak kantor pos yang jauh. Padahal keinginan cod bukan dari saya melainkan dari pihak pos langsung. Saya dituduh melakukan hal yang tidak disukainya padahal bukan karna kehendak saya sendiri. Dan tolong diingat, ini termasuk resiko kerja. Kedua, memaksa mengangkat telepon dalam keadaan hp saya sedang digunakan untuk zoom meeting. Sehingga suara kurir dan dosen saya bertabrakan. Padahal saya sudah menjelaskan bahwa keadaan saya sedang tidak bisa mengangkat telfon. Lewat chat tidak bisakah? Ini adalah pengalaman penggunaan pos pertama saya, dan saya sangat merasa tidak nyaman. Mohon diperbaiki lagi kualitas kurir kedepannya. Oh apakah saya akan dituduh salah juga karena mengirim ulasan seperti ini?",2,sebulan lalu
Pos Indonesia KCU Semarang,Anisa Pratiwi,"Pos semarang bagus,  layanan cepat.  Hari minggu buka selalu sama tgl merah,  buka sampai malam jam 9. Pas buat yg sibujbkerja dan hanya luang d malan hari buat bayar",5,5 hari lalu
Pos Indonesia KCU Semarang,ludfi alvianika,"Kesini mau kirim dokumen ke luar kota, pas nanya bisa beli amplop ngga katanya bisa disuruh ke loket 13, ternyata ngga ada orangnya lama bangettttt, akhirnya aku ke security langsung tanya kalo kirim dokumen ke loket mana, diarahkan ambil antrian b, baru ambil antrian langsung dipanggil cepet bgttt, abis itu aku bilang bisa beli amplop ngga, ternyata bisa, langsung deh kirim dokumen pake yg express. Untuk tempatnya lumayan luas, tapi panas. Ada atmnya juga",4,setahun lalu
Pos Indonesia KCU Semarang,Ignatia Bellatrix,"Kantor Pos dengan bangunan kuno tapi masih bagus dan terawat.
Tempat parkir sangat luas.
Namun sayang untuk pelayanan di loketnya kurang.
Teman saya pernah kurang dikasih kembaliannya, alasannya ga banget kayak ada kesengajaan.
Untuk satpamnya walaupun ramah tapi kurang informatif.
Padahal untuk layanan pengiriman termasuk cepat dan bisa kemana saja.

Maaf untuk review jujur saya, semoga dapat menjadi bahan koreksi bagi pihak Pos Indonesia, terutama di Cabang Utama Semarang.",3,Diedit 2 tahun lalu
Pos Indonesia KCU Semarang,elang yudha,"Mau minta hak BSU aja di buat susah kesini 3 x jawabanya yang pertama eror , kedua habis uangnya , ke tiga di suruh sini jam 7 bilangnya mulai jam 9",1,sebulan lalu
Pos Indonesia KCU Semarang,Deby Ayu,"Kantor pos ini cukup besar. Mungkin karena letaknya di area titik 0 km kota semarang. Selalu ramai dikunjungi baik untuk keperluan transaksi maupun kirim mengirim.. tapi sayang parkir area kantor pos johar kurang rapi, ditambah banyak pedagang kaki lima yang tidak tertata rapi :)",4,6 tahun lalu
Pos Indonesia KCU Semarang,ayu dwi wijayanti,"Kantor pos besar Semarang lebih dikenal dengan kantor pos Johar. Sebagai seorang postcrosser sangat senang menemukan pojok filateli di kantor pos ini. Mbak Forta yang jaga saat ini sangat membantu (iya membantu ngabisin duit karena jadi beli prangko banyak banget 😂). Koleksi prangko, postcard dan shp yg dijual lumayan lengkap. Ada banyak cap juga, sayang pas kesana ga bikin maxi card",5,5 tahun lalu
Pos Indonesia KCU Semarang,Annisa Cahyaningtyas,"Kantor pos terbesar di Semarang dengan lokasi strategis dan pelayanan yang slalu padat. Ada juga loket di sebelah kanan yang selalu buka 24jam. Dan berkat ikutan BERSUKARIA WALKING TOUR, jadi tahu sedikit sejarahnya. Trivia, hasil berjalan dalam walking tour, terkuak bahwa ada dua kotak surat dari zaman Belanda yang masih bagus dan asli, letanya di taman depan kantor pos besar di sebelah kanan dan kiri pintu utama.",5,7 tahun lalu
