Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Pusat Surabaya Kebonrojo,chrisyandi tri kartika,"Kantor Besar berada di jalan Kebonrojo, yang lokasinya sangat strategis di kawasan lama kota Surabaya. Berseberangan dengan Bank Indonesia, dan Bank Mandiri, dan tidak jauh dari berbagai bangunan bersejarah di kota Surabaya.

Kantor pos selalu terbuka untuk komunitas dalam mengenal sejarah kantor pos, dengan didampingi guide dari kantor pos sendiri.

Ket: foto diambil tahun 2022
Terimakasih",5,4 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Bheryll Devan,"Pelayanan Pos KCU Sby Sangat Memuaskan!

Layanan customer service digitalnya juga responsif, baik melalui chat maupun media sosial. Saya menanyakan informasi produk pos dijawab sangat cepat dan langsung dibantu dengan cepat dan ramah. Selain itu, fitur jemput kiriman ke rumah sangat membantu, apalagi untuk UMKM yang sibuk.

Pos Indonesia kini terasa lebih modern dan relevan di era digital. Semoga inovasi dan peningkatan pelayanannya terus berlanjut!",5,4 minggu lalu
Kantor Pos Pusat Surabaya Kebonrojo,Didin ahmadi,"Pelayanan lama, beli materai bisa sampai 15 menit ditinggal di dalam!!!!",2,sebulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Asha Syamsuddin,"Sengaja datang ke kantor pos pusat karena kantor pos yang kecil masih tutup.

Pelayanan ramah dan cepat. Suasana di dalam ruangan sangat nyaman, full AC.

Baru tahu kalau ternyata kantor pos ini termasuk saksi sejarah dalam pertempuran 10 Nopember Surabaya. Bangunannya sampai sekarang masih kokoh berdiri.",5,4 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Mochammad Ayyub Mauludin,"Selamat siang disini saya mau menyampaikan kekecewaan saya atas jasa kirim kantor pos hal ini bermula saat kemarin saya ke surabaya berkas pentingnya ketinggalan di rumah tapi saya suruh adik saya kirim berkas tersebut pakai kantor pos karena saya percaya bisa tepat waktu katanya 1x24 jam saya juga minta ke adik saya pengirimannya jangan sampai melebihi jam 11.30 siang akan tetapi gimana ini sudah melebihi estimasi katanya 1x24 nyatanya kalau segitu harusnya jam 09.00 sudah sampai tapi ini belum sampai juga mau nunggu sampai berapa lama lagi saya sudah kapok dah bener"" emang saya sudah kasih kepercayaan kirim berkas penting untuk ketemu rekan kerja sudah janjian dari jam 12.00 tapi berkas belum sampai juga luar biasa dah kalau masalah membuat konsumen kecewa kalian saya acungi jempol terima kasih yaa dalam hal ini saya jadi tidak dipercaya rekan kerja saya lagi dianggap tidak displin waktu juga gunanya ada nomor costumer service buat melayani konsumen nyatanya apa saya sudah telpon berulang kali hasilnya nol katanya di follow up tapi tidak ada tindak lanjut saya sudah kecewa ini pol berkas belum sampai saya di wa di telpon rekan kerja dari tadi terima kasih saya ucapkan untuk kantor pos indonesia sudah membuat saya menunggu lama sekali sudah membuat saya kecewa dan kapok kirim berkas pakai jasa kirim ini kalian memang bumn yang terbaik dah terdepan diantara bumn yang lain🙏🙏🙏",1,3 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Haryanto Suharno,Kantor Pos Kebonrojo... Salah satu icon bangunan tua di Kota Lama Surabaya...,5,Diedit 9 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Thabita,"Super puas sama layanan Pos Indonesia! Pengirimannya cepet banget, bahkan lebih cepat dari yang aku kira. Paket datang dalam kondisi aman, tanpa ada kendala sama sekali. Pegawainya juga ramah dan sigap bantu kalau ada pertanyaan. Pokoknya pelayanannya mantap, jauh di atas ekspektasi! Buat yang cari jasa kirim yang cepat dan terpercaya, ini sih highly recommended. Terima kasih, Pos Indonesia!",5,6 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Aryza e252,"Keren sih pos sekarang, sat set dan baik pelayanannya, kirim paket ke desa jd lebih nyaman, g kalah sama yg swasta, sukses posindo👍👍👍👍 …",5,5 bulan lalu
Kantor Pos Pusat Surabaya Kebonrojo,Khairul,lama banget ngirim paket lewat exptedisi ini sampai lewat batas kirim,1,6 hari lalu
Kantor Pos Pusat Surabaya Kebonrojo,Devon Adiansyah,Mohon segera ditutup saja agar tidak bertambah banyak orng yang kecewa dengan layanan instansi ini.  Ini adalah terakhir kalinya kami menggunakan layanan anda.,1,2 bulan lalu
