Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Indonesia Tangerang,Isti qomah,"Tiap bulan ke sini untuk mengambil bukti pembayaran listrik, PDAM, dan internet. Pelayanannya cepat. Ruanganya adem, bersih, dan tenang. Di ruang tunggu ada TV flat yang bisa buat menghilangkan jenuh jika sedang menunggu.",5,sebulan lalu
Kantor Pos Indonesia Tangerang,Yanika Yanika,"Kantor pos yg berada di tengah kota Tangerang, pelayanan yg ramah dan lumayan cepat. Setiap hari buka nggak pake libur biarpun hari Minggu walaupun terbatas jamnya., sangat membantu untuk melakukan transaksi dii luar jam kantor",5,sebulan lalu
Kantor Pos Indonesia Tangerang,Octa viyana,"Pelayanan bagus disini. Hanya saja untuk Costumer service harus menginfomasikan info yang jelas, sy pernh brtnya untuk pengambilan bsu smpe jambrp dijawab jam3 lalu saya bertanya lagi kedua kali katanya tutup smpe jam7. Padahal saya kelapangan untuk ambil bsu masih bisa smpe jam8 dan tutup jam9 kantor pos disini. Mohon untuk kejujuran dan informasi yang tepat untuk CS nya jangan mengundurkan waktu sama ketatapan yang dilapangan. Karna teman2 kerja sy bisa malam ambil bsu disini dan sy memastikan apakah masih bisa sampe malam tryta BISA tetapi pelayanan CS nya kurang baik tolong perlu di evaluasi untuk COSTUMER SERVISNYA MAKASIH",3,sebulan lalu
Kantor Pos Indonesia Tangerang,Oki nur Fajri,"Pelayanan cepat, ramah ,baik sopan.
Yg gaada atitude tukang PARKIRNYA. ga sopan ngusir orang buat cepet2 pergi. Bad atitude tolong diEVALUASI",3,3 minggu lalu
Kantor Pos Indonesia Tangerang,Ouya Nana,"Ngambil BSU H-3 terakhir pencairan dan ngambilnya jam set.8 malem abis pulang kerja dan ternyata masih dilayaniii. Nggak ada antrian sama sekali, dan proses pencairan dananya juga nggak nyampe 2 menit 🙏 awalnya wanti-wanti takut udah tutup karena beberapa ada yang bilang jam operasional yang tertera di google nggak valid, tapi ternyata pas sampe sana tertempel jam operasional hari Jumat sampe 21.00 sama persis kayak yang di Google",5,seminggu lalu
Kantor Pos Indonesia Tangerang,Atma Wijaya,"Pencairan bsu sangat cepat hitungan menit doang mungkin karna sepi,btw mbak2nya cakep2,ruang tunggu nyaman btw lgi makasih mbaknya:v",5,seminggu lalu
Kantor Pos Indonesia Tangerang,Alex Amsori Fajarudin,"Pelayanan buka sampai malam dan weekend pun tetap buka!,",5,4 minggu lalu
Kantor Pos Indonesia Tangerang,Willy Martines Sayoga,Bisa melakukan Pemateraian Kemudian (Nasegel),5,sebulan lalu
Kantor Pos Indonesia Tangerang,Boys Salam,"Orang² cairin BSU cuman pake KTP sama foto copynya tapi disnih harus pake kartu BPJS baru bisa di cairiin. Padahal saya ada nomer KPJ nya cuman jmo nya doang bermasalah karna ga bisa login dan jadinya ga bisa print kartu, tapi malah ga bisa di cairin BSU nya, padahl dari kemenaker lolos, BPJS lolos, pospay lolos udah ada Barcode. Bener bener kecewa malah di persulit sebagai warga tangerang",1,sebulan lalu
Kantor Pos Indonesia Tangerang,Arviani Rahmawati,"Kecewa banget sama pelayanan pos tangerang yang tidak memberikan tanggung jawab atas kiriman dokumen ekspor saya, biasanya saya menggunakan pos cengkareng aman2 aja seminggu jga sudah sampai di lokasi tapi untuk pos tangerang sampai sebulan tidak ada kejelasan. Sudah komplain berkali2 tapi tidak memberikan info yang jelas melainkan dokumen saya di retur secara sepihak tanpa adanya konfirmasi dari saya terlebih dahulu dan tidak mau merefund biaya pengiriman yang sudah saya keluarkan untuk pengiriman dokumen ini.",1,sebulan lalu
Kantor Pos Indonesia Tangerang,idah faidah,"Proses pencairan BSU cepat
Datang jam 18.30
kumpulin ktp ke satpam, disana banyak yang antri tapi antrian nya tertib, satpam panggil antrian ke dalem sesuai antrian ktp yang dikumpulkan
lalu masuk, dan di arahkan untuk ke loket
ada 4 loket yang tersedia, taruh ktp lagi tunggu di panggil kembali dan proses pencairan selesai
nantinya ttd, difoto, dan penyerahan uang.
jam 19.20 selesai",5,sebulan lalu
Kantor Pos Indonesia Tangerang,Muhamad Sakir,"mohon maaf dan tolong kepada kurir pengiriman, kalo emang barang belom di kirim jangan bikin alesan seakan akan kesalahan penerima yang bilang ga ada penerima di rumah, saya udah nunggu tuh paket dari hari sabtu, teruntuk bpk hadi kurniawan tolong kerjaa yang jujur, gaberkah gaji lu.",1,sebulan lalu
