Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Besar Yogyakarta,yohan rizky,"Wkwkwk iseng2 ambil BSU di hari terakir, kirain gk bakal dapet soalnya eh dpt notif buat ambil, pas dateng security ramah sih, cm bagian penerimaan BSU nya agak sewot, keknya karna muak jg kali ya ngurusin BSU sebanyak itu, jadi klo rada sewot masih di maklumi,.mungkin burnout juga. Semangat mba nya😂😂 …",5,seminggu lalu
Kantor Pos Besar Yogyakarta,Ika Dewi Mawarni,"Aku mau sharing soal pengalaman kirim paket/dokumen ke luar negeri, terutama buat pemula..

Hari Kamis, 6 Maret 2025
Jadi aku pagi sekitar jam 11 ke kantor pos, ambil antrean loket, di loket aku bilang kalau mau kirim dokumen ke luar negeri, sama kakaknya diarahkan ke Customer Service yang mana baru buka jam 1 siang, yap MASIH 2 JAM. Sedih banget kenapa begitu😭 *mungkin yang tau bisa sharing disini:""

Singkatnya jam 12.45 aku ke kantor pos lagi, dah ada kakak CSnya, akhirnya aku kesitu~ Kebetulan aku udah ngisi CDS di web pos booking dan udah bawa print outnya, kakaknya bilang ""Langsung ke loket aja mba"" 😭 Dalam hati mau nangis + kesel sama diri sendiri:"") Karena yap, tau gitu berarti bisa dari tadi😭

Terus kalo yang udah bikin CDS lewat web ems booking, ternyata bagian nominal dokumen tidak boleh 0 rupiah, wajib diisi berapapun even cuma dokumen.. Jadi kakaknya perlu buat CDS ulang, makasi buat kakaknya di loket 6✨

Mungkin segitu dulu ceritanya, buat yang mau kirim paket/dokumen ke luar negeri semangaat yah💪 Semogaa dengan sharingku disini gaada lagi orang yang kayak aku :(

Dokumennya cukup cepet sampe ke tujuan, punyaku sekitar 5-6 hari, jadi ga perlu takut telat sampe ya temen2~

Point penting kalau mau kirim dokumen/paket ke LN:
- Udah bikin CDS -> langsung ke loket
- Belum bikin CDS -> ke CS",4,3 bulan lalu
Kantor Pos Besar Yogyakarta,Sulistia Ardani,"Terimakasih, pencairan BSU cepat petugas dan security ramah 🥰 …",5,3 minggu lalu
Kantor Pos Besar Yogyakarta,Teguh Kwatno,"Ngurus kirim-kiriman? Langsung aja ke sini! 📮📦

Kantor Pos Besar Yogyakarta tuh legendaris banget! 🏛️✨ Bangunannya klasik khas kolonial, vibes-nya estetik banget buat yang suka foto-foto 📸🏤

Pelayanannya oke banget 💯 Staff-nya ramah, cepet, dan informatif 😄👍 Urusan kirim surat ✉️, paket 📦, atau ambil kiriman, semua dilayani dengan baik dan jelas.

Antriannya rapi, tempat duduknya banyak, dan nyaman buat nunggu 🪑⏳. Ada juga mesin otomatis buat kirim kilat khusus—praktis banget! 🔁⚡

Lokasinya juga strategis banget, deket dari Malioboro 🚶‍♀️🚶‍♂️ jadi bisa sekalian jalan-jalan setelah urusan selesai 🛍️🎒

Pokoknya, urusan pos jadi makin mudah dan menyenangkan di sini 😍📬
Terima kasih Pos Indonesia! 🇮🇩💌

#KantorPosJogja #PelayananMantap #KirimanAman #EstetikBikinBetah 🧡📮📸",5,3 minggu lalu
Kantor Pos Besar Yogyakarta,Irvan Pratama,"Hari Selasa jauh jauh dari Sleman Utara ke Kantor Pos besar Yogyakarta untuk memanfaatkan layanan pencairan uang dari Luar Negri, Sampai di Kantor Pos masih jam 19:00 namun di tolak karena sudah Tutup..sedangkan di Map di tulis Tutup jam 21:00, mana yang benar ?? Kelas Kantor pusat kota namun tutup awal sekali..",1,sebulan lalu
Kantor Pos Besar Yogyakarta,Evi Amalia Rosykin,"Mencairkan Dana BSU sebesar 600.000 rupiah. Tidak ada nomor antrian hanya mengantri lewat kursi duduk. Terdapat 3 petugas berjaga namun tidak ada sistem formal pengambilan. Uang sudah di steples oleh petugas , diberikan lalu difoto. Petugas tidak meminta konsumen memeriksa uang kembali dan hanya fokus pada foto bukti konsumen menerima dana. Setelah sampai di rumah uang yang di steples itu di cek dan kurang 100.000. Jadi dana yang diberikan adalah 500.000 bukan 600.000. Jika memang konsumen salah karena tidak mengecek uang, lalu apakah petugas juga tidak akan salah ? Uang itu di steples, tidak diapa2kan sampai rumah dan memang kurang. Semoga ke depannya lebih diperhatikan.",1,sebulan lalu
Kantor Pos Besar Yogyakarta,Indra Kurniawan,"Cuma namanya aja yang besar, tapi layanan ya ndak besar. Kesana jam 19.20 tapi dibilang kalau layanan ya sudah ndak bisa, sudah terakhir jam 19.

Padahal jelas jelas ditulis kalau jam operasional jam 21. Terus mereka ngapain ya 2 jam itu? Mainan handphone sambil menunggu waktu pulang",1,sebulan lalu
Kantor Pos Besar Yogyakarta,Alan Anantyo,Petugas pos dengan plat nomor AB 3575 IX merokok saat sedang berkendara dari Gg. Gayamsari s.d. Lembah UGM 2 Juli 2025 sekitar pukul 14.35 WIB,2,sebulan lalu
Kantor Pos Besar Yogyakarta,Lisna Siregar,"Layanan moneygram tersedia di seluruh kantor pos di Indonesia salah satunya kantor pos kcu Jogja di depan Nol KM .
Di bantu oleh petugas moneygram sehingga memudahkan saya menerima uang dari luar negri .
Terimakasih",5,9 bulan lalu
Kantor Pos Besar Yogyakarta,Sabilla Ika,"Saya sudah mengirimkan beberapa kartu pos ke berbagai negara, tetapi tidak ada satupun yang sampai, padahal sudah lebih dari setahun! Bahkan kartu pos yang saya kirim ke negara sesama Asia, seperti Tiongkok (China) dan India, juga tidak sampai ke tujuan dengan selamat.

Hal ini berbeda saat saya mengirimkan kartu pos melalui Kantor Pos Plemburan, kartu pos selalu berhasil sampai ke alamat tujuan.

Selain itu, terdapat perbedaan tarif prangko antara Kantor Pos Titik Nol dan Kantor Pos Plemburan. Misalnya, untuk pengiriman kartu pos ke negara-negara Asia, di Plemburan hanya dikenakan biaya Rp6.000, sedangkan di Kantor Pos Titik Nol bisa mencapai Rp10.000. Untuk ke benua Eropa, tarif di Plemburan Rp9.000, sedangkan di sini Rp10.000.

Mohon agar pelayanannya dapat diperbaiki, terima kasih 🙏🏽",1,3 bulan lalu
