Pos Office Branch,User,Reviews,Rate,tanggal_review
kantor pos besar pontianak,miss gita,"📍lokasinya strategis dan mudah ditemukan, terutama karena berada di tepi jalan besar. tempat parkirnya juga cukup memadai, meskipun saat jam sibuk agak ramai.

📍kantornya bersih dan rapi, suasananya juga cukup tertib walaupun kadang ada antrean.

📍nilai plus nya menurut aku:
✅ mudah diakses
✅ pelayanan baik
✅ lokasi gampang dicari",5,2025-07-28
kantor pos besar pontianak,andreas leon,"kantor pos yang cukup besar yang pernah saya datangi. tidak terlalu ramai saat saya datang, kondisi di dalam nya juga tidak begitu terang tapi masih cukup lah untuk melihat suasana yang ada di dalamnya
karyawan yg stand by juga lumayan gesit hanya saja mungkin pelayanan harus ditingkatkan kembali. bersikap sedikit lebih ramah kepada pelanggan dan ucapkan terimakasih",4,2025-05-11
kantor pos besar pontianak,mella kartika sari,"baru kali ini ke kantor pos besar
antar ibu ambil bsu
ruangan nya bersih, kursinya lumayan banyak,
pelayanan bagus dan gercep..
proses nya nggak lama
terima kasih..",5,2025-07-11
kantor pos besar pontianak,anom arie satriya,"kantor pos termegah di pontianak. pelayanan baik. bisa kirim paket atau surat baik domestik atau manca negara, kirim uang dalam negeri atau luar negeri, beli pulsa, bayar listrik, pdam, bpjs dan tagihan lainnya. melayani pembayaran pensiun taspen & asabri. bisa nabung btn juga.",5,2019-08-11
kantor pos besar pontianak,ana kiftia,itu benar kantor pos ny buka setiap hari dan sampai jam 9 mlm,5,2025-07-11
kantor pos besar pontianak,anditya gilang,"kantor pos yang terletak di antara pusat perkantoran yang lainnya
disini terdapat papan informasi mengenai lowongan kerja untuk sekitaran area pontianak
lahan parkir yang luas memudahkan akses ke kantor pos area ini
disini juga dilengkapi dengan atm corner
untuk pelayanan mulai dari senin sampai dengan sabtu
😊😊😊",3,2018-08-11
kantor pos besar pontianak,agusjaz japirin,legis berkas bukti untuk persidangan,5,2025-05-11
kantor pos besar pontianak,akun cadangan berry,"pelayanannya kurang, boleh ditingkatkan lgi ya pelayanannya utk kakak2 yg jaga loket:)",1,2025-05-11
kantor pos besar pontianak,ereen zhang,"informasi yang di berikan tidak akurat. sebelum saya kirim barang sudah konfirmasi ke kantor pos nya langsung, kata nya bisa. asal dokumen-dokumen pelengkap di lengkapi, paking bagus dll. sudah kita laksanakan semua yg di minta, ketika sampai di loket di infokan cairan tidak lolos sinar x-tray bisa di kembalikan. karena barang yg dikirim berbentuk mentega. sangat membagongkan, sdh bolak balik urus dokumen karatina, dll. malah batal kirim. sangat mengecewakan.",1,2024-11-11
kantor pos besar pontianak,gamers indo,"pelayanan nya sangat buruk,org bnyak antri ,cs nya cuman 1 dbuka,udh jelas pelayanan nya tertulis jam 8.30 ini udh jam 9 lewat masih juga belum ada pelayanannya,jdi makan gaji buta aja mreka d kantor pos ini",1,2023-08-11
kantor pos besar pontianak,sonny dwiyana,"fasilitas pelayananan sudah cukuplumayan , terdapat 7 loket pelayanan. namun dengan ketersediaan fasilitas yang cukup lumayan baik perlu juga untuk meningkatkan sdm nya agar pelayanan lebih maksimal dan optimal",5,2019-08-11
kantor pos besar pontianak,zain alva,"pelayanan hari ini sangat tdk memuaskan,,, tdk konsisten dgn kata2 nya,,, bnyk yg kecewa hari ini dibuatnya 😔 …",2,2025-03-11
kantor pos besar pontianak,sabandi,"pelayanan nya kurang ramah, petugas perempuan cuek",1,2025-07-21
kantor pos besar pontianak,andy susanto,"pos indonesia di pontianak di sultan abdulrahman
ambil uang dr luar negeri bisa
mau kirim brg bisa

sudah lama tdk ke pos indonesia di pontianak
banyak perubahan untuk layanan masyarakat lebih di tingkatkan untuk admin dll",4,2023-08-11
kantor pos besar pontianak,edi suprianto,"udah hampir lupa gimana rasanya ke kantor pos, tapi karena surat dinas harus dikirim via pos. layanannya sangat lama, petugasnya tidak ramah, ruangan layanan gelap, dan tidak nyaman.",1,2019-08-11
kantor pos besar pontianak,susi nyamar 1,kirim dokumen penting dari jakarta tgl 28september sampai hari ini  tgl 31 oktober gk ketemu di pos sudah dapat surat panggilan pengambilan paket dua kali tapi barang nya gk ada..,1,2024-11-11
kantor pos besar pontianak,yusda mahendra,min masih bisa cair bsu kh,3,2025-08-07
kantor pos besar pontianak,feny armana,bayar ongkos kirim tapi d suruh ambil sendiri?,1,2025-04-11
kantor pos besar pontianak,sakidan,"mantap sekali, pelayanan cepat, ramah dan professional.

jaya selalu kantor pos indonesia",5,2021-08-11
kantor pos besar pontianak,lany gameplays,"honest review. kecewa dengan pelayanan legalisir berkas.
saya diarahkan untuk legalisir berkas di kantor pos yg mana sudah ter-list oleh pihak pengadilan berkas apa saja yg perlu dilegalisir. sampai lokasi, tiba-tiba saya diminta ""ktp penggugat"". otomatis saya bingung dan bertanya untuk apa ya? karena di list tidak ada dan lembar bukti list dari pengadilan pun saya tunjukkan. sampai saya jelaskan bahwa saya bukan mengurus perceraian tapi hal yg lain. tapi petugas seakan-akan menyalahkan dengan kalimat ""lihat aja nanti kamu disuruh balik lagi buat legalisir ktp penggugat"".
saran, tolong sop nya lebih jelas. jika memang pihak pos hanya melegalisir, cukup legalisir dan cek apakah fotocopy sesuai yg asli atau tidak, tidak perlu bertanya untuk keperluan apa dan lainnya. karena kelengkapan berkas pastinya menjadi tanggung jawab pelanggan pos yg mendapat arahan dari pengadilan. jika pun pelanggan kembali legalisir karena ada kelengkapan berkas yg baru dari pengadilan, ya itu urusan pelanggan. pihak pos kurang sopan jika ikut ngerecokin dan mencibir.",2,2024-08-11
kantor pos besar pontianak,muhammad sutrisna,"yg antri padahal ramai
lah hanya buka 1 loket aja
mana 1 loket ngelayaninnya lama banget
pegawai yg lain hanya bolak balik aja liat liat aja",2,2025-01-11
kantor pos besar pontianak,rahmat hidayat,kasir nya judesss (loket no 3),1,2025-06-11
kantor pos besar pontianak,shinoobi,"pelayanan buruk dan tidak ramah sama sekali
padahal kita bayar bukan gratis",1,2025-02-11
kantor pos besar pontianak,andi agusalim,"pelayan hari sabtu lumayan bagus, walaupun banyak cs yg kosong",4,2020-08-11
kantor pos besar pontianak,m. ulum,tolong ditingkatkan pelayanannya. biar bisa hidup lagi pos indonesia.,3,2020-08-11
kantor pos besar pontianak,sefri putra,"pelayanan tidak ramah, lama dan banyak dimintai ini itu, pin diminta disebutkan padahal biasanya kita sendiri yang klik karena sifat rahasia",2,2024-08-11
kantor pos besar pontianak,syaiful alaydrus,"pengiriman lama sampainya, pesan di shopee via regular dikirim via cargo akhirnya 15 hari belum sampai2 padahal layanan regular lebih mahal tapi layananya ngak proffesional. bukan cepat yang di dapat malah nunggu terlalu lama

kayaknya memang banyak males2an lah karyawannya..

mentang2 bumn tapi layananya kalah sama swasta..",1,2023-08-11
kantor pos besar pontianak,mour wellen,"pelayanan sangat bagus, baik dan di sambut dengan ramah.
tidak di persulit untuk mengambil uang dari luar negeri. sehat selalu para karyawan.",5,2024-08-11
kantor pos besar pontianak,syak cin,"saya hanya melakukan penarikan western union di sini. untuk pelayanannya, ya begitulah kalau dilayani pegawai pemerintah. kena yang ramah ya ramah, kena yang jutek ya jengkelin banget.
kadang padahal sepi antrian, konter-konter jg kosong, tapi ga dipanggil-panggil, ga tau petugasnya sibuk apa.",3,2022-08-11
kantor pos besar pontianak,vview lin,"jam 8pagi sampai belum buka, jam 16 pergi sdh tutup.
kiriman paket jne 3 hari nyampai ,ini 18 hari belum nyampai.
telp 161 yg jawab komputer bilang harus jaga jarak sampai kita menelpon pun jaga jarak?
disuruh email ,setelah di email.gak pernah ada balasan.
sdh tahun 2020 masih ada layanan macam ini juga rupanya",1,2020-08-11
kantor pos besar pontianak,ata ata,"pelayanan sampah.  parcel sudah sampai di kantor setempat seminggu yang lalu dan tidak dikirimkan.
pengambilan barang hanya satu counter, istirahat jam 12-1, dan orangnya hanya kembali pada jam 1.35, sementara kantor segera tutup jam 2.
setelah menanyakan tentang parcel, ternyata masih belum dibongkar, dan sampai hari ini (seminggu setelah) masih belum ada kabar, layanan telepon juga tidak dijawab, setelah di retry beberapa kali, sambunganya diputuskan, dan sudah tidak dapat dihubungi. luar biasa.",1,2019-08-11
kantor pos besar pontianak,paturay tineung,"pelayanan harus ditingkatkan agar memuaskan konsumen saat mau kirim paket. tadi sempat berurusan dengan salah satu oknum petugas yg melayani dengan nada ketus. mungkin ybs kecapekan. tapi ya gak ketus juga harusnya 😁
pos indonesia, sebagai pelopor jasa pengiriman di indonesia, harus bisa memberikan lebih dari jasa pengiriman swasta karena hadir lebih dulu dan ikut serta dalam sejarah bangsa.
mudah2an ke depan lebih baik.. 💪💪💪💪💪
saya juga baru tau, ternyata gak boleh ya bungkus paket pake kertas koran 😪😪",2,2019-08-11
kantor pos besar pontianak,dewasadboy,"orang tua saya kirim motor untuk saya dari kabupaten melawi, pas kirim ada spion nya lengkap, pas udah sampai di pontianak spionnya hilang, ketika saya tanya ke pegawai nya dia jawab ""memang tidak ada spion nya"" dan saya bilang pas dikirim ada spion dan pegawai nya jawab lagi ""emang ndak ada spionnya"" padahal jelas orang tua saya antar motornya lengkap ke kantor pos daerah melawi. kualitas kantor pos sangat tidak aman, sangat tidak recommended.",1,2022-08-11
kantor pos besar pontianak,dz dn,"paket saya dikirim dari jakarta udah hmapir 5 hari ga sampe2, padahal dokumennya kilat khusus, gmn yg standar. saya terpaksa pake pos krn emang pengiriman dokumen dari kantor bumn yg harus pake pos, klo bisa pake yg lain saya ga bakaln pake layanan kantor pos. harusnya pos indonesia bisa berbenah, masa jasa pengiriman pemerintah bisa kalah saing sama swasta. klo pake layanan jn* atau jn* ini mah sehari sampe klo paket kilat, kecewa bgt saya sama pos indonesia. mana saat tiap ditelp ga pernah ada yg angkat lagi, bener2 ga profesional deh para pegawainya.",1,2019-08-11
kantor pos besar pontianak,hdp official,"pelayanan sangat buruk, pengunjung diabaikan hny surh tunggu2 gak jelas. barang di website pos indonesia sudh tiba dipontianak tp kata cs nya sebulan lagi baru nyampe. gak jelas sama sekali. barangku sudh 10 hr mash belum kunjung tiba",1,2022-08-11
kantor pos besar pontianak,ees,jam sore cepat karna cukup sepi,4,2019-08-11
kantor pos besar pontianak,sudaru hunter brj hunter,"pengalaman sangat buruk kalau saya ceritakan ,kiriman paket kilat aja udah 1minggu lebih  blm datang sampai sekarang, menyesal lah anda jika menggunakan layanan post .",1,2021-08-11
kantor pos besar pontianak,cece suriati,paketan saya di kirim dri jakarta dri tgl 17 desember sampai hari ini tanggal 30 paketan juga belum saya terima. pelanggan saya banyak batalin orderan di karenakan paket tidak sampai2. bagian sortir barang tidak teliti paketan saya nyasar di kab. ketapang. sedangkan saya ada di kab.mempawah. harus nya paket saya sudah saya terima di tanggal 24. karena masuk pontianak di tanggal 23. apa pihak pos mau ganti rugi?? karena kesalahan penyortiran saya jadi rugi banyak.,1,2020-08-11
kantor pos besar pontianak,mila,expedisi ter bangke!!! kirim baso aci  surabaya- pontianak estimasi 4 hari di web. nyatanya 3 minggu cuyy. minta ganti rugi karna alasannya makanan kering di resi padahal udh dibilangin itu baso aci dituliss ditelfon orang nya pada begooo. grgr pelayanan anda yg sangat jelek ini saya rugi  bukannya mempermudah seller tp bikin rugi. jangan pernah pake pos indonesia,1,2020-08-11
kantor pos besar pontianak,handika ramadhan,"paket dr tgl 2 status gagal kirim, tp gaada yg ngehubungin sama sekali. kantornya ditelfon jg ga ngangkat",1,2023-08-11
kantor pos besar pontianak,marcellinka yuni agatha,"paket dari luar negeri saya tidak sampai2, padahal sudah di kirimkan dari jakarta dari tgl 12 nov, tapi kemarin saya ke kantor pos kobar di blg masih belom nyampe.
jakarta ke pontianak perlu proses 14hari ?",1,2020-08-11
kantor pos besar pontianak,pita pontianak,bagaimana ini pesanan saya dari tanggal 16 dari kediri  kok masi belom sampai ptk jugaa uda seminggu ini di aplikasi gak ada pergeran malah on progess aja tolong tinjauan paket saya .saya harap pihak kantor pos bisa hubungi saya untuj tinjauan paket saya :089653836893,1,2021-08-11
kantor pos besar pontianak,adrian saputra,"mantap.. pengiriman makanan dari padang - pontianak (sungai kunyit, mempawah) dari tgl 31 desember 2021 sampai skrg belum tiba²... lihat tracking masih muter² jakrta.. kmren tlvon cs pusat jakrta.. katanya barang sudah di pontianak..  ambil sendiri atau bagaimana kata cs nya.. ngapain juga sya ke pontianak.. jauh2 bgtu.. bukan nya pos itu anter alamat... seandainya makanan sya sampai pun entah masih bisa dimakan apa gak.🙂🙂🙂 mantul.. kinerja pos indonesia",1,2022-08-11
kantor pos besar pontianak,raden hasya nadhira,"penganter gak sabaran asli, oranh dia baru dateng, baru orang mau jalan keluar, eh udah pergi lagi. kalo dia gitu terus, ya kapan paket nya mau nyampe kerumah saya?! hah?! rumah saya kexil aja dia gak bisa nunggu, apalagi kalo rumah saya besar? emang saya bisa cling pindah gitu tiba2 kedepan rumah pas ada klakson??? mikir.",1,2019-08-11
kantor pos besar pontianak,yunita,saya cari prangko muter-muter pontianak dan kantor cabang udah pada tutup jadi saya ke kantor pos pusat eh prangko sisa dikit banget. kadang cuma sisa 3000 kadang gak ada sama sekali sedangkan saya cari yg 5000. padahal itu kantor pos pusat tapi prangko gak ready. harusnya lengkap dong secara namanya aja kantor pos pusat.,1,2021-08-11
kantor pos besar pontianak,bintang nopi,"saya kirim dokumen kok pas di cek di resi alamat penerima gak di isi pdhalkan udah lengkap alamatnya dan kenapa barang belum sampai"" tapi pas dicek di resi tulisannya antaran selesai/delivered",1,2020-08-11
kantor pos besar pontianak,bang ali,antri terlalu lama loket banyak yg nga melayani/tutup,2,2018-08-11
kantor pos besar pontianak,ade rizky amelia,milih pengiriman express dr hari senin tp sampe skrg gak di antar2!!! gak 2x lagi aku ngirim paket pake ekspedisi ini!!! sangat mengecewakan!!! 👎🏻👎🏻 …,1,2020-08-11
kantor pos besar pontianak,elis kashady,"ngaco lu ngirim barang,  iya di kata kilat paket kilat kilat apan  harga 37 seminggu kgk nyampe"" merek sebelah 30 ribu sehari langsung nyampe,  nipu orang apa gimna,  gila ya tang mentang punya pemerintah... senak jidat lu aja",1,2019-08-11
kantor pos besar pontianak,aris aja,"kiriman saya dari pare kedi udh 1bulan sejak tgl 27 bulan 11 belum juga sampai, kiriman senapan angin....pos imdonesia tolong di perbaiki pelayanan nya....",1,2020-08-11
kantor pos besar pontianak,aman lora,bpk dan ibu ada paket atas nama ahmad abdurrahman rosit,5,2024-10-11
kantor pos besar pontianak,john wick88,"kirim barang ke taiwan, biaya 940.000 janji estimasi 7/10 hari... nyatanya ga sampai2.... kalau ga bisa jangan di terima... uang susah di cari...",1,2022-08-11
kantor pos besar pontianak,richi faizal,"kiriman barang dari purbalingga tujuan pontianak.masak iya sih bisa nyasar sampai ke pangkalabun,jelas"" sudah tertera alamat lengkap dgn kode posnya..
gak masuk akal sekali???",1,2020-08-11
kantor pos besar pontianak,desember fajartanto,"besar namun sepi.., pernah jaya dieranya..",5,2022-08-11
kantor pos besar pontianak,feruziangame,"gk becus ya jadi kurir
tolong di simak betul2 alamat udh jelss ada nama saya+nmr hape sy kenapa terkirim ke org lain!tlg antr brg sy krmh sy ada nmr resinya!",1,2018-08-11
kantor pos besar pontianak,tengku satya pratama putra,"barang sudah di kantor pos ksd pontianak tapi belum bisa diambil padahal udah nunggu selama lebih dari 2 minggu, mau segera balik kampung tolong dipercepat kalau bisa besok udah bisa diambil barang nya",1,2019-08-11
kantor pos besar pontianak,luqman ieman,"tidak aman, motor saya kirim lewat pos indonesia pas sampai spion hilang, padahal pas kirim lengkap ada spionnya",1,2022-08-11
kantor pos besar pontianak,rizqi maghribi,"kantor pos yang menjadi satu di antara pilihan masyarakat kota pontianak untuk mengirimkan paket ataupun uang tunai. selain itu, dengan konsep gedung yang modern, kursi tunggu yang memadai, serta adanya pendingin ruangan, membuat konsumen menjadi nyaman dalam menikmati pelayanan yang ada.",4,2017-08-11
kantor pos besar pontianak,hndl hend,apa sudah tutup/ ada masih buka utk drop off brg,3,2024-11-11
kantor pos besar pontianak,sri widad,"mohon maaf banget buat pihak kantor pos, mohon lebih di tingkatkan lg ya pelayanannya, ini paket saya dr tanggal 9 mei sampe tgl 17 mei gak nyampe2, tulisannya on procces trus , padahal kiriman cuma dr jakarta timur, perasaan saya kmren2 pke layanan selain kantor pos ini, paling lama 1 minggu sudah sampai, tapi ini sudah terlambat sekali,saya sudah menanyakan masalah ini k kantornya langsung, blgnya dlam sehari dua hari udh tidak ada kendala, tapi ternyata sampe skrg msh gak bisa, sekian keluhan saya, semoga bisa di tanggapi.",5,2019-08-11
kantor pos besar pontianak,apollyon wu,"tidak becus dan tidak profesional  khususnya bagian pengiriman barang yang terlalu kaku akan jenis barang kiriman,datang jauh2 hanya untuk ditolak barang kirimannya,alasan tidak jelas,hanya karena ada magnetnya pada hal harus dijelaskan secara rinci tidak bisa itu kenapa dan mengapa ""barang kiriman anda tidak bisa kami terima dan pasti akan dikembalikan"" gitulah penjelasannya padahal kurir lain tidak pernah permasalahkan hal ini dan brang kiriman juga tidak termasuk berbahaya...sangat mengecewakan,jika tidak terpaksa janganlah menggunakan service orang2 dan instansi yang digaji negara yang bekerja dengan terpaksa..cuma di kantor inilah ada hal begituan.",1,2018-08-11
kantor pos besar pontianak,rio dermawan,"sejarah mencatat keberadaan pos indonesia begitu panjang, kantorpos pertama didirikan di batavia (sekarang jakarta) oleh gubernur jenderal g.w baron van imhoff pada tanggal 26 agustus 1746 dengan tujuan untuk lebih menjamin keamanan surat-surat penduduk, terutama bagi mereka yang berdagang dari kantor-kantor di luar jawa dan bagi mereka yang datang dari dan pergi ke negeri belanda. sejak itulah pelayanan pos telah lahir mengemban peran dan fungsi pelayanan kepada publik.setelah kantorpos batavia didirikan, maka empat tahun kemudian didirikan kantorpos semarang untuk mengadakan perhubungan pos yang teratur antara kedua tempat itu dan untuk mempercepat pengirimannya. rute perjalanan pos kala itu ialah melalui karawang, cirebon dan pekalongan.

dan untuk di kota pontianak di alamat : jl. sutan abdurahman no. 49 kelurahan : sungai bangkong kecamatan : pontianak barat kota : pontianak provinsi : kalimantan barat kode pos : 78000.",5,2018-08-11
kantor pos besar pontianak,ali sofyan,"lelet lama, banyakan ngobrol",1,2025-03-11
kantor pos besar pontianak,fania valentina,sangat buruk.. barang pesanan dr alibaba datang tidak lgsg diantar kerumah.. uda bulukan baru diantar sampai tulisan alamat hilang semua..,1,2020-08-11
kantor pos besar pontianak,claudia,"paket saya dr jakarta ke pontianak,uda hampir 1 minggu lebih blum terkirim ke saya yg di pontianak,pdhl tertera di paketnya pos kilat sampe kurang lebih 5 hr,di telp smua no.gk ada yg angkat yg di pontianak sini...kapok2 pake layanan pos ini....",1,2018-08-11
kantor pos besar pontianak,amir rudin,"setelah melihat riwayat orang lain , sy berpikir kantor pos di ptk sangat buruk pelayanan nya",3,2021-08-11
kantor pos besar pontianak,freina demetz winter,"pengen nanya cara kerja kantor pos itu gimana? kita yang ambil atau di anterin,toh juga ga di bilang kantor pos yang mana jadi bingung gua",1,2021-08-11
