reviewId,userName,rate,reviews_text,tanggal reviews
0dc7e3ea-0feb-49bc-9300-7e7e056e0bdf,helga alvian,5,aplikasi pembayaran terbaik,2025-08-06
d0ea4d13-30e8-493e-ab09-5d49dd09564d,hardju adam,5,ok,2025-07-20
89eb0450-f6bd-442b-9b08-cbbc159dd091,sutarji,5,memudah kan informasi cepat tepat kepada masyarakat,2025-07-20
a34d79dc-c7d2-4f11-b2c8-c4066dde311d,kristofel ola,5,bagus,2025-07-16
61b6d77f-1ec5-4ed1-a2dd-e59cb5f70d43,yayan heryana,5,sangat membantu,2025-07-13
1050f578-1a86-4013-b987-0939c90823d1,membran555,5,bagus,2025-07-12
18543988-908c-4700-b7b7-caff84b0a014,zulchan sholeh,4,super,2025-07-10
e5a26515-26b3-42c9-8cfd-4902e201571a,erwin mamberaki,4,terimakasih,2025-07-10
014e22ae-74d4-4949-b229-e7120140bd7d,syamsul bachri,2,belom ada notif pembaruan,2025-07-09
b7128c6e-c53f-4c29-aa2b-e16c12757904,carsa 1989,1,gak jelas,2025-07-09
3edd77ca-1b35-4e30-b688-5ebe6ece5cc6,nani sumarni,5,bagus,2025-07-08
f1dc1b6a-105f-4922-b978-4a558939cb82,fuji fuji yatna,5,bantan bsu,2025-07-08
ad00547e-66ac-406d-88e3-6d72de2b4fab,ramdani sang pendaki,5,cara mencarikan komisi nya bagaimana,2025-07-07
3f3934c9-44c9-4c1e-8f4c-95bb712737c6,jhoe kharno,5,komisi biasanya tanggal berapa setiap bulan,2025-07-06
b2b17da1-a4cd-491f-a23b-781635417811,sadu vdtm,5,aplikasi nya bagus sudah gaess👍,2025-07-06
93cc5c21-966c-4957-a75c-a0fe9e87a496,jalal udin,4,mohon bantuannya untuk di bukakan blokiran akun. baru pertama pakai msih bingung soalnya. terimakasih,2025-07-05
e5c8d4be-4fb7-4d8c-9c0c-57434ef649c0,gino,1,"sudah di bilang jangan pake pospay untung nya cuman buat mereka doang, fee buat agen cuman sedikit itu pun harus nunggu sebulan. top up kena admin, fee kecil mending apk sebelah langsung fee buat kita bisa ubah admin juga.",2025-07-04
1e3e4422-d0db-4a71-8392-0ac8e52daa79,ardhy lee,2,top up dr td siang smpe sore g ada msuk d hub d chat lwat wa tdk d respon pdhl uda d read... parah bgt ni apk pdhl uda top up 200k g ada msuk sma skli,2025-06-09
518d0882-16a4-445d-86cc-8da03f8fc10f,achmad anas,1,harganya lebih mahal dari toko madura,2025-05-31
b86d6c41-f8f9-43f5-ae16-bf714a160835,xx nxx,4,"berharap kedepannya pospay agen lebih baik lagi ,berharap komisi yang didapat itu harus transparan soalnya kalau sekarang belum transparan komisi kita itu per transaksi itu berapa.",2025-05-20
ec7f8dd5-de43-48d2-9aa8-c55be03dc8d9,sabila ponsel,5,udah seminggu ga bisa top up saldo,2025-04-24
4efaca57-7230-4cda-8b6d-14b95d571942,evan abby,5,"⁠transaki simple, harga bersaing",2025-04-02
51edca82-694a-4580-bbca-ab6032655264,vazri putri nur gustiyani,5,"⁠kerennn, kemaren isi pulsa nya gagal, tapi saldo nya langsung balik lagii",2025-04-01
99168df5-8cd3-4731-aa9b-84bae0234b03,dyahartika mailina,5,"sejak pake pospay agen, bayar semua tagihan dan kebutuhan jadi mudah",2025-03-31
27add93e-3f4a-475b-a7e0-3e0c59b48c99,putu sudarma,5,"edit resi disini kurang rapi, lebih rapi yang pospay mobile. terus untuk transfer bank. bank tujuan bri tidak tersedia",2025-03-30
7672f36c-3626-4b0d-9d74-f5b3c3f440dd,dyah nadzifatuz zahra,5,⁠recommend banyak fiturnya,2025-03-30
0bfa4bee-efc6-437b-ad6f-0fede67f96ee,dazzz,5,⁠pospay agen sangat membantu keperluan transaksi sehari2,2025-03-30
a74067d0-7171-48d0-a050-71731166a554,naima dwi maharani kelas a,5,top up dana tidak ada kendalaa,2025-03-29
a12772eb-b914-4c44-885e-21aa8f2f5905,zaeni adam,5,⁠topup dana tidak ada kendala,2025-03-28
0309aa46-25ea-42cb-b9bb-9743e3dcbfaa,raya amelya putri,5,tranfer uang mudah dan cepat,2025-03-27
b663f952-f3e7-4da3-a254-79da86c45d4d,azhari heri,5,bagus,2025-03-26
3a2af0d2-31fa-4bd7-aff0-74c091a28435,bel,5,⁠bayar tagihan apa aja ada disini,2025-03-26
c5345ae9-9027-40f7-9b25-5673b6c91557,viqi hendra,5,ngisi pulsa langsung masukk👌👌,2025-03-25
9285704e-33f4-4344-9a00-c122837c3aad,wahyu andi,5,"pembayarannya lancar, feenya menarik",2025-03-24
6d5159ec-37f8-4d32-a811-01cdec602d57,ahmadi sobirin,1,aplikasi tolol pendaftaran ribet bgt,2025-03-12
445ff45e-4b2a-4fc9-b390-196529328e90,dika dika,5,"kenapa tidak bisa di gunakan lagi pospay, padahal baru isi saldo",2025-02-26
b418cdec-b689-483d-919d-f6a6651951a4,agus ramdani channel,3,"aplikasi bagus, sayangnya deposit telat masuk, layanan cs tidak 24 jam.",2025-02-21
764ffec1-f998-438e-b005-1530fb854adf,anas achmad,5,"tambahkan vitur pembelian uang elekteonik semacam flazz, emoney",2025-02-08
c6027df8-67db-426c-8604-8f699051e712,adip putra,3,"tidak cocok di konter ,susah untuk di jual belikan gak ada untung y tp klo pemakaian pribadi bagus",2025-02-07
6e96795f-a898-4c64-8b9c-cb91d1cd7b1d,okke tisnanda,5,kok komisi saya di aplikasi bulan januari kok hangus ?,2025-02-01
315fb0c5-4010-4616-986e-7a7aeb96f8a8,ahmad sairaji sairaji,4,ada nomor hp cs yg bisa d i hubungi kah..??,2025-01-12
be1c81ac-3698-44ec-9ab2-58c38efb943d,karjani paytren,3,saya kasih 3 saja masa saya registrasi status sudah terverifikasi tapi masih saja tidak bisa login dengan keterangan belum aktif aplikasi apa ini,2025-01-04
1e6c9298-a36a-4f99-9cad-04da5c59ae6b,liya permata sari,5,"akan lebih baik jika ada laporan tentang komisi yang di dapat dari setiap transaksi, misal kalau bayar listrik dapat komisi sebagai agen berapa, dan transaksi lainnya juga begitu",2024-12-31
30c05248-3707-4ea4-8f24-45e5195f4f1b,meria hartini,1,"min ada nmor admin yg bisa di hubungi tidak,, saya ada kendala pengisian saldo tidak masuk,,",2024-12-02
0d0769ee-12ee-4fcb-9511-eb17d2ddf9e7,hasmira mira,5,"pospay agen memang the best...saya gunakan aplikasi ini untuk mengisi pulsa, paket data, bayar tagihan dan pembayaran digital lainnya. prosesnya cepat, aplikasinya aman dan sangat terpercaya.",2024-12-01
af5ddc39-7fde-4cea-913d-72d65cfcbba8,khasan maghfir,5,kirim uang dan transfer ke semua bank mudah sangaaaaat,2024-12-01
1ebfa43f-b8d6-463c-847f-f8d3e40d7785,nur fajri,5,"pospay agen, aplikasi bayar bayar apapun. bayar tagihan bulanan paling lengkap. bisa jualan pulsa dan paket data internet. kirim transfer uang ke semua bank.",2024-11-29
ac2cbf81-3ad5-41e0-8fe9-fb2beefbf598,fredy wawa,5,"dengan aplikasi ini kita dapat melakukan banyak transaksi, seperti pembayaran pajak, pembayaran tagihan listrik, pembelian pulsa,paket data, transfer ke bank lain dll, pokoknya ok lah aplikasi ini.",2024-11-29
b5a933db-cbaf-4f09-9ec1-9110797e9f14,selvi aprilia,5,"recommended. banyak fiturnyaaa, mulai dari pembayaran tagihan, pembelian pulsaaa, sampai transaksi keuangan lainnya. aplikasinya juga mudah digunakan dan ringan pol. terima kasiiii pospay agen ❤️",2024-11-29
2656999f-a977-438e-ab62-d4a91aef7b41,musafir subcribe,5,"aplikasi yang sangat bagus bayar apa aja dalam satu aplikasi bisa kirim uang dan transfer ke semua bank bisa jualan e-meterai, top up e-wallet, pulsa dll bayar apa saja pastinya dapat komisi cinta banget sama aplikasi pospay agen 💝",2024-11-29
1763476e-bac0-4256-ae42-1775e7097b75,delyanto kasman,5,"bagus banget aplikasi, mudah digunakan",2024-11-29
40c28667-be99-479a-8db6-d9ffbc9bcaed,mesyaa margareta,5,"lumayan membantu buat usaha agen token listrik sama pulsa, tf an, sama e-materai terpercaya",2024-11-29
a1b616dd-4dc6-437e-82cf-32971e250d2c,slamet supriyanto,5,"aplikasi yang bermanfaat yang mempermudah kita untuk melakukan transaksi keuangan,pembayaran tagihan maupun pembelian token listrik, pulsa maupun paket internet, fitur nya lengkap dan mudah di pahami",2024-11-29
5c815748-3cb8-49df-8cc7-992ac4068721,reony ree,5,"keren banget aplikasinya bisa buat bayar-bayar tagihan dan jual beli pulsa juga,keren mantep bgt apps nya sangat recommended buat yg cari cuan juga.",2024-11-28
cd107e6c-cad5-47a6-a583-8295bcf451de,lyne s,5,pospay agen adalah aplikasi serba guna yg sangat membantu utk pembayaran tagihan bulanan dgn sangat mudah digunakan dan bisa transfer ke semua bank.aplikasi ini sangatlah the best..,2024-11-28
f0835c6f-3b3f-42bb-af3d-348e674d673d,siapa saya,5,pospay agen aplikasi bayar-bayar aplikasi ppob bayar tagihan bulanan paling lengkap jualan pulsa dan paket data internet kirim uang dan transfer ke semua bank jualan e-meterai top up e-wallet dapat komisi cuan tiap hari banyak untungnya berkah rezekinya bayar apa saja pasti dapat komisi,2024-11-28
b58216a2-d290-40df-81c9-dc792bd5e513,amril wajadda,5,"pospay memudahkan saya dalam melakukan berbagai transaksi, dan tampilan nya pun mudah di gunakan cocok utk berbagai kalangan dan aplikasi nya pun memberikan rasa aman dalam bertransaksi",2024-11-28
f0c2d99b-507d-463b-8d5d-d2277ade4cb4,agus sujana chanel,5,"pospay agen adalah solusi terbaik bagi anda yang ingin memiliki aplikasi multifungsi untuk kebutuhan pembayaran dan transaksi sehari-hari, cocok untuk individu atau agen yang ingin memaksimalkan peluang bisnis di bidang pembayaran digital, dengan fitur yang lengkap dan komisi yang menguntungkan, aplikasi ini tidak hanya praktis, tetapi juga membawa banyak berkah rezeki bagi penggunanya, pospay menyediakan layanan pembayaran tagihan bulanan yang paling lengkap, mulai dari listrik, air, internet.",2024-11-28
52bc54a9-cb5f-4bed-b9f1-874bef481b6a,raffasya fawwaz rahmani,5,"pospay benar-benar aplikasi yang luar biasa untuk bayar tagihan bulanan paling lengkap. mulai dari listrik, air, internet, hingga pembayaran lainnya, semuanya bisa dilakukan dalam satu aplikasi dengan mudah. prosesnya cepat, aman, dan praktis.😇",2024-11-28
91eae134-4c89-473a-b526-2556b0e7939c,ari septiadi nauli,5,"aplikasi yang sangat membantu, selain bisa jadi alat pembayaran digital, aplikasi ini juga bisa untuk jualan pulsa, bayar tagihan,beli tiket,dll.simpel pula penggunaannya",2024-11-28
41375e6e-1632-4563-a6d1-4cc5b08d37d6,mileff sukron,5,"pospay agen aplikasi yang sangat efisien, kita tidak perlu keluar rumah, aplikasi ini sangat membantu sekali, terima kasih pospay",2024-11-28
b9abeaa8-2162-4b01-a052-cced44c6ab03,fendi desiyanto,5,pospay agen ini sangat membantu sekali terutama bagi yang baru merintis usaha berjualan pulsa dan paket data internet maupun jasa top up e-wallet. pokoknya bersama pospay agen bakalan cuan tiap hari dan banyak untungnya.,2024-11-28
c78030b7-4655-40b0-90fd-dcd36a390141,mukhammad anwar,5,recomended banget ini aplikasi.fiturnya cukup lengkap.bisa buat bisnis atau penghasilan tambahan.,2024-11-28
