Pos Office Branch,User,Reviews,Rate,tanggal_review
kantor pos jakarta barat,captain sarengat,"terimakasih pos indonesia jakarta barat
atas pelayanannya
pada hari dan tanggal
rabu 9 juli 2025
waktu 17:00 sampai selesai
telah dengan mudahnya mengambil bsu di tempat ini
dengan proses yang tepat cepat dan akurat",5,2025-07-18
kantor pos jakarta barat,rico alexander,"kantor pos jakarta barat ini berada persis di pinggir jl. daan mogot yang ramai lalu lalang kendaraan yang lewat. ruangan kantor pos lumayan luas,bersih dan dingin ber ac. saat saya datang ada beberapa orang karyawan yang sedang bertugas. bapak satpamnya ramah menyambut di pintu masuk menanyakan apa yang bisa dibantu. tempat parkir motor & mobil luas.",4,2024-12-15
kantor pos jakarta barat,siti fadhilah,"yg mau ambil bsu lebih baik di pagi jam 7-8, cepet bgt cuma 20 menit, pelayanan baik👍 …",5,2025-07-18
kantor pos jakarta barat,chipichipss,"pelayanan bagus
ambil bsu hari minggu ga ada antrian, ga nyampe 5 menit beres👍 …",5,2025-08-01
kantor pos jakarta barat,axel oliver,gua kira gua doang . udh dr jumat ke jumat belom ke kirim ternyata di cek alamat tidak d temukan.  tolong infoin ya yg tau. saya di samsat danmogot. itu klo mau ambil paket kota kemana ya. rese amat ya pake apk signal kirim pake pos kek gini . kacau banget.,1,2025-07-18
kantor pos jakarta barat,esteh teller18,"saya mau tanya sama pos indonesia ya... setiap pengiriman itu pasti ada no hp penerima yang bisa dihubungi.. kalian gak ada kuota buat chat wa??? rumah atau alamat tidak ditemukan.kalian pikir kita ini tinggal dihutan sampai gak bisa komunikasi dengan penerima lewat hp!!

expedisi lain aja bisa call wa atau chat wa ,kenapa kalian yang pos indonesia sudah berdiri sejak saya belum lahir tapi gak bisa sebagus expedisi lain!!!!

pemerintah seharusnya lebih canggih dari expedisi swasta!!!

kalian itu harus mencantumkan no hp kurir jadi kalau kurirnya gak mau keluar kuota atau pulsa lebih baik saya aja yang call kalian!!

jangan asal kasih keterangan rumah atau alamat tidak ditemukan! expedisi swasta aj kirim paket selalu sampai karena mereka selalu komunikasi bukan asal kasih keterangan yang semaunya sendiri !!!",1,2025-05-15
kantor pos jakarta barat,septian dwi,"saya baru kali ini pakai expedisi pos indonesia amat sangat di sayangkan karna kurir pos indonesia tidak ada komunikasi sama sekali , tiba tiba paket di pending saja , seharusnya kalau alamat kurang jelas bisa wa terlebih dahulu bukan langsung di pendingin paketnya , penerima sudah menunggu lama malah udah ditangan kurir malah dipendingin , mohon maaf jika perkataan saya ada yang kurang enak diliatnya , saya sudah lama pakai expedisi apa aja tapi ada komunikasinya tapi untuk kurir pos indonesia saja yang asal nunda paket saya , terimakasih sebelumnya",1,2025-07-15
kantor pos jakarta barat,henry siagian,"rekomen pelayanan cepat satset boleh lah telat” dikit jam 7:10 baru dilayanin,",5,2025-07-25
kantor pos jakarta barat,fajar zombie,td jam 7an dateng buat ambil bsu masih sepi dapet nomor antrian dari sekuriti dan satset langsung selesai.ada 10 menitan,5,2025-08-01
kantor pos jakarta barat,hardik mediantoro,mantap pencairan bsu bisa lewat sini. lancar sentosa. minus antriannya panjang. jadi bawa bekel dari rumah biar irit. bisa 2-3 jam. tergantung tingkat keramaian,5,2025-07-15
kantor pos jakarta barat,esa fitria,"datang kesini utk pencairan bsu 2025, tempat nyaman, bersih dan adem, antrian teratur, petugas ramah dan cepat. tunggu 10 menit dapet lgsung.",5,2025-07-25
kantor pos jakarta barat,damien kramer,"sudah nunggu 4 bulan surat belom sampai dan tidak ada kabar, padahal alamat lengkap dan sudah di cantumkan nomor telepon. niat nya saya kasih bintang 1, tapi karena satpam sopan saya kasih bintang 3.",3,2025-07-15
kantor pos jakarta barat,dian sri wulandari,"bayar pajak lewat signal, dan dpt layanan antarnya pos indonesia. bisa dilihat ya itu 2 kali gagal kirim tp ditgl 13 - 14 mar gada yg hubumgi sy lg csnya , tp saya yg nelvon berkali2 ke cs nya . untuk csnya best pelayanan ok fast respon. tp udh nelvon berkali² baru tgl 15 maret ini sy dihubungi balik lewat wa setelah saya pesen pake gojek. ohiya sebelum pesen pake gojek sy menghubungi terlebih dahulu bisa dipick dari jam brp? infonya udh buka dari jam 8 - 11 siang karna hari sabtu. sy bkn yg main pesen² aja ya. dan nyatanya sampe ditempat gojek nya msh nunggu paket sy yg ternyata masih ada di kurir... dan gong nya lagi itu kurir baru 1 minggu kerja info csnya ya(nama nya wafi) tp udh 2 kali gagal hari ini msh mau disrh kirim lg.

apa emg di paket tsb gada nmr penerima sampe udh gagal berkali² tetep ga dihubungi sama tuh kurir.

kecewa si sumpah, dan akhirnya berarkhir gojek sy nunggu doang 30menit paketnya ternyata msh sm di kurir tsb",1,2025-04-15
kantor pos jakarta barat,adji,"untuk pengambilan pensiun nya lama banget,, panggil antrian nya ngacak datang awal di panggil nya yg baru datang, tolong di benahi sistem nya, soal nya kasian yg dtg para lansia hrs menunggu lama.",1,2025-06-15
