user,rate,reviews,tanggal reviews,aplikasi
Yulia Kusworini,5,sip buat pengguna☺,2025-10-03 17:23:55,PosMobile
Dadang 977377,5,aplikasi mudah dipakai otp cepat,2025-09-24 07:28:57,PosMobile
Habiba ahok,1,jelekkkkkkkkk,2025-09-07 11:48:19,PosMobile
Kamir Saputra,5,trimakasih POSPAY memudahkan bertransaksi,2025-08-25 17:09:27,PosMobile
ricky ramadhan,5,josss,2025-08-22 19:14:11,PosMobile
Awan,4,"belum ada Qris cpm untuk bayar belanja di alfa atau indomart dll, Dan loding aplikasi masih lambat untuk login",2025-08-22 12:42:26,PosMobile
Daryana,5,sangat mudah digunakan utk berbagai layanan kurir dan keuangan. mantap.....👍,2025-08-19 09:29:35,PosMobile
Yann Store,1,NIK NAMA IBU KANDUNG UDAH BENER TGL LAHIR JUGA UDAH BENER TAPI MASIH GABISA LOGIN INI GIMANA TOLONG APLIKASINYA DI BENERIN LAGI,2025-08-18 09:17:22,PosMobile
Bang Jono,1,mau registrasi aja susah,2025-08-03 13:54:43,PosMobile
Arif Rahman M,1,disuruh verifikasi email tapi tidak ada email masuk selama 2.. cukup tahu,2025-08-03 10:23:06,PosMobile
Teguh budiharto,5,Bagus. cuma ada biaya mengendap saldo akhir meski 10rb. gak Bisa nol.. seperti yg lain itu Yg membuat.. orang pilih.. saldo nol.. gak ada sisa. terimakasih,2025-07-23 12:28:19,PosMobile
Tengku Alwan Thufail AlMudasyi,5,bagus sangat..,2025-07-11 00:34:09,PosMobile
Jobong Butar Butar,1,Aplikasi jelek kode otp gak keluar2,2025-07-09 11:50:12,PosMobile
Rustam Renaldy,5,"Bagus, lumayan lengkap 👍",2025-07-09 10:43:14,PosMobile
Yatz 477,1,"disuruh upgrade, giliran upload KTP gagal terus .... beneran parah nih aplikasi",2025-07-09 09:57:24,PosMobile
Dedi Hsb,1,Setiap Aplikasi yang di buat Oleh Pemerintah Pasti Gak ada yang becus.,2025-07-09 02:12:18,PosMobile
Alfa Fisabilillah,1,Nggak siap untuk perubahan,2025-07-08 18:23:48,PosMobile
Nila Amali,1,nunggu kode otp aja lama bngt daftar aja susah tolong perbaiki LG kualitas apk nya,2025-07-08 17:55:03,PosMobile
Teguh Purwonegoro,1,edun mau buka aja loading nya berjam jam bikin males,2025-07-08 13:07:36,PosMobile
Fahrurrozi Enterprise,1,"aplikasi gaje, otp ga muncul... niat bikin aplikaai ga suuu",2025-07-08 12:59:33,PosMobile
suzelly putra,1,aplikasi apaan verifikasi aja susahnya setengah mati,2025-07-08 12:18:52,PosMobile
Exsotis Team Ciamis,5,jos,2025-07-08 11:41:53,PosMobile
Satria Mahas,1,Aplikasi BAPUK...kode verifikasi email tidak terkirim..,2025-07-08 08:33:37,PosMobile
Qiyamullaili Nurulsyamsiah,2,"benar kata yg disini, verifikasi email sangat amat susah. tidak kunjung dikirim!",2025-07-08 06:50:43,PosMobile
Yatna Q,1,aplikasi ga jelas otp ga mau di kirim,2025-07-07 19:53:16,PosMobile
anakost channel,1,"ssah masukin otp, pas liat kode opt ke wa, malah ulang terus",2025-07-07 17:27:54,PosMobile
Rahma arfan,1,apk nya cacat. nunggu kode verifikasi aja susah apa lagi buat login 😅,2025-07-07 17:05:38,PosMobile
tony hendrawan,1,aplikasi bangke,2025-07-07 15:44:02,PosMobile
Erwin Sandy,1,aplikasi aneh hasil korupsi,2025-07-07 10:06:27,PosMobile
helmy Ashari,1,2x coba daftar konfirmasi email nda masuk2. payah bgt. auto uninstal,2025-07-06 14:23:31,PosMobile
Habil Muslim,1,bad,2025-07-06 13:43:59,PosMobile
Eka Saputra,1,untuk Verifikasi email kode otp nya 3x tidak dikirim.,2025-07-06 13:19:37,PosMobile
ristian rehi,1,verifikasi email belum masuk. send ulang lagi 2 kali kena notifikasi sudah. melakukan berulang kali verikasi tunggu waktu 24 jam.,2025-07-06 11:12:56,PosMobile
arya vishaka,1,"apk gg jelas,buat daftar aja gg bisa",2025-07-06 10:10:18,PosMobile
Mamik Supriani,1,kirim ulang verifikasi email aja ruwet,2025-07-06 10:08:05,PosMobile
Adjie Konank97,3,mau verifikasi email tidak bisa/ terjadi kesalahan terus padahal emailnya benar.....mohon d perbaiki lagi lah,2025-07-06 08:37:01,PosMobile
valda hegita,1,Aplikasi gak jelas verifikasi email gak masuk masuk,2025-07-06 07:46:40,PosMobile
Ridwan Effendi,5,sangat memuaskan aplikasinya pospay dan membantu cepat keperluan masyarakat,2025-07-06 07:03:20,PosMobile
Emmhank Syah,1,"lagi dan lagi, orang yang ngurus aplikasi ini pada tidur, pada makan gaji buta, ngabisin duit anggaran 🤣.. 2 aplikasi pos indonesia pada gak bisa ngirim kode otp 🤣",2025-07-06 06:45:35,PosMobile
Tongges Official,1,kenapa gak bisa dapat otp email????,2025-07-06 04:56:42,PosMobile
Fahmi Nurdiansyah,1,"aplikasi sampah, mau verifikasi email kendala terus",2025-07-05 20:13:37,PosMobile
FADHIL PRAWIRA,1,Email verifikasi OTP tidak masuk pada 2025-07-04.,2025-07-05 19:03:24,PosMobile
Sahrib,1,"aplikasi rusak !!!! minta verifikasi email tp tidak dikirim kode otpnya, gimana sih parah!!",2025-07-05 19:01:12,PosMobile
GAJOL cirebon,1,susah verifikasi email,2025-07-05 18:53:26,PosMobile
Eko Liansyah,1,"email verification ga terkirim, susah buat registrasi nya",2025-07-05 18:32:41,PosMobile
