Pos Office Branch,User,Reviews,Rate,Date
Kantor Pos Jakarta Barat,Captain Sarengat,"Terimakasih pos Indonesia jakarta barat
Atas pelayanannya
Pada hari dan tanggal
Rabu 9 Juli 2025
Waktu 17:00 Sampai selesai
Telah dengan mudahnya mengambil BSU di tempat ini
Dengan proses yang tepat cepat dan akurat",5,4 minggu lalu
Kantor Pos Jakarta Barat,Rico Alexander,"Kantor pos Jakarta Barat ini berada persis di pinggir Jl. Daan Mogot yang ramai lalu lalang kendaraan yang lewat. Ruangan kantor pos lumayan luas,bersih dan dingin ber ac. Saat saya datang ada beberapa orang karyawan yang sedang bertugas. Bapak satpamnya ramah menyambut di pintu masuk menanyakan apa yang bisa dibantu. Tempat parkir motor & mobil luas.",4,8 bulan lalu
Kantor Pos Jakarta Barat,Siti Fadhilah,"Yg mau ambil BSU lebih baik di pagi jam 7-8, cepet bgt cuma 20 menit, pelayanan baik👍 …",5,4 minggu lalu
Kantor Pos Jakarta Barat,Chipichipss,"Pelayanan bagus
Ambil BSU hari minggu ga ada antrian, ga nyampe 5 menit beres👍 …",5,2 minggu lalu
Kantor Pos Jakarta Barat,Axel Oliver,Gua kira gua doang . Udh dr Jumat ke Jumat belom ke kirim ternyata di cek alamat tidak d temukan.  Tolong infoin ya yg tau. Saya di Samsat danmogot. Itu klo mau ambil paket kota kemana ya. Rese amat ya pake apk signal kirim pake pos kek gini . Kacau banget.,1,4 minggu lalu
Kantor Pos Jakarta Barat,Esteh Teller18,"Saya mau tanya sama pos indonesia ya... Setiap pengiriman itu pasti ada no hp penerima yang bisa dihubungi.. kalian gak ada kuota buat chat wa??? Rumah atau alamat tidak ditemukan.kalian pikir kita ini tinggal dihutan sampai gak bisa komunikasi dengan penerima lewat HP!!

Expedisi lain aja bisa call wa atau chat wa ,kenapa kalian yang pos indonesia sudah berdiri sejak saya belum lahir tapi gak bisa sebagus expedisi lain!!!!

Pemerintah seharusnya lebih canggih dari expedisi swasta!!!

Kalian itu harus mencantumkan no hp kurir jadi kalau kurirnya gak mau keluar kuota atau pulsa lebih baik saya aja yang call kalian!!

Jangan asal kasih keterangan rumah atau alamat tidak ditemukan! Expedisi swasta aj kirim paket selalu sampai karena mereka selalu komunikasi bukan asal kasih keterangan yang semaunya sendiri !!!",1,3 bulan lalu
Kantor Pos Jakarta Barat,Septian Dwi,"Saya baru kali ini pakai expedisi pos indonesia amat sangat di sayangkan karna kurir pos Indonesia tidak ada komunikasi sama sekali , tiba tiba paket di pending saja , seharusnya kalau alamat kurang jelas bisa wa terlebih dahulu bukan langsung di pendingin paketnya , penerima sudah menunggu lama malah udah ditangan kurir malah dipendingin , mohon maaf jika perkataan saya ada yang kurang enak diliatnya , saya sudah lama pakai expedisi apa aja tapi ada komunikasinya tapi untuk kurir pos Indonesia saja yang asal Nunda paket saya , terimakasih sebelumnya",1,sebulan lalu
Kantor Pos Jakarta Barat,Henry Siagian,"Rekomen pelayanan cepat satset boleh lah telat” dikit jam 7:10 baru dilayanin,",5,3 minggu lalu
Kantor Pos Jakarta Barat,fajar zombie,td jam 7an dateng buat ambil BSU masih sepi dapet nomor antrian dari sekuriti dan satset langsung selesai.ada 10 menitan,5,2 minggu lalu
Kantor Pos Jakarta Barat,hardik mediantoro,Mantap Pencairan BSU Bisa lewat Sini. Lancar sentosa. Minus antriannya panjang. Jadi bawa bekel dari rumah biar irit. Bisa 2-3 Jam. Tergantung tingkat Keramaian,5,sebulan lalu
